	eng	nld
20076	Tom showed his photo album to Mary.	Tom liet zijn fotoalbum aan Mary zien.
36505	Tom seldom drinks coffee.	Tom drinkt zelden koffie.
56197	The garden was full of yellow flowers.	De tuin stond vol met gele bloemen.
66171	I don't want to risk my life.	Ik wil mijn leven niet op het spel zetten.
51687	I'll be back at 2:30.	Ik zal terug zijn om 2:30.
15661	I've promised Tom that I'd do that.	Ik heb Tom beloofd dat ik dat zal doen.
10356	Her day is about to be ruined.	Haar dag staat op het punt verpest te worden.
40292	Tom doesn't have to tell Mary how to do that. She already knows.	Tom hoeft Mary niet te vertellen hoe ze dat moet doen. Zij weet het al.
60934	I can eat insects.	Ik kan insecten eten.
23170	I know Tom was unhappy.	Ik weet dat Tom ongelukkig was.
59851	I got my driver's license recently.	Ik heb onlangs mijn rijbewijs gehaald.
42446	Don't you know that he passed away two years ago?	Weet je dan niet dat hij twee jaar geleden overleden is?
63130	It's just going to be you and me.	We zullen met ons tweetjes zijn.
49076	This is a complex question.	Dit is een complexe vraag.
9018	Tom may come at any time.	Tom kan op elk moment komen.
34372	How long is Australia's longest river?	Hoe lang is de langste rivier van Australië?
53719	How many people live in your city?	Hoeveel mensen wonen in jouw stad?
44324	Few roads existed in North America at that time.	Er waren toen nog maar weinig wegen in Noord-Amerika.
62704	Tom is starting to annoy me.	Tom begint me te irriteren.
12621	What is the correct answer?	Wat is het juiste antwoord?
44848	We listen to music.	We luisteren naar muziek.
63868	Which is stronger, a tiger or a lion?	Wie is het sterkst, een tijger of een leeuw?
149	That's not what you said.	Dat is niet wat je zei.
4417	It was just as I thought.	Ik wist het wel.
30971	Don't try to trick me.	Probeer me niet te foppen.
21169	Almost all the buses are empty.	Bijna alle bussen zijn leeg.
3043	Do you really think Tom is happy?	Denken jullie echt dat Tom gelukkig is?
64208	I don't know what to do now.	Ik weet nu niet wat te doen.
27542	I don't know much about Australia.	Ik weet niet veel over Australië.
65365	This is very suspicious.	Dit is erg verdacht.
49016	I don't believe she would understand it.	Ik geloof niet dat zij het zou verstaan.
57147	She turned down my proposal.	Ze heeft mijn aanbod afgeslagen.
58426	The matter slipped my mind completely.	Ik had er helemaal niet aan gedacht.
320	I really want to stop.	Ik wil echt stoppen.
41065	Do you want a glass of orange juice?	Willen jullie een glas sinaasappelsap?
62919	I don't blame you for that.	Dat neem ik je niet kwalijk.
28460	How long is the flight?	Hoelang duurt de vlucht?
26755	This is a zoo.	Dit is een dierentuin.
18969	Tom doesn't want his parents to know he got drunk.	Tom wil niet dat zijn ouders te weten komen dat hij dronken was.
32986	Where do we know each other from?	Waar kennen we elkaar van?
9171	We drank champagne last Christmas.	Afgelopen kerst hebben we champagne gedronken.
49282	The cat's stuck in the tree.	De kat zit vast in de boom.
525	I closed my eyes.	Ik deed mijn ogen dicht.
22108	Which house is yours?	Welk huis is van jou?
43123	Tom got in the car and started the engine.	Tom stapte in de auto, en startte de motor.
9395	This is not voluntary.	Dit is niet vrijwillig.
17192	Please tell me you're not serious.	Zeg me alsjeblieft dat je het niet serieus meent.
46831	It's already happened.	Het is al gebeurd.
19605	I eat sauerkraut every morning.	Ik eet elke ochtend zuurkool.
55484	Tom decided to take the day off.	Tom besloot om de dag vrij te nemen.
63700	She told me a lot about you.	Ze vertelde me veel over jou.
33220	How many pencils did you buy?	Hoeveel potloden heeft u gekocht?
58647	Do you want to play tennis with us?	Willen jullie met ons tennissen?
7272	Three times four is twelve.	Drie keer vier is twaalf.
49971	Tom told me Mary was in Boston.	Tom vertelde me dat Maria in Boston was.
11752	I'm not supposed to tell anybody.	Ik mag het aan niemand vertellen.
68057	You can see it with the naked eye.	U kan het zien met het blote oog.
35429	Tom has three cars in his garage.	Tom heeft drie auto's in zijn garage.
55882	Many people don't like going to the dentist.	Veel mensen houden er niet van om naar de tandarts gaan.
1648	If you can, come with us.	Kom met ons mee als je kunt.
17485	Tell me something about your family.	Vertel mij iets over jullie gezin.
42538	Boil for ten minutes, stirring all the time.	Kook al roerend voor tien minuten.
51129	What did you find?	Wat hebt ge gevonden?
44068	I can't believe you did this by yourself.	Ik kan niet geloven dat je dit in je eentje gedaan hebt.
26527	What's your name?	Wat is je naam?
46741	I could hear Tom shouting at Mary.	Ik kon Tom tegen Mary horen schreeuwen.
8963	Will you help me clean the room?	Help je me even de kamer schoon te maken?
21964	I know you aren't lying.	Ik weet dat je niet liegt.
48961	Let's make that happen.	Laten we dat doen.
9388	I'm afraid Tom's not going to recover.	Ik ben bang dat Tom niet gaat herstellen.
54977	Did you have a good meal at that restaurant?	Hebt ge goed gegeten in het restaurant?
49154	Go away, Tom.	Ga weg, Tom.
30464	You're really paying too much for that.	Daar betaal je echt te veel voor.
38949	Patience is a rare virtue these days.	Geduld is dezer dagen een zeldzame deugd.
42956	Eight squared is sixty-four.	Acht in het kwadraat is gelijk aan vierenzestig.
31874	I really am sorry.	Het spijt me werkelijk.
28267	I'll be leaving the day after tomorrow.	Ik zal overmorgen vertrekken.
7238	The rain changed into snow.	De regen ging over in sneeuw.
3068	If it sounds too good to be true, it probably isn't.	Als het te mooi klinkt om waar te zijn, dan is het dat waarschijnlijk niet.
51199	He invested 500,000 yen in stocks.	Hij heeft vijfhonderdduizend yen in aandelen geïnvesteerd.
65722	There's nothing else I have to buy.	Ik hoef niets anders te kopen.
5071	I'm doing fine.	Het gaat mij goed.
56598	Our wedding anniversary is today.	Onze trouwdag is vandaag.
14971	What language do they speak in the United States?	Welke taal spreken ze in de VS?
46143	He is washing the car.	Hij wast de auto.
47909	It'll take some time to get used to this.	Het zal een tijdje duren voordat je hieraan gewend bent.
40407	I want to learn more about Boston.	Ik wil meer over Boston te weten komen.
49259	The navy defends our seacoast.	De zeemacht verdedigt onze kust.
50303	You look tired. You ought to rest for an hour or two.	Je lijkt moe. Je moet een uurtje of twee rusten.
40758	Your eyes are red.	Jouw ogen zijn rood.
67242	Please don't ask me that.	Alstublieft, vraag mij daar niets over.
46653	I believe in magic.	Ik geloof in magie.
45415	My brain is full.	Mijn brein is vol.
31204	I'm not interested.	Ik ben niet geïnteresseerd.
13714	We're not free.	We zijn niet vrij.
64882	Did you miss the game?	Heb je de wedstrijd gemist?
28196	I can't help you now.	Ik kan je nu niet helpen.
52715	Is she your sister?	Is zij uw zuster?
24290	Tom caught the ball with both hands.	Tom ving de bal met beide handen.
32037	Smoking is forbidden in this area.	Roken is verboden in deze zone.
32745	Tom stole my umbrella.	Tom heeft mijn paraplu gestolen.
36249	Tom called to say that he'd be late.	Tom heeft gebeld om te zeggen dat hij te laat zal zijn.
23395	Where are your children?	Waar zijn je kinderen?
5691	Rigor mortis sets in soon after death.	Rigor mortis komt vlug na de dood.
42337	Is it true that Tom went to Boston?	Is het waar dat Tom naar Boston is gegaan?
49401	I am very glad school is over.	Ik ben heel tevreden dat de school gedaan is.
20942	Tom doesn't want to spend the rest of his life in jail.	Tom wil niet de rest van zijn leven in de gevangenis doorbrengen.
33047	She was bewitched by his smile.	Ze was betoverd door zijn glimlach.
63016	We want to know the facts.	We willen de feiten kennen.
68195	Tom sat on a bench smoking a cigarette.	Tom zat op de bank een sigaret te roken.
23528	I like red meat.	Ik houd van rood vlees.
25271	Simplicity is a virtue.	Eenvoud is een deugd.
69252	We can't risk it.	We kunnen het niet riskeren.
25142	Do you think I'm stupid?	Denk je dat ik stom ben?
37584	How did this misunderstanding ever arise?	Hoe is dit misverstand ooit ontstaan?
25531	Tom says that he feels fine.	Tom zegt dat hij zich prima voelt.
11951	I don't care how poor you are.	Het kan mij niet schelen hoe arm je bent.
12494	I don't know who you are.	Ik weet niet wie u bent.
36595	Let me know when you're going to leave.	Laat me weten wanneer je weggaat.
36766	It's warm today.	Het is heet vandaag.
38518	There's no way to avoid it.	Je kan het niet vermijden.
40400	Tom is practicing piano.	Tom oefent op de piano.
65940	Did you write down the license plate number?	Heb je het kentekennummer opgeschreven?
9401	Are you sure you can't stay here?	Weet je zeker dat je hier niet kunt blijven?
13642	He likes sweet tea.	Hij houdt van zoete thee.
2836	My boss was forced to resign.	Mijn baas werd gedwongen ontslag te nemen.
44103	There's nothing new under the sun.	O, alles is net als altijd.
23538	He has a good eye for art.	Hij heeft een goed oog voor kunst.
4848	I need hard evidence.	Ik heb harde bewijzen nodig.
33392	I can't get rid of it.	Ik kom er niet van af.
35359	Charlemagne was crowned by the Pope.	Karel de Grote werd door de paus gekroond.
15070	She stood on her head.	Ze stond op haar hoofd.
12160	Tom and Mary both have blue eyes.	Tom en Mary hebben beide blauwe ogen.
30197	He put a hand gently on her shoulder.	Teder legde hij zijn hand op haar schouder.
60000	She kept him waiting half an hour.	Ze liet hem een half uur wachten.
32770	When did you guys decide this?	Wanneer hebben jullie dat besloten?
41165	Speak clearly so that everyone may hear you.	Spreek duidelijk, zodat iedereen je kan horen.
32277	It isn't supposed to be like this.	Zo hoort het niet te gaan.
38779	Where's your aunt?	Waar is jouw tante?
49285	Tom was the only one I could talk to.	Tom was de enige met wie ik kon praten.
59026	Tom wanted to stay home with Mary.	Tom wilde thuisblijven met Maria.
61703	It's fun to build a snowman in winter.	Het is plezant een sneeuwman te maken in de winter.
16387	I have plenty of things to eat in the pantry.	Ik heb genoeg dingen te eten in de provisiekast.
56654	I wish you a pleasant stay.	Ik wens u een aangenaam verblijf.
17749	Why do you want to borrow my knife?	Waarom wil je mijn mes lenen?
62692	You don't need me to tell you that.	Ik hoef je dit niet te vertellen.
13215	Maybe Tom could sing at your wedding.	Misschien zou Tom kunnen zingen op jullie bruiloft.
25654	We should go skiing.	We zouden moeten gaan skiën.
27876	Do you have any other ideas?	Heb je nog andere ideeën?
25683	He tried to commit a suicide.	Hij probeerde zelfmoord te plegen.
2939	I'm watching a movie.	Ik kijk een film.
67061	How many pens are there on the desk?	Hoeveel pennen liggen er op de schrijftafel?
62710	I walked about aimlessly on the street.	Ik liep doelloos rond op straat.
69873	Please put plenty of milk in my coffee.	Doe alsjeblieft veel melk in mijn koffie.
2595	Shall I help you?	Zal ik je helpen?
18545	Don't let Tom get away with it.	Laat Tom er niet mee wegkomen.
4859	He makes mountains out of molehills.	Hij creëert een storm in een glas water.
30341	You can see it with the naked eye.	Jullie kunnen het zien met het blote oog.
12753	Can you run fast?	Kan jij snel rennen?
55029	I've been invited on a trip abroad, but I don't want to go.	Ik ben uitgenodigd om naar het buitenland te gaan, maar ik wil niet.
6490	It was hot so I took off my coat.	Het was warm, dus deed ik mijn jas uit.
65144	This is the house where I was born.	Dit is het huis waar ik ben geboren.
15850	Tom, could I have a word with you?	Tom, kan ik even met je spreken?
23	Tom can sing quite well.	Tom kan vrij goed zingen.
20895	It's just a baby.	Het is gewoon een baby.
57095	Tom took off his shirt.	Tom trok zijn shirt uit.
28823	Tom bought some toys for his children.	Tom kocht wat speelgoed voor zijn kinderen.
60292	Tom opened his mouth.	Tom opende zijn mond.
46530	Tom brought us home.	Tom bracht ons naar huis.
34060	Tom and Mary are the same height.	Tom en Mary zijn even lang.
50257	Can I bring Tom?	Mag ik Tom meenemen?
67397	They're on good terms with their neighbors.	Ze hebben een goede verhouding met hun buren.
39581	That book is small.	Dat boek is klein.
50656	I have a twin.	Ik heb een tweeling.
4559	How was your summer vacation?	Hoe was je zomervakantie?
67464	Don't make a decision right now.	Beslis nog niet onmiddellijk!
65183	Lonely people tend to be afraid of meeting others, which ensures they will always be lonely.	Eenzame mensen zijn vaak bang om anderen te ontmoeten, wat ervoor zorgt dat ze altijd eenzaam zullen blijven.
58197	I'm making lasagna.	Ik ben lasagne aan het maken.
33925	Do as he tells you.	Doe wat hij je zegt.
39554	I'll think about it.	Ik denk er wel over na.
35164	Does anyone here speak Japanese?	Spreekt er hier iemand Japans?
4522	Tom said that I didn't need to go if I didn't want to.	Tom zei dat ik niet hoefde te gaan als ik dat niet wilde.
44427	It belongs to me now.	Nu is het van mij.
36150	I usually have breakfast at seven.	Ik ontbijt doorgaans om zeven uur.
20221	I thought I saw a ghost.	Ik dacht dat ik een geest zag.
32157	How much do the oranges cost?	Hoeveel kosten de sinaasappels?
65066	Guys, we need to talk.	Jongens, we moeten praten.
68630	I opened the box.	Ik opende de doos.
7187	I'm fairly certain Tom doesn't have any siblings.	Ik ben vrij zeker dat Tom geen broers en zussen heeft.
21154	She said she was twenty years old, which was not true.	Ze zei dat ze twintig jaar was, wat niet waar was.
7232	It is no use trying to deceive me.	Het heeft geen zin me voor de gek te houden.
24279	Maybe you're lying.	Misschien ben je aan het liegen.
10807	Why are you doing this?	Waarom doe je dit?
4480	How was your job interview?	Hoe was je sollicitatiegesprek?
25096	I like to play poker.	Ik speel graag poker.
41493	I'd like to buy this doll.	Ik zou deze pop graag kopen.
23934	He hesitated for a while.	Hij aarzelde een tijdje.
40790	They sent up a balloon.	Zij lieten een ballon op.
31735	It's possible Tom won't come.	Het is mogelijk dat Tom niet komt.
2622	Tom signed the contract without reading it.	Tom heeft het contract ondertekend zonder het te lezen.
13196	From now on, you'll have to take care of yourselves.	Vanaf nu zullen jullie voor jezelf moeten zorgen.
16702	This house is not for sale.	Dit huis is niet te koop.
67636	Tom sat at the kitchen table.	Tom zat aan de keukentafel.
1544	It won't be so bad.	Zo erg zal het niet zijn.
34625	We followed the tracks left by the deer.	We volgden het spoor dat het hert had achtergelaten.
2980	Tom couldn't take off his socks.	Tom kon zijn sokken niet uitdoen.
18463	Would you mind if I ask you a personal question?	Vind je het erg als ik een persoonlijke vraag stel?
61405	What do you intend to do?	Wat ben je van plan om te doen?
40503	I live with my father.	Ik woon bij m'n pa.
51355	Although it is a very difficult task, I will do my best.	Hoewel het een heel moeilijke opgave is, zal ik mijn best doen.
3817	Tom got really angry.	Tom werd zeer boos.
12978	The footnotes are at the bottom of the page.	De voetnoten staan onderaan de pagina.
41161	They tied their shoelaces.	Ze strikten hun veters.
23879	People threw eggs at the politician.	Mensen gooiden eieren naar de politicus.
70063	How long is that bridge?	Hoe lang is die brug?
39949	Well begun is half done.	Een goed begin is het halve werk.
49531	I don't think that I have a problem.	Ik denk niet dat ik een probleem heb.
58216	I study from eight to eleven.	Ik studeer van acht tot elf.
39294	I have a full-time job.	Ik heb een fulltimebaan.
19903	They're all going to prison.	Ze gaan allemaal de gevangenis in.
50274	Aren't you having a good time?	Vermaak je je niet?
22476	I want to buy a new couch.	Ik heb zin om een nieuwe zetel te kopen.
46137	I'm a vegetarian, so I'd rather not have meat, if that's okay.	Ik ben vegetarisch, dus ik zou liever geen vlees hebben, als dat OK is.
47577	Aren't you in charge?	Heb je de leiding niet?
49235	You should tell Tom Mary can't do that.	Je moet tegen Tom zeggen dat Mary dat niet mag doen.
50048	Tom feels left out.	Tom voelt zich buitengesloten.
34477	Now I have to find Tom.	Nu moet ik Tom vinden.
49316	I accept the challenge.	Ik aanvaard de uitdaging.
4055	Do you want something cold to drink?	Willen jullie iets koud te drinken?
11445	He stood in front of me.	Hij stond voor me.
53761	I usually eat a lot.	Ik eet meestal veel.
1951	Bring your brother with you.	Breng uw broer mee.
63726	Tom was wearing an orange shirt.	Tom droeg een oranje overhemd.
40286	I know there will be a lot of good food at the picnic.	Ik weet dat er bij de picknick veel lekker eten zal zijn.
50742	He was listening to music.	Hij was naar muziek aan het luisteren.
39782	The money is at your disposal.	Het geld is tot uw beschikking.
6848	I wouldn't bet on it.	Ik zou er niet op wedden.
61226	I'll be here all day.	Ik ben hier de hele dag.
11166	Can you weigh this, please?	Kunt u dit wegen, alstublieft?
35554	I acknowledge my mistake.	Ik erken mijn fout.
64749	I have a red car.	Ik heb een rode auto.
7419	We were going to play baseball.	We gingen baseball spelen.
62020	Tom sleeps with his mouth open.	Tom slaapt met zijn mond open.
13428	What's in the garage?	Wat is in de garage?
47353	May I call later?	Kan ik later terugbellen?
26286	The work isn't finished yet.	Het werk is nog niet klaar.
46509	The phones aren't working.	De telefoons doen het niet.
61746	It was just water.	Het was gewoon water.
33869	Tom has offered to walk Mary home.	Tom heeft aangeboden Mary naar huis te brengen.
15691	Tom seldom speaks French.	Tom spreekt bijna nooit Frans.
23098	Tom is a sleepwalker.	Tom is een slaapwandelaar.
19747	Tom heard somebody behind him and turned around to see who it was.	Tom hoorde iemand achter hem en draaide zich om om te zien wie het was.
27134	Tom is rarely at home on Mondays.	Tom is zelden thuis op maandag.
11099	There is a knife missing.	Er ontbreekt een mes.
45771	Tom has a pear tree in his backyard.	Tom heeft een perenboom in zijn achtertuin.
54510	Will you help them?	Zal je hen helpen?
25668	Who's that boy?	Wie is die jongen?
16295	I like coffee hot.	Ik hou van warme koffie.
13970	My teachers like me.	Mijn leraren vinden me aardig.
46032	Find mutual interests, and you will get along with each other.	Vind wederzijdse belangen, en jullie zullen goed met elkaar kunnen opschieten.
514	I have one sister.	Ik heb één zus.
24985	Tom doesn't have all the facts.	Tom heeft niet alle feiten.
25832	Tom loves being outdoors.	Tom houdt van buiten zijn.
5235	You can watch television.	Je kan tv kijken.
35285	I'm going to watch a scary movie.	Ik ga naar een griezelfilm kijken.
69388	We made him cry.	We hebben hem laten huilen.
14661	That was a long time ago.	Dat was lang geleden.
37653	The fire destroyed the tall building.	Het vuur verwoestte het hoge gebouw.
20667	Sit on the floor.	Ga op de vloer zitten.
42987	Do you really want to quit?	Wil je het echt afsluiten?
51611	I want to surprise him.	Ik wil hem verrassen.
54419	May I borrow your bike?	Mag ik je fiets lenen?
17314	Tom took another look into the box.	Tom wierp nog een blik in de doos.
7649	I was in the mountains.	Ik was in de bergen.
29557	I don't believe that'll ever happen.	Ik geloof niet dat dat ooit zal gebeuren.
49258	He wants to go to America.	Hij wil naar Amerika.
12345	Didn't you know Tom liked doing that?	Wist je niet dat Tom dat graag deed?
7314	Perhaps you're right.	Misschien heb je gelijk.
37112	Greece was the cradle of western civilization.	Griekenland was de wieg van de westerse beschaving.
46582	I didn't see a doctor last year.	Ik heb vorig jaar geen dokter gezien.
52014	Can you hear me?	Kan je me horen?
5550	When was the last time you slept on the ground?	Wanneer heb je voor het laatst op de grond geslapen?
35381	I mean that seriously.	Ik meen het echt.
49909	When do the shops open?	Wanneer gaan de winkels open?
51157	Please show your ticket.	Uw ticket, alstublieft.
34804	Accidents happen all the time.	Er gebeuren de hele tijd ongelukken.
28648	It's nice to see you.	Het is fijn je te zien.
13049	What do you think, Tom?	Wat denk jij ervan, Tom?
16008	Tom is afraid he'll get lost.	Tom is bang dat hij gaat verdwalen.
13158	Tom told me he's very hungry.	Tom zei tegen me dat hij erg veel honger heeft.
28472	Two beers, please.	Twee biertjes, alsjeblieft.
230	She's a blonde girl.	Ze is een blond meisje.
17210	They wanted to know what happened.	Ze wilden weten wat er gebeurd was.
55012	I've decided to write a novel.	Ik heb besloten een roman te schrijven.
37453	We don't want to overdo it.	We willen niet overdrijven.
42351	Tom told me that he loves me.	Tom vertelde me dat hij van van me houdt.
17688	It's great to see you.	Het is geweldig om je te zien.
35122	I'll go to the dentist tomorrow.	Ik zal morgen naar de tandarts gaan.
8798	I'm allergic to your dog.	Ik ben allergisch voor jouw hond.
25465	The clock is ten minutes slow.	De klok loopt tien minuten achter.
42029	I need many books.	Ik heb veel boeken nodig.
24088	Did Tom look OK?	Zag Tom er in orde uit?
1935	I'll see you in an hour.	Ik zie je met een uur.
35860	Tom has a scar on his left cheek.	Tom heeft een litteken op zijn linker wang.
11710	I guess I haven't made myself clear.	Ik denk dat ik niet duidelijk genoeg ben geweest.
50018	Look what I found on the beach.	Kijk wat ik op het strand heb gevonden.
3143	Are you in the sauna?	Bent u in de sauna?
52304	Bring your children along.	Breng je kinderen mee.
15611	Tom's car has heated seats.	Toms auto heeft verwarmde stoelen.
10178	I asked him to stop talking, but he still went on.	Ik vroeg hem om op te houden met praten maar hij bleef doorgaan.
27241	No one has ever seen God.	Niemand heeft ooit God gezien.
44129	Do you like Boston?	Vind je Boston leuk?
16735	I don't know what Tom did with it.	Ik weet niet wat Tom ermee heeft gedaan.
36732	I go to a restaurant once in a blue moon.	Ik ga zelden naar een restaurant.
59625	Tom isn't aggressive at all.	Tom is helemaal niet agressief.
64398	I'll take your suitcase to your room.	Ik zal uw koffer naar uw kamer brengen.
15225	Monday was a windy day.	Maandag was een dag met veel wind.
53393	All I want is to make you happy.	Ik wil je alleen maar gelukkig maken.
42022	Didn't you know Tom would do that?	Wist je niet dat Tom dat zou doen?
43476	Disneyland was built in 1955.	Disneyland is gebouwd in negentien vijfenvijftig.
25671	I'd like a room facing the garden.	Ik wil graag een kamer met uitzicht op de tuin.
13032	Aren't you worried?	Maakt u zich geen zorgen?
29089	Tom didn't dare to look at Mary.	Tom durfde Maria niet aan te kijken.
44982	It was lucky that you caught the train.	Je bofte dat je de trein kon pakken.
42138	It kept raining for a week.	Het bleef een week regenen.
14654	I know a man who can speak French well.	Ik ken een man die goed Frans kan spreken.
12501	This park isn't open to the public.	Dit park is niet open voor het publiek.
21114	There was a piano in the room, but no one was playing it.	In de kamer stond een piano, maar er was niemand die erop speelde.
42732	What do you call that?	Hoe noem je dit?
16945	I have an aunt who lives in Boston.	Ik heb een tante die in Boston woont.
64654	No river in the world is longer than the Nile.	Geen rivier in de wereld is langer dan de Nijl.
54217	You remind me of your mother.	Je doet me denken aan je moeder.
62349	I have three dogs.	Ik heb drie honden.
58306	Do you want anything to eat?	Wilt u iets om te eten?
23150	What did you do at school today?	Wat heb je vandaag op school gedaan?
11090	We better be going.	We kunnen beter gaan.
25537	I am certain that he will pass the exam.	Ik ben er zeker van dat hij zal slagen voor het examen.
51771	That's strongly discouraged.	Dat wordt sterk afgeraden.
24266	I thought it was true.	Ik dacht dat het waar was.
7817	I think that these are Tom's shoes.	Ik denk dat deze schoenen van Tom zijn.
28794	Yerevan is the capital of Armenia.	Jerevan is de hoofdstad van Armenië.
32808	Tom is afraid to go out alone at night.	Tom is bang om 's avonds alleen op stap te gaan.
14112	Hurry up or we'll be late!	Schiet op of we komen te laat!
47897	Tom seemed really impressed.	Tom leek erg onder de indruk te zijn.
6670	Do you have time for a drink?	Heb je tijd om iets te drinken?
66350	Tom told me that he drinks at least three cups of coffee a day.	Tom zei mij dat hij minstens drie tassen koffie per dag drinkt.
12723	I drank too much beer yesterday.	Ik heb gister te veel bier gedronken.
31212	The opening ceremony took place yesterday.	De openingsceremonie had gisteren plaats.
50316	The teacher has three times as many books as I do.	De leraar heeft drie keer zo veel boeken als ik.
28982	I think I was the one who suggested that.	Ik denk dat ik de enige was die dat voorstelde.
10868	Maybe Tom could help.	Tom kan misschien helpen.
23686	Show me the way, will you?	Wijs me de weg, wil je?
29358	The clock has stopped. It needs a new battery.	De klok staat stil. Hij heeft een nieuwe batterij nodig.
33267	They speak Spanish in Mexico.	Ze spreken Spaans in Mexico.
61246	I prefer to be alone.	Ik ben liever alleen.
41702	You're too young to buy beer, aren't you?	Je bent te jong om bier te kopen, of niet?
633	Tom has a mobile.	Tom heeft een GSM.
36552	Tom's answers were wrong.	Toms antwoorden waren fout.
4361	We can leave now.	We kunnen nu vertrekken.
47327	I don't think that Tom can really do that.	Ik denk niet dat Tom dat echt kan.
66700	Tom pressed his ear against the wall.	Tom drukte zijn oor tegen de muur.
66828	We're on a rescue mission.	We zijn op reddingsmissie.
24827	He showed his photograph album to me.	Hij liet me zijn fotoalbum zien.
57777	I lied to my girlfriend about my age.	Ik heb tegen mijn vriendin gelogen over mijn leeftijd.
1180	I must buy a pair of shoes.	Ik moet een paar schoenen kopen.
465	Get it out of here.	Haal het hier weg.
9274	He will get well soon.	Hij zal snel weer beter zijn.
2509	Tell Tom I'm not hungry.	Zeg Tom dat ik geen honger heb.
29306	I'm eating fruit.	Ik ben fruit aan het eten.
6379	I had no alternative.	Ik had geen keus.
34311	She speaks English and German.	Ze spreekt Engels en Duits.
32762	You're part of this.	Je bent er een deel van.
50515	Millions of people lost their jobs.	Miljoenen mensen verloren hun baan.
15522	Man has the ability to speak.	De mens heeft het vermogen om te spreken.
13312	Several children are playing on the beach.	Er spelen enkele kinderen op het strand.
41747	I'm beginning to miss my girlfriend.	Ik begin mijn vriendin te missen.
5105	Don't interrupt our conversation.	Onderbreek ons gesprek niet.
33536	Do you have any proof?	Heb je enig bewijs?
69114	The roof was damaged by the storm.	Het dak is door de storm beschadigd.
49806	This is their house.	Dit is hun huis.
25621	You may as well come with me.	Komt u ook maar met mij mee.
34070	I'm not disturbing you, am I?	Ik stoor toch niet, wel?
61754	Tom is looking ill.	Tom ziet er ziek uit.
30195	They're quite disagreeable, aren't they?	Zij zijn nogal onaangenaam, nietwaar?
38153	Don't bother Tom.	Laat Tom met rust.
58479	I'm not from around here.	Ik ben niet van hier.
30807	My sister was a beautiful woman.	Mijn zus was een erg knappe vrouw.
52892	What will happen to Tom?	Wat zal er met Tom gebeuren?
64526	How many kinds of insect are there?	Hoeveel soorten insecten zijn er?
36764	I have a lot of pencils.	Ik heb veel potloden.
3081	Give them to her.	Geef ze aan haar.
10665	I'm wearing Tom's old pajamas.	Ik draag de oude pyjama van Tom.
44366	He forgot my birthday.	Hij vergat mijn verjaardag.
62877	I spilled the milk.	Ik morste de melk.
42403	He's sitting at the table.	Hij zit aan tafel.
22420	I feel relaxed with you.	Ik kom bij jou tot rust.
66453	You've still got all your life in front of you.	Je hebt toch nog een heel leven voor je.
29269	Tom's birthday is the same as Mary's.	Tom is op dezelfde dag jarig als Mary.
10258	Maybe Tom has problems.	Misschien heeft Tom problemen.
27745	Tom is my imaginary friend.	Tom is mijn denkbeeldige vriend.
