	eng	kor
1986	Tom is relatively fit and healthy.	톰이 상대적으로 가장 알맞고 건강하다.
770	I haven't finished this yet.	이거 아직도 못 끝냈어.
1655	Did you like the flowers that I sent you?	내가 너한테 보낸 꽃 마음에 들었어?
2245	Where can I learn French?	어디서 프랑스어를 배울 수 있어?
394	I'm sorry I left without you.	너 빼고 가버려서 미안해.
3590	I feel like this isn't going to end well.	좋게 끝날 것 같지 않은 기분이야.
2023	Tell me I'm not dreaming.	내가 꿈을 꾸는 것이 아니라고 말해.
1276	Tom was three years old when his mother was killed in a traffic accident.	톰은 어머님이 교통사고로 돌아가셨을 때 세 살이었어.
3698	I'm way stronger than I used to be.	나는 예전의 나보다 훨씬 강해.
2991	I sincerely regret having caused you such an inconvenience.	폐를 끼쳐서 진심으로 죄송합니다.
2632	Tom is likely to make a mistake.	톰이 실수를 할 것 같아.
1992	I think French is the most beautiful language in the world.	프랑스어는 세상에서 가장 아름다운 언어인 것 같아.
3814	I think that what you're doing is wrong.	네가 하고 있는 것은 틀린 것 같아.
432	Did you get a chance to talk with Tom?	톰과 대화할 기회라도 생겼어?
3453	I think that Tom is a workaholic.	톰은 일 중독자인 것 같아.
1400	Tom is probably not going to be there.	톰은 아마 거기에 안 갈 거야.
2652	Tom said goodbye and left.	톰은 작별인사를 하고 떠나버렸어.
2610	What's your opinion on that?	그것에 대한 당신의 의견은 무엇인가?
1590	The government tends to control the media.	정부는 매체를 조종하는 경향이 있다.
275	Will you help us now?	이제 우릴 도와줄 거야?
1163	Tom is planting a palm tree in his backyard.	톰이 뒷마당에 야자 나무를 심고 있다.
67	I never should've borrowed money from Tom.	난 톰한테 돈을 절대 빌리지 말았어야 했는데.
28	Tom sleeps all the time.	톰은 맨날 잠만 자.
2546	Not all horses were born equal. A few were born to win.	모든 말들이 동등하게 태어난 건 아니야. 몇몇은 이기기 위해 태어났어.
1787	We had a good time yesterday.	우리는 어제 즐겁게 지냈다.
2321	Tom's explanation was too complex.	톰은 너무 복잡하게 설명해.
1685	I want to learn Chinese next year.	나는 내년에 중국어를 배우고 싶다.
49	I learned to write in school.	난 학교에서 쓰는 법을 배웠어.
1293	The Mona Lisa was painted by Leonardo da Vinci.	모나리자는 레오나르도 다빈치가 그렸어.
1427	Tom is wearing a baseball cap.	톰은 야구 모자를 쓰고 있어.
2948	I don't think Tom is sorry.	톰이 미안해 하는 것 같지 않은데.
3579	Tom left us some food and water.	톰은 우리에게 약간의 음식과 물을 남겨주었다.
2016	The following morning, the snowman was completely melted.	다음 날, 눈사람은 완전히 녹아버렸어.
3295	Quick, hide over here!	빨리, 이쪽으로 숨어!
1123	I live in a small apartment.	나는 작은 아파트에 살아요.
976	I really hate myself right now.	바로 지금 난 내 자신이 싫어.
2912	I try to act appropriately.	적절하게 처신하려고 노력하는 중이야.
1126	I hear that there are people in Japan that keep penguins as pets.	일본에는 펭귄을 키우는 사람이 있대.
2463	These three books belong to Tom.	이 책 세 권은 톰 거야.
1692	He goes swimming in the river every day.	그는 매일 강에 수영하러 간다.
452	Tom is still quite young.	톰은 아직도 꽤 어려.
1708	I don't like cookies, either.	난 쿠키도 안 좋아해.
3575	Don't pry into my private life.	내 사생활 캐묻지 마.
781	Tom shut his computer off.	톰은 자기 컴퓨터를 껐어.
2009	He came to London by way of Siberia.	그 사람은 시베리아를 거쳐서 런던에 왔어.
2997	He's in his fifties.	그 사람은 오십 대야.
712	Tom used Mary's computer.	톰은 메리의 컴퓨터를 썼어.
2274	We studied French for three years.	우린 3년동안 프랑스어를 공부했어.
2984	Let us know what you decide.	네가 결정한 걸 알려줘 봐.
3766	Are you sure they can do that?	네가 그걸 할 수 있다고 확신해?
964	The tire factory employs 250 people.	그 타이어 공장은 250명을 고용한다.
1938	We can do this without Tom's help.	우리는 톰의 도움없이 이것을 할 수 있다.
2785	Have you ever been to Tom's home?	톰 집에 가본 적 있어?
1943	One woman was killed.	여자 한 명이 살해당했어.
2794	What's Tom's favorite drink?	톰이 가장 좋아하는 음료는 뭐야?
2234	I'm still optimistic about the project.	난 그 프로젝트에 대해 아직 긍정적이야.
2156	My daughter is not yet three.	내 딸은 아직 3 살이 안 됐어.
1200	Tom has been battling depression for many years.	톰은 수년 간 우울증과 싸우고 있어.
2406	You can learn French.	넌 프랑스어를 배울 수 있어.
2242	Tom fainted at the sight of the needle.	톰은 바늘의 광경을 보고 실신했어.
425	Tom isn't a lazy boy. As a matter of fact, he works hard.	톰은 게으른 아이가 아니야. 실제로는 열심히 해.
442	We didn't expect it to take this long.	이렇게 시간이 걸릴 줄은 몰랐어.
842	Tom was killed in the battle.	톰은 전쟁 중에 죽었어.
3283	My father is suffering from influenza.	우리 아빠는 인플루엔자에 걸려 있어.
1098	I don't think Tom wants to be my friend anymore.	나는 더 이상 톰이 내 친구가 되고 싶어한다고 생각하지 않아.
444	Tom is quite shy, isn't he?	톰은 좀 소심한 것 같지 않아?
467	I'm aware this is Monday.	지금 월요일이라는 것을 자각하고 있어.
2347	Tom has an appointment at 2:30.	톰은 2시 30분에 약속이 있어.
1106	A virus infected Tom's computer.	톰 컴퓨터는 바이러스에 감염되었어.
3287	Tom knows something you don't.	톰은 네가 모르고 있는 걸 알고 있어.
1	What do you think of Tom's new car?	톰의 새로운 자동차에 대해 어떻게 생각해?
3001	When was the last time you went canoeing?	가장 최근에 카누를 탄 적이 언제야?
906	Tom was probably pondering something.	톰은 아마 뭔가를 곰곰히 생각하고 있었을 거야.
2252	Who's the person who was just speaking to you?	너한테 막 말 걸던 사람 누구야?
2559	I met Tom after work.	난 퇴근 후 톰을 만났다.
1717	Prior to the meeting, they had dinner.	미팅에 앞서 사람들은 만찬을 했다.
487	Tom met Mary in 2013.	톰은 메리를 2013년에 만났어.
2497	We can't give up.	우린 포기할 수 없어.
110	Company regulations mandate that workers use protective eyewear.	회사 방침에 따르면 근로자가 보호 안경을 사용하도록 되어 있어요.
1203	No one listens anymore.	더이상 아무도 듣지 않는다.
2796	My wife is wearing a blue dress.	내 아내는 파란 드레스를 입고 있어.
1637	Every time I read this novel, I find it very interesting.	나는 이 소설을 읽을 때마다, 매번 이 소설에 흥미를 느낀다.
949	I'm a patient man.	난 참을성이 있는 남자야.
1243	I don't like this store.	이 가게 마음에 안들어.
3174	It looks like it's going to rain.	비가 올 것 같네요.
2640	Learning French takes time.	프랑스어를 배우는 데에는 시간이 걸려.
3724	Could you tell me what that means?	그게 뭘 의미하는 건지 말해줄 수 있을까?
911	Tom eats meat, but Mary doesn't.	톰은 마리와는 달리 고기를 먹을 수 있어.
1125	Tom is allowed to stay. The rest of you have to leave.	톰은 남아 있어도 돼. 너희 나머지는 나가야 해.
1609	You two are adorable!	너희 둘 정말 귀엽네!
577	I love this school.	난 이 학교를 좋아해.
1831	What are you washing?	당신은 무엇을 씻고 있습니까?
1088	My daughter is only three.	내 딸은 3살일 뿐이야.
622	Have you ever been in prison?	너 교도소에 간 적 있어?
2055	Tom is having a tough time.	톰은 힘든 시간을 보내고 있어.
3717	Tom is going to check it out.	톰이 확인하러 갈 거야.
3475	Are you blaming me for your lack of success?	네가 성공을 못 하는 것을 내 탓으로 돌리는 거니?
386	We never should've gone to Australia.	우린 절대 호주에 가지 말았어야 했는데.
947	Tom wouldn't let them in.	톰은 그들을 못 들어 오게 했다.
497	Tom didn't get up early.	톰은 일찍 일어나지 않았어.
2943	There are things that can't be left to chance.	운에 맡길 수 없는 것들이 있다.
1835	Have you talked to the doctors yet?	아직 의사랑 말 안했어?
2011	I can't tell you much yet.	아직은 많은 것을 말해 줄 수는 없어.
1626	Have you ever seen Tom laugh?	톰이 웃은 걸 한번이라도 본 적 있어?
1579	Tom was afraid to be here.	톰이 여기에 있길 두려워 했어.
548	I like your cat, but she doesn't like me.	나는 네 고양이가 좋은데, 네 고양이는 나를 싫어하네.
163	I like learning languages.	난 언어를 배우는 것을 좋아해.
447	I want to learn guitar.	기타 치는 법을 배우고 싶어.
2639	I should've told you everything earlier.	너한테 모든 걸 좀 더 빨리 얘기했어야 했는데.
2223	She dyed her hair blonde.	그녀는 머리를 금발로 염색했다.
349	I wonder if Tom noticed the difference.	톰이 다른 점을 눈치챘는지 의문스러워.
257	I was happy to help you.	널 도울 수 있어서 기뻤어.
2204	I haven't heard from anyone.	아무에게도 들어본 적이 없어.
2970	My worst fears came true.	내가 우려했던 최악의 상황이 현실로 되었어.
1606	Tom climbed the mountain.	톰은 그 산을 올라갔다.
2655	Nothing is certain but death and taxes.	죽음과 세금만큼 확실한 것은 없어.
1421	How many years did you live in Boston?	보스턴에서 몇 년 동안 살았어?
805	Can you tell where this road goes?	이 길이 어디로 가는지 알려 줄래?
231	I know that Tom can win.	톰이 이길 수 있다는 건 알고 있어.
82	Tom filled the bathtub with warm water.	톰은 욕조에 따뜻한 물을 부었어.
277	You need to study French.	넌 프랑스어를 공부할 필요가 있어.
2221	Tom is bedridden now.	톰은 지금 침대 신세야.
640	Is that all you want to say?	그게 네가 하고 싶은 말 전부니?
118	This soup is too salty.	이 국 너무 짜요.
2676	I can help you tomorrow.	난 널 내일 도와줄 수 있어.
2109	How about stopping the car and taking a rest?	차를 멈추게하고 쉬는게 어때?
3769	Is your apartment well maintained?	네 아파트는 잘 유지되고 있니?
3799	I know Tom personally.	난 톰을 개인적으로 알고 있어.
3704	Tom went to bed very late.	톰은 엄청 늦게 잤어.
1129	Tom and Mary still live next door to John and Alice.	톰과 메리는 아직도 존과 앨리스의 옆집에 살고 있어.
3432	Now we have one less thing to worry about.	이제 우리는 걱정 거리가 하나 줄었다.
3309	Is there something that you wish to tell me?	뭔가 할 말이 있니?
3285	This restroom's toilet is clogged.	이 화장실의 변기는 막혔어요.
330	We've isolated the problem.	우리는 그 문제를 고립시켰어.
3190	Tom is going home now.	톰은 지금 집에 갈거래.
868	I hate myself for hating Tom.	톰이 싫어서 내 자신이 싫어.
2968	Tom knows not to do that here.	톰은 여기서 그렇게 하지 않을것을 안다.
2946	Don't you want to go with me?	나랑 같이 가고 싶지 않아?
740	This book is way more interesting than that one.	이 책이 저거보다 훨씬 흥미롭다.
283	How many times do I need to repeat it?	몇 번을 반복해야 해?
1597	I should've bought more food.	내가 먹을 것을 더 샀어야 했는데.
1011	He tried to open the door.	그가 문을 열려고 하였다.
1622	The cats are meowing.	고양이들이 야옹하고 울고 있어.
3489	What kind of work do you do?	어떤 종류의 일을 하세요?
800	Tom was at the pub with his friends last night.	톰은 어젯밤에 친구랑 술집에 있었어.
3765	What do you think this sentence means?	이 문장이 무슨 뜻인 것 같아?
3697	Tom finally found his keys.	톰이 드디어 자기 열쇠를 찾았다더라.
702	Tom really made me feel at home.	톰은 내가 마치 집에 있는 것처럼 편안하게 해주었어.
683	I wonder why Tom left.	왜 톰이 떠났을까 궁금하네.
3595	I feel like doing that today.	오늘 이걸 하고 싶은 기분이야.
2703	Does anyone oppose the new plan?	새로운 계획에 반대하는 사람있습니까?
528	If your father asks your mother a question in French, does she answer in French or in English?	너의 아버지가 어머니에게 만약 프랑스어로 질문을 하면 그녀는 프랑스어로 대답하니 아니면 영어로 대답하니?
3602	Tom's dog is very big.	톰 강아지는 정말 커.
3127	Tom is a pretty good poet.	톰은 좀 괜찮은 시인이야.
1264	Tom came here to learn French.	톰은 프랑스어를 배우려고 여기에 왔어.
3683	This information is very important to us.	이 정보는 우리한테 있어서 정말 중요해요.
3846	Where did you learn to make pizza?	피자 만드는 법을 어디서 배웠어?
2742	I wanted to see Tom's room.	톰의 방을 보고 싶었어.
3056	I can't answer your question.	나는 네 질문에 답할 수 없어.
287	Tom has kids now.	톰한텐 이제 애들이 있어.
3114	Can you help me?	저를 좀 도와 주실래요?
389	Our new car is not very big.	우리의 새 차는 그렇게 크지는 않다.
3529	I live in a small apartment.	나는 작은 아파트에서 살아.
921	I didn't know Tom was a drug addict.	난 톰이 마약 중독자라는 걸 몰랐어.
1320	How long do you plan to stay there?	거기서 얼마나 있을 예정이야?
7	The earth is much larger than the moon.	지구는 달보다 훨씬 더 넓어.
3443	I need to warn Tom.	나는 톰에게 경고해야 해.
2133	Tom wore jeans and a cowboy hat.	톰은 청바지를 입고 카우보이 모자를 썼어.
2865	Tom's boss was really angry.	톰의 상사는 정말 화가 났다.
3550	I'm not going to go in there.	난 거기에 안 들어갈 거야.
3820	Is it true that you're a high school teacher?	네가 고등학교 선생님이라는 게 사실이야?
888	Tom has three computers.	톰은 컴퓨터를 세 대 가지고 있어.
290	Upon hearing the news, she broke down crying.	그녀는 그 소식을 듣자마자 울음을 터뜨렸다.
1006	This news is important to us.	이 뉴스는 우리에게 중요하다.
216	Tom is our next-door neighbor.	톰은 우리의 옆집 이웃이다.
2399	This grocery store only sells organic food.	이 슈퍼마켓에선 오직 유기농 음식만 팔아.
3499	Don't believe everything people tell you.	사람들이 말하는 전부를 믿지는 마.
1630	I can't ask Tom right now.	난 지금 당장은 톰한테 물어볼 수 없어.
1909	I'm sorry that you had to hear that.	그걸 들어야 했다니 유감이야.
2487	I wanted Tom to sing my favorite song.	난 톰이 내가 좋아하는 노래를 불러줬으면 했어.
1095	I like studying languages.	언어를 공부하는 게 좋아요.
1283	Come to my house whenever you like.	언제든지 우리 집에 와.
2267	I wish I'd married another man.	다른 남자와 결혼했다면 좋았을 텐데.
2361	You and I have a lot in common.	우리 둘은 공통점이 많네.
2600	I know Tom is a very good chess player.	나는 톰이 체스를 아주 잘 둔다는 것을 알고 있어.
3000	I managed to crack the code.	난 코드를 간신히 해킹했어.
0	That's just my guess.	그건 단지 내 추측이야.
1021	Where in the world have you been?	세상에 너 어디에 있었니?
2577	Nobody backed up what I said.	아무도 내 말을 지지해주지 않았다.
1666	I feel very guilty.	나는 큰 죄책감을 느끼고 있어.
540	Working in such conditions was especially difficult.	저런 상태에서 일하는 것은 특히 어려운 일이었다.
160	The students of this school are kind.	이 학교의 학생들은 친절하다.
356	Tom is a very bad person.	톰은 아주 나쁜 사람이야.
2985	I can't decode the message.	메시지를 해독할 수 없어.
91	I hope that I can do it.	내가 할 수 있길 바라.
814	Are you really willing to help?	진짜로 도와줄 마음이 있어?
1684	Tom kicked the ball really hard.	톰은 정말 세게 공을 찼습니다.
