	eng	por
10196	I want to buy a blue sweater.	Quero comprar um suéter azul.
114631	We talked a lot about you.	Falamos muito sobre você.
92141	Can I have another piece of cake?	Posso comer mais um pedaço de bolo?
44830	Tom shouldn't wait for Mary for more than ten minutes.	O Tom não deveria esperar a Mary por mais de dez minutos.
43864	I bought the book yesterday.	Eu comprei o livro ontem.
75095	I want to go to Australia just as badly as you do.	Eu desejo tão intensamente ir para a Austrália quanto vocês.
87399	Tom didn't need to go home early.	Tom não precisou ir em casa mais cedo.
77897	A small car is more economical than a large one.	Um carro pequeno é mais econômico que um grande.
126000	You might want a little help.	Você pode querer um ajudinha.
13203	Could you wait a moment?	Poderíeis esperar um momento?
26112	He can't tell right from wrong.	Ele não distingue o certo do errado.
52585	Before you do that, there is something you need to know.	Antes que façam isso, há algo que vocês precisam saber.
91280	Tom and Mary are listening.	Tom e Maria estão escutando.
183662	I'll do everything within my power to make sure your children are safe.	Farei tudo que está em meu poder para ter certeza de que suas crianças fiquem em segurança.
161482	I didn't believe you.	Eu não acreditei em você.
164225	Tom was standing by the fence.	Tom estava parado perto da cerca.
133841	The man is old.	O homem é velho.
80353	Tom's a likable guy.	Tom é um cara simpático.
121852	What flight is Tom on?	O Tom está em que voo?
50799	You're just like your sister.	Você é igualzinha à sua irmã.
14651	Tom doesn't want to hear anything Mary has to say.	Tom não quer ouvir nada do que Mary tem a dizer.
94464	I'm going to study French for one semester.	Vou estudar francês por um semestre.
43444	She and I have nothing in common.	Ela e eu não temos nada em comum.
130120	I'm Tom's nephew.	Eu sou sobrinho de Tom.
172917	I think Tom believed me.	Acho que o Tom acreditou em mim.
127947	The weather was balmy.	O clima era ameno.
148129	Daddy, can you read me a story before I go to sleep?	Pai, você poderia ler uma história para mim antes de dormir?
67477	That would be extremely helpful.	Aquilo seria extremamente útil.
103104	I've been living here for many years.	Há muitos anos que eu moro aqui.
157493	I'll study French this evening.	Vou estudar francês essa noite.
178921	Tom is a ballet dancer.	O Tom é bailarino.
95699	Tom finished reading the book and returned it to Mary.	Tom acabou de ler o livro e o devolveu a Mary.
91110	I know that I don't have to do that.	Eu sei que não preciso fazer isso.
145478	Our TV isn't working.	Nossa televisão não está funcionando.
168233	Tom left his children alone at home.	Tom deixou seus filhos sozinhos em casa.
43750	Both of your daughters are very beautiful.	As duas filhas tuas são muito lindas.
8034	I never get angry.	Jamais fico com raiva.
95055	The bathtub was filled with hot water and flower petals.	A banheira estava cheia de água quente com pétalas de flores.
129568	I'll try to make it before 2:30.	Tentarei fazê-lo antes das duas e meia.
325	We had lunch at a roadside restaurant.	Almoçamos num restaurante à margem da estrada.
152023	Tom said he needed money.	Tom disse que precisava de dinheiro.
118778	Have you ever read Gulliver's Travels?	"Você já leu ""As Viagens de Gulliver""?"
151754	I can't live without you.	Não posso viver sem você.
75079	I wonder if Tom is still grouchy.	Eu me pergunto se Tom ainda é rabugento.
124564	The coffee is hot.	O café está quente.
116425	May I put it here?	Posso colocar ele aqui?
99374	We talked about time zones.	Falamos sobre fuso horários.
142272	There's still plenty of time.	Ainda há tempo suficiente.
137604	I didn't need you.	Eu não precisei de você.
168591	Tom became a drug dealer.	Tom tornou-se traficante de drogas.
67541	They are both very intelligent.	Elas são ambas muito inteligentes.
178763	She spends a lot of money on books.	Ela gasta bastante dinheiro em livros.
62996	We had a lot of rain this month.	Tivemos muita chuva este mês.
153222	Is it true that you and Tom got married?	É verdade que você e Tom se casaram?
98871	Tom doesn't eat beef.	Tom não come carne de boi.
70278	I can only import GIF files.	Só posso importar arquivos GIF.
180933	What will your husband think?	Que pensará o seu marido?
98062	Tom is putting the children to bed.	Tom está colocando as crianças na cama.
167551	I work in a bank.	Eu trabalho num banco.
158996	They weren't doing anything wrong.	Eles não estavam fazendo nada de errado.
93677	Tom was aware Mary was in the hospital.	Tom sabia que Mary estava no hospital.
34328	I must buy a pair of shoes.	Preciso comprar um par de sapatos.
76790	Your letter made me happy.	Sua carta me deixou feliz.
87375	One by one, the senators voted.	Um por um, os senadores votaram.
157843	Did you want to speak with me?	Tu querias falar comigo?
121498	I forgot to buy a present for Tom.	Esqueci de comprar um presente para Tom.
25084	When I got to the bus stop, the bus had already left.	Quando cheguei ao ponto de ônibus, o ônibus já tinha partido.
51547	She answered my letter right away.	Ela respondeu minha carta rapidamente.
16925	The patient will soon recover from his illness.	O paciente vai se recuperar da doença logo.
5023	Tom won't be happy here.	Tom não será feliz aqui.
63721	I'm sure Tom means well.	Tenho certeza de que Tom tem boas intenções.
33550	She wants him to be her friend.	Ela quer que ele seja seu amigo.
141416	How's your wife doing?	Como vai a sua mulher?
34372	This is a peaceful place.	Esse lugar é tranquilo.
134200	The mountain path was under a blanket of leaves, soft and easy to walk on.	O caminho da montanha estava sob um cobertor de folhas, macias e sobre as quais era fácil de se caminhar.
76631	How's the family?	Como vai a família?
118631	Tell Tom that I'm proud of him.	Digam ao Tom que eu estou orgulhosa dele.
77578	Can you really do that?	Você pode mesmo fazer isso?
24783	Nobody knows we're cousins.	Ninguém sabe que somos primos.
144606	I was the toughest kid in the neighborhood.	Eu era a criança mais resistente do bairro.
124065	It's easy to remember.	É fácil de lembrar.
24530	We knew you'd come.	Nós sabíamos que você viria.
80143	Newscasters blink a lot.	Os jornalistas piscam muito.
11514	He always yells at me for not taking care of my shoes.	Ele sempre grita comigo por eu não tomar conta dos meus sapatos.
103404	They understood my plight.	Ele entenderam meu apuro.
6657	I hope that is not the case.	Eu espero que esse não seja o caso.
18851	They're playing our song.	Estão tocando a nossa música.
160956	I got back to Boston yesterday.	Voltei para Boston ontem.
164224	Are you picking me up at 7 tomorrow morning?	Você vai me buscar às 7 amanhã de manhã?
147788	I think you're pretty.	Eu te acho bonita.
119696	Tom is very angry with Mary.	Tom está muito bravo com Maria.
128992	Are you sure no one followed you?	Tem certeza de que ninguém seguiu você?
164669	I didn't want to go to the park.	Eu não queria ir ao parque.
23049	Do what is right.	Faça o que é certo.
27333	The teacher showed us how to use a computer.	A professora nos mostrou como usar um computador.
94961	I really like snow.	Eu gosto muito de neve.
19722	That's what I've always said.	Isso é o que eu sempre disse.
121315	I had a rough day.	Eu tive um dia difícil.
119055	My house is built of wood.	Minha casa é feita de madeira.
32617	Tom knows how to fix it.	O Tom pode consertar isso.
84904	Tom bought a camera like yours.	O Tom comprou uma câmera igual a tua.
17716	Why don't you go on a diet?	Por que você não faz dieta?
64795	Things aren't always as they appear.	As coisas não são sempre o que parecem.
37306	One box is still missing.	Ainda está faltando uma caixa.
145019	I told you to stay away from my sister.	Eu te disse para ficar longe da minha irmã.
33649	Are we going to eat out tonight?	Vamos comer fora hoje à noite?
25312	I want to be an astronaut.	Eu quero ser astronauta.
65279	Where can I catch the bus to the Tokyo station?	Onde posso pegar o ônibus para a estação de Tóquio?
107501	I met your son yesterday and he greeted me politely.	Ontem encontrei teu filho e ele gentilmente me cumprimentou.
16697	I was the only person in the office.	Eu era a pessoa única no escritório.
148876	Which did you eat, fish or meat?	O que você comeu: peixe ou carne?
91707	Would you like to play soccer with us?	Quer jogar futebol conosco?
62779	Burn this letter after you finish reading it.	Queima esta carta quando acabares de ler.
121027	Tom would be so disappointed.	Tom ficaria muito desapontado.
100600	We just have to be patient.	Só temos de ser pacientes.
92150	I almost fell off the cliff.	Eu quase caí do penhasco.
22390	Tom could hardly believe him.	Tom mal podia acreditar nele.
141369	Tom said that he wanted to forget about it.	Tom disse que queria se esquecer disso.
28194	Tom rarely does that before lunch.	Tom raramente faz isso antes do almoço.
39023	Who wrote these messages?	Quem escreveu essas mensagens?
98528	I don't want you to tell me what I already know.	Não quero que venhas me contar aquilo que eu já sei.
176608	Tom is a great person.	Tom é uma ótima pessoa.
27560	Is your watch correct?	Seu relógio está certo?
173878	That building has no emergency exit.	Aquele prédio não tem saída de emergência.
142870	We can't live like this.	Não podemos viver desta maneira.
93152	We're the first to arrive.	Somos os primeiros a chegar.
176070	He took over the business from his father.	Ele assumiu os negócios de seu pai.
153200	Tom decided to leave work early.	Tom decidiu sair mais cedo do trabalho.
2479	He was deeply moved by the story.	Ele ficou profundamente comovido com a história.
28867	I'll do that again if Tom wants me to.	Eu farei isso de novo se o Tom quiser.
9255	How long have you been smoking?	Faz quanto tempo que você está fumando?
112289	I think that Tom is impolite.	Eu acho que o Tom é grosseiro.
60766	I'll call back as soon as I can.	Retornarei a ligação assim que puder.
35281	Tom went to church with his parents every Sunday.	Tom ia à igreja com seus pais todo domingo.
129358	What do dogs and wolves have in common?	O que cães e lobos têm em comum?
107613	Tom is very interested in water sports.	Tom se interessa muito por esportes aquáticos.
86406	How would you react if your wife told you that?	Como reagiria você se sua mulher lhe dissesse isso?
72494	Everything she says is untrue.	Tudo o que ela diz é falso.
79875	I never liked that nickname.	Nunca gostei desse apelido.
95925	Don't let anyone close this door.	Não deixe que ninguém feche esta porta.
111194	I didn't want to go, but Tom made me go.	Eu não queria ir, mas Tom me obrigou.
20878	I'm happy because you're here.	Eu estou feliz porque você está aqui.
93917	I am a student at Oxford University.	Eu sou um estudante na universidade de Oxford.
149858	Tom is in the attic.	Tom está no sótão.
51030	They're still in Boston.	Eles ainda estão em Boston.
42485	I still call Tom from time to time.	Ainda chamo Tom de vez em quando.
134802	Did anybody eat with you?	Alguém comeu com você?
51816	Tom's mother died just one week before Tom graduated from college.	A mãe de Tom morreu logo uma semana antes que ele se formasse na universidade.
62960	The two languages have a lot in common.	Os dois idiomas têm muito em comum.
159925	I'm very sad.	Eu estou muito triste.
54043	What exactly does that mean?	O que isso significa exatamente?
21064	Tom and I are working.	Tom e eu estamos trabalhando.
68820	He is going to study English next week.	Ele vai estudar inglês semana que vem.
173754	It'll keep us together.	Isso nos manterá juntos.
50118	Tom could tell Mary was jealous.	Tom podia dizer que Mary estava com ciúmes.
100619	Tom won't be leaving on Monday.	Tom não vai partir na segunda-feira.
9220	Tom told Mary that he had to leave before 2:30.	Tom disse à Mary que ele tinha que ir embora antes das 2:30.
1916	He likes playing soccer.	Ele gosta de jogar futebol.
180751	I was the one who did that.	Fui eu quem fez aquilo.
48799	What makes you happy?	O que te faz feliz?
48692	You may never be able to walk again.	Vocês provavelmente nunca mais serão capazes de andar novamente.
84176	Don't let yourself be provoked into a fight.	Não aceite que o provoquem a entrar numa briga.
3465	I know you're busy, but I could use some help.	Eu sei que você está ocupado, mas agradeceria que me ajudasse um pouco.
130940	I'd like you to meet my wife.	Eu gostaria que vocês conhecessem a minha esposa.
52598	Tom is extremely grumpy.	Tom está extremante mal-humorado.
1092	White bread, please.	Pão branco, por favor.
99502	You'll get wet.	Você vai se molhar.
11813	Did you already do your homework?	Tu já fizeste os deveres?
37874	Tom's dog has been put to sleep.	O cachorro de Tom foi sacrificado.
80299	I like helping others.	Eu gosto de ajudar os outros.
46403	Tom has been to Australia more times than Mary.	Tom tem estado mais vezes na Austrália que a Mary.
182183	Nobody was paying attention.	Ninguém estava prestando atenção.
72068	Always obey your father.	Obedece sempre a teu pai.
4217	Your snoring kept me up all night.	Teu roncar impediu-me de dormir a noite inteira.
176781	Tom is too old to work.	Tom é velho demais para trabalhar.
25729	Police cordoned off the area.	A polícia isolou a área.
170493	You're the only person I know who can probably answer this question.	Você é a única pessoa que eu conheço que provavelmente consegue responder a esta pergunta.
6660	The boy's problems are physical, not mental.	Os problemas do garoto são físicos, não mentais.
4001	The pain never goes away.	A dor nunca passa.
89245	Your door's unlocked.	A sua porta está destrancada.
95627	His French is improving little by little.	Seu francês melhora pouco a pouco.
45450	You're not hungry, are you?	Você não está com fome, está?
14145	My microscope was stolen.	Meu microscópio foi roubado.
154789	Many people eat fried chicken with their fingers.	Muita gente come frango frito com as mãos.
6462	I hope no one saw you come in here.	Espero que ninguém tenha visto vocês entrarem aqui.
57053	I don't think that Tom knows I'm a vegetarian.	Acho que Tom não sabe que sou vegetariano.
21597	Tom and I had lunch together.	Eu e Tom almoçamos juntos.
156304	Do you want some raisins in your oatmeal?	Você quer um pouco de passas em sua aveia?
138207	I know his name.	Eu sei o seu nome.
81596	They attained their goal.	Eles alcançaram o seu objetivo.
97177	It is high time we said good-bye.	Já passou da hora de nos despedirmos.
164105	I don't think Tom knows Mary's phone number.	Eu não acho que o Tom saiba o número de telefone da Mary.
21469	He's a strange guy.	Ele é um cara estranho.
167187	Where are you going to put this chair?	Onde vais colocar essa cadeira?
173310	Tom has started to learn French.	O Tom começou a estudar francês.
9504	He fixed the net.	Ele consertou a rede.
89747	You should change your password frequently.	Você deveria mudar sua senha com frequência.
5503	You shouldn't talk here.	Você não deveria conversar aqui.
127267	What exactly is it you want us to do?	O que exatamente você quer que a gente faça?
110072	What do you want to do after lunch?	O que quer fazer depois do almoço?
179726	I have already told Tom that Mary isn't here.	Eu já disse a Tom que Maria não está aqui.
165517	What do you like?	Do que vocês gostam?
176907	He has lost his father's watch.	Ele perdeu o relógio do pai.
96598	Ask Tom to sing.	Peça o Tom para cantar.
43241	Tom is looking for a solution to the problem.	O Tom está procurando uma solução para o problema.
179123	I know Tom is exhausted.	Eu sei que Tom está exausto.
127355	That won't work!	Isso não vai funcionar!
51290	Tom wasted no time.	O Tom não perdeu tempo.
178213	I don't want to do anything.	Eu não quero fazer nada.
106217	Please sing a song.	Por favor, cantem uma música.
57242	Half of this is yours.	Essa metade é sua.
146589	Do you like your classmates?	Você gosta de seus colegas de classe?
174287	How many civilians were killed?	Quantos civis foram mortos?
151638	The heavy snow stopped the train from running on time.	A forte nevasca impediu o trem de manter o horário.
179997	Things don't always turn out the way we plan.	As coisas nem sempre saem da maneira que planejamos.
153181	Now I can sleep in peace.	Agora eu posso dormir em paz.
110438	Tom said that he had no money.	Tom disse que não tinha dinheiro.
51599	Tom has trouble hearing.	O Tom tem problemas de audição.
8803	You're a drunk.	Você é um bêbado.
118128	Tom didn't need more time.	Tom não precisou de mais tempo.
57018	Tom is doing the dishes.	Tom está lavando louça.
13188	Tom hasn't been to my house since October.	Tom não vem a minha casa desde outubro.
140042	She has green eyes.	Ela tem olhos verdes.
7797	We had a lot of rain this month.	Nós tivemos muita chuva este mês.
53415	I wonder if I should talk to her about the problem.	Será que eu deveria falar com ela sobre o problema?
85854	The picnic was called off because of rain.	O piquenique foi cancelado devido à chuva.
143951	Don't be afraid to ask for help.	Não tenham medo de pedir ajuda.
163220	They're attacking us.	Eles estão nos atacando.
72292	Tom is always joking.	Tom está sempre contando piadas.
88233	That's why we're doing what we're doing.	É por isso que estamos fazendo o que estamos fazendo.
61070	I have nothing to do with that case.	Não tenho nada a ver com esse caso.
48417	What do you want to do today?	O que vocês querem fazer hoje?
15376	Would you give me a cup of coffee?	Você me daria uma xícara de café?
132741	Tom isn't willing to tell the truth.	O Tom não está querendo dizer a verdade.
155457	Tom has good taste in art.	O Tom tem um bom gosto para arte.
170324	You're a lot smarter than you think.	Você é muito mais inteligente do que pensa.
110800	I don't like to lend money to anybody.	Eu não gosto de emprestar dinheiro a ninguém.
109517	How long have you been working here?	Desde quando você trabalha aqui?
157591	I didn't think the house would burn down so quickly.	Não pensei que a casa fosse queimar tão rápido.
85762	Don't you like Boston?	Você não gosta de Boston?
148871	I'll call you later today.	Vou te ligar hoje mesmo, mais tarde.
63747	"The word ""the"" is optional in this sentence."	"A palavra ""o"" é opcional nesta sentença."
90379	I'm very busy today.	Estou muito ocupada hoje.
38495	Why are you telling this to me now?	Por que você está me dizendo isso agora?
109489	Everything will be fine.	Vai ficar tudo bem.
23233	I don't yet know what we need to do.	Eu ainda não sei o que precisamos fazer.
167003	Tom was able to handle the problem by himself.	Tom conseguiu lidar com o problema sozinho.
2046	Tom is still trying to find out where Mary lives.	Tom ainda está tentando descobrir onde Mary mora.
78626	Tom said that Mary was driving the car at the time of the accident.	Tom disse que Mary estava dirigindo o carro no momento do acidente.
45089	The prime minister fell into the Danube and drowned.	O primeiro ministro caiu no Danúbio e se afogou.
7415	Can you finish by then?	Você consegue terminar até lá?
89838	Does Tom like cats?	O Tom gosta de gatos?
167470	Everybody stopped talking and stared at me.	Todo mundo parou de falar e olhou para mim.
153158	You know Tom is lying.	Você sabe que Tom está mentindo.
140591	The information you gave me is of little use.	A informação que me deste é de pouca ajuda.
69151	That's not really how we do things here.	Não é assim que fazemos as coisas aqui.
55554	I have information for Tom.	Eu tenho informações para o Tom.
50545	Tom got busted for stealing a car.	Tom foi apanhado por roubar um carro.
15245	I've always loved learning languages.	Eu sempre gostei muito de aprender idiomas.
162803	The water isn't cold.	A água não está fria.
20220	Tom and Mary are so different.	Tom e Mary são tão diferentes.
159839	My mother forgot to add salt to the salad.	Minha mãe esqueceu-se de pôr sal na salada.
49791	Have you ever taught French to anyone?	Você tem ensinado francês para alguém?
11444	There's no way I'm going to do that.	Não farei isso de jeito nenhum.
99890	What's your favorite racing game?	Qual é o seu jogo de corrida favorito?
170654	Tom admitted to Mary that he couldn't do that.	Tom admitiu para Mary que ele não pôde fazer isso.
9752	I would never do that to you.	Eu jamais faria isso com você.
4163	Tom is going to move back to Boston.	Tom está se mudando para Boston.
129491	I have very long hair.	Eu tenho cabelo muito comprido.
20545	I've decided to call the police.	Decidi chamar a polícia.
89002	She stumbled over a wheelbarrow.	Ela tropeçou numa carriola.
84260	No one knows the reason.	Ninguém sabe a razão.
30807	That fish is not edible.	Aquele peixe não é de comer.
61574	I'm going because I want to.	Eu vou porque quero.
169364	My father is a bit old-fashioned.	Meu pai tem um gosto antigo.
14429	Our class has forty-five students.	Nossa classe tem quarenta e cinco alunos.
30233	Tom knew that he'd be busy on Monday.	O Tom sabia que ele estaria ocupado na segunda.
174425	I have access to his library.	Tenho acesso à biblioteca dele.
76430	I'll do that for you, Tom.	Farei isso por você, Tom.
180285	Tom got it all wrong.	Tom entendeu tudo errado.
164844	You work too hard.	Você trabalha muito intensamente.
64750	Tom and Mary come from Australia.	Tom e Mary são da Austrália.
4702	Thanks for your help.	Obrigada pela tua ajuda.
178641	How long have you owned it?	Há quanto tempo você a tem?
5865	The boys talked about video games.	Os meninos conversaram sobre video games.
25322	I just need to get some clothes.	Apenas preciso conseguir algumas roupas.
894	You don't know, do you?	Você não sabe, não é?
86844	I don't really like talking to strangers.	Na verdade, eu não gosto de falar com estranhos.
101381	I would like to meet you.	Gostaria de conhecê-la.
114213	A sinkhole has appeared in the middle of the highway.	Apareceu um buraco no meio da estrada.
72653	Tom folded the letter.	Tom dobrou a carta.
41377	How does Tom intend to help?	Como o Tom pretende ajudar?
72477	I exchanged seats with her.	Eu mudei de assento com ela.
12513	Why are you studying?	Por que está estudando?
86749	I still need to clean the kitchen.	Eu ainda preciso limpar a cozinha.
51232	You are not in a position to ask for anything.	Você não está em condições de pedir nada.
117877	Don't you trust me?	Você não confia em mim?
27523	Sometimes my dog barks in the middle of the night.	Às vezes o meu cachorro late no meio da noite.
118575	I should get a bonus.	Eu deveria receber um bônus.
40741	I wish he had attended the meeting.	Queria que ele tivesse participado da reunião.
46718	Languages are really interesting.	Os idiomas são muito interessantes.
179861	We could see the sunset from the window.	Nós podíamos ver o pôr do sol pela janela.
63400	Tom is observant, isn't he?	Tom é observador, não é?
13174	I suppose it's a bit silly for me to worry about something like that.	Suponho que seja um pouco tolo me preocupar com algo assim.
32997	Everybody is expecting a big a bonus.	Todos estão esperando um grande bônus.
127085	I want to sleep a little more.	Eu quero dormir mais um pouquinho.
164984	I'm pretty sure Tom and Mary don't know each other.	Tenho certeza de que Tom e Mary não se conhecem.
176118	She cried for joy when she heard that her son had survived the plane crash.	Ela chorou de alegria quando ela ouviu que o filho tinha sobrevivido ao acidente de avião.
156249	Why do people not always tell the truth?	Por que as pessoas nem sempre dizem a verdade?
138459	Do you think it makes a difference?	Você acha que isso faz diferença?
179824	I don't think that I can be happy here.	Não acho que posso ser feliz aqui.
142988	I know Tom isn't a reckless person.	Eu sei que Tom não é uma pessoa descuidada.
71505	What time did they leave?	A que horas elas partiram?
168493	Do you have a table for five?	Você tem uma mesa para cinco?
17986	My car won't start.	Meu carro não quer ligar.
37030	There are only three girls in the class.	Há apenas três garotas na sala.
22004	Are you in love with Tom?	Você está apaixonado por Tom?
175367	Nobody would listen to me.	Ninguém deu importância ao que eu falei.
48217	Is this turtle yours?	Essa tartaruga é tua?
114311	I don't want what I'm about to say to be recorded.	Não quero que gravem o que estou prestes a dizer.
58	Why are you holding a pair of scissors?	Por que você está segurando uma tesoura?
99093	I think actions are more important than words.	Eu acho que ações são mais importantes que palavras.
125288	Tom has three uncles on his father's side.	Tom tem três tios paternos.
17391	Tom said Mary was asleep.	Tom disse que Mary estava dormindo.
149620	I don't know how to hunt.	Eu não sei caçar.
128503	I gave Tom an apple.	Dei uma maçã ao Tom.
74016	I don't think I'm a good athlete.	Eu acho que não sou um bom atleta.
39019	Tom really doesn't have much choice.	Tom realmente não tem muita escolha.
44467	I agreed with his plan.	Concordei com o plano dele.
159275	That's the last thing I want to do.	Aquela é a última coisa que eu quero fazer.
95631	Let's go home, Tom.	Vamos pra casa, Tom.
149726	Here is my baggage.	Aqui está a minha bagagem.
152575	We need to make changes around here.	Precisamos fazer mudanças por aqui.
6030	I really wanted to study French.	Eu queria muito estudar francês.
8600	Everyone knows that luck and wealth elicit envy.	Todos sabem que sorte e dinheiro geram inveja.
16852	Do you agree with Tom's statement?	Você concorda com a declaração do Tom?
91606	Einstein liked to play the violin.	Einstein gostava de tocar violino.
175733	I really liked that picture.	Eu gostei muito dessa foto!
71356	I spent three hundred dollars on books.	Gastei trezentos dólares em livros.
7563	No one wanted to volunteer.	Ninguém queria se voluntariar.
152894	I wish my house looked like this.	Queria que a minha casa fosse assim.
126651	Tom has more books than I do.	Tom tem mais livros do que eu.
