	eng	ita
160036	You can't rely on his help.	Non puoi contare sul suo aiuto.
64208	I love your eyes.	Adoro i tuoi occhi.
5798	Why didn't you wake me up?	Perché non mi hai svegliata?
124519	I work as a cook.	Io lavoro come cuoca.
110493	Tom seldom drinks coffee.	Tom beve raramente caffè.
159440	Tom seems to be very busy.	Tom sembra essere molto occupato.
143121	We all have jobs.	Abbiamo tutti degli impieghi.
155030	Will you be back soon?	Sarete presto di ritorno?
72075	Don't cut down these trees.	Non abbattere questi alberi.
22138	Can you still see Tom?	Lei riesce ancora a vedere Tom?
135387	The pasty was delicious.	Lo sformato era delizioso.
43957	She is used to traveling.	Lei è abituata a viaggiare.
49758	This cake is delicious.	Questa torta è deliziosa.
56756	Tom won't hurt me.	Tom non mi farà del male.
156864	I really enjoyed it.	Mi è veramente piaciuto.
32413	This whisky is too strong.	Questo whiskey è troppo forte.
210	I've got someone with me.	C'è qualcuno con me.
105021	Hey, don't feel bad.	Hey, non sentitevi male.
142603	Tom is slightly overweight.	Tom è leggermente sovrappeso.
21372	I'm afraid he is ill.	Ho paura che sia malato.
34577	I saw that tonight.	L'ho visto questa notte.
113687	Tom did it last year.	Tom ha fatto questo lo scorso anno.
177222	He's not here yet.	Non è ancora qui.
52338	You can't be serious.	Non puoi essere seria.
62	Rainy season has begun.	È cominciata la stagione delle piogge.
126497	I've come to talk with you.	Sono venuto per parlare con lei.
76144	Tom was a credible witness.	Tom era un testimone credibile.
196487	Tom sat at his desk.	Tom sedeva alla sua scrivania.
48751	They're playing a game.	Loro stanno facendo un gioco.
41414	I'd like to dance with you.	Vorrei danzare con lei.
136570	There is a pen on the desk.	C'è una biro sulla scrivania.
66321	Why does Tom need you?	Perché Tom ha bisogno di te?
35118	I like to write in French.	A me piace scrivere in francese.
88232	I want you to be here.	Voglio che tu sia qui.
81146	What keeps you up so late?	Cosa la tiene alzata fino a così tardi?
141584	I know what to study.	Io so cosa studiare.
151098	Tom is welcome here.	Tom è il benvenuto qui.
38546	I have a lot of cameras.	Io ho molte macchine fotografiche.
59130	I already saw it.	L'ho già vista.
193515	Tom is a total idiot.	Tom è un completo idiota.
28409	I'm not fat.	Io non sono grassa.
143710	I am terribly hungry.	Ho una fame terribile.
145869	They were waiting for us.	Loro ci stavano aspettando.
23222	I read Tom's diary.	Ho letto il diario di Tom.
196663	Your room's ready.	La vostra camera è pronta.
105255	Do you like ginger ale?	A te piace il ginger ale?
198147	I still get paid, right?	Vengo ancora pagato, giusto?
142798	You don't look very happy.	Non sembri molto felice.
193823	I'm not so old.	Io non sono così vecchia.
114509	I think you misunderstood.	Penso che lei abbia capito male.
97900	Try to eat a little more.	Provi a mangiare un po' di più.
1690	Why are you so busy?	Perché sei così impegnato?
122774	I'd prefer red wine.	Io preferirei il vino rosso.
82333	I will stay until the end.	Resterò fino alla fine.
42331	Tom got out of his car.	Tom è uscito dall'auto.
21672	When do I get my reward?	Quando prendo la mia ricompensa?
131067	What school do you go to?	In quale scuola vai?
20084	Everything I said was true.	Tutto ciò che ho detto era vero.
144553	I'll have some lemonade.	Prenderò un po' di limonata.
188431	Tom just didn't understand.	Tom semplicemente non capì.
29560	I'm not a poet.	Non sono un poeta.
38425	I'm all alone now.	Sono completamente solo adesso.
48270	You'd better buy that book.	Fareste meglio a comprare quel libro.
184449	Tom died three weeks later.	Tom è morto tre settimane più tardi.
32790	Tom was killed by an arrow.	Tom è stato ucciso da una freccia.
137349	This plant is good to eat.	Questa pianta è buona da mangiare.
13042	Give me the phone, OK?	Dammi il telefono, va bene?
175744	I'm a little scared.	Ho un po' paura.
150804	Why did you write this?	Perché avete scritto questo?
45369	I wrote a cookbook.	Scrissi un libro di cucina.
138778	Can you do that for Tom?	Lo potete fare per Tom?
163961	I was very happy for Tom.	Io ero molto felice per Tom.
104365	You can't come tomorrow.	Non può venire domani.
125878	I would've said yes.	Avrei detto di sì.
110090	This exam is very easy.	Questo esame è molto facile.
26475	I work all day.	Lavoro tutto il giorno.
78485	I did that in a hurry.	Lo feci di fretta.
11733	I'm not at all busy now.	Non sono per niente occupata ora.
34797	I'm surprised to see you.	Sono sorpresa di vederti.
63605	It was a job done well.	È stato un lavoro fatto bene.
91328	I have an irregular pulse.	Ho un battito irregolare.
109991	Hey, look at the snow.	Ehi, guardi la neve.
5980	I know you don't care.	So che non vi importa.
85417	Tom is extremely dangerous.	Tom è estremamente pericoloso.
83750	Do you see the difference?	Lei vede la differenza?
61077	We arrived home late.	Arrivammo a casa tardi.
75635	Tell me what to think.	Mi dica cosa pensare.
150214	He has no real friends.	Lui non ha veri amici.
153522	Nobody knows me in Boston.	Non mi conosce nessuno a Boston.
147369	I was a stranger in Boston.	Io ero un estraneo a Boston.
119433	Tom has been busy at work.	Tom è stato occupato al lavoro.
46509	I study French at school.	Io studio il francese a scuola.
20778	I have a lot of ideas.	Io ho molte idee.
111930	You must be very happy.	Dovete essere molto felici.
41501	I'll make you proud of me.	Ti renderò fiero di me.
43487	Tom tried to deceive Mary.	Tom provò a ingannare Mary.
35245	He wears thick glasses.	Lui indossa degli occhiali spessi.
167026	I'm attaching three files.	Io sto allegando tre file.
29583	Tom can't drive.	Tom non sa guidare.
102692	You knew I was married.	Lo sapeva che ero sposato.
153394	Did you like it?	A lei è piaciuta?
18152	Tom passed away yesterday.	Tom è morto ieri.
9219	Give me a hand, will you?	Datemi una mano, OK?
132857	I should go to bed.	Dovrei andare a letto.
116720	I can't steal for you.	Non posso rubare per lei.
275	Please tell the truth.	Per piacere, dica la verità.
141394	Hey, look at the snow.	Ehi, guardate la neve.
139726	What should we have done?	Che cosa avremmo dovuto fare?
142616	You're unlucky, aren't you?	Siete sfortunati, vero?
25926	I come here every day.	Vengo qui ogni giorno.
55629	You're a child.	Lei è una bambina.
197531	I'm talking to myself.	Io sto parlando da solo.
32081	Leave the engine running.	Lascia andare il motore.
88939	He has a beautiful tan.	Ha una bella abbronzatura.
54176	Have you seen this video?	Voi avete visto questo video?
175639	Can you help me, please?	Puoi aiutarmi, per piacere?
167611	I have a credit card.	Ho una carta di credito.
41344	We're ready for them.	Siamo pronti per essi.
47302	Did you make a wish?	Ha espresso un desiderio?
132573	Who are your enemies?	Chi sono i suoi nemici?
181128	Hey, what happened?	Hey, cos'è successo?
42392	Should I call you a cab?	Dovrei chiamarvi un taxi?
88250	School begins at 8:10 a.m.	La scuola inizia alle 8:10 di mattina.
174011	You seem a little young.	Sembrate un po' giovani.
81853	That's the point.	Quello è il punto.
140402	We hope you like it.	Noi speriamo che le piaccia.
180470	Could there be a mistake?	Ci potrebbe essere un errore?
98414	I wonder who wrote this.	Io mi chiedo chi abbia scritto questo.
11112	Mary isn't my girlfriend.	Mary non è la mia morosa.
149015	You have a good heart.	Voi avete un buon cuore.
121106	I've decided not to leave.	Ho deciso di non partire.
109578	Tom isn't so certain.	Tom non è così sicuro.
104382	I've made mistakes.	Ho commesso degli errori.
106160	I stayed home all day.	Io sono rimasto a casa tutto il giorno.
122196	I've got lots to say.	Ho molto da dire.
97317	We quickened our pace.	Accelerammo la nostra andatura.
39104	Tom has short hair now.	Tom ha i capelli corti adesso.
83356	Give me some tea.	Mi dia un po' di tè.
124728	I'm faster than you.	Io sono più veloce di lei.
68266	Shouldn't we be friends?	Non dovremmo essere amici?
109076	Tom is probably busy.	Tom probabilmente è impegnato.
78454	Boston is where I'm from.	Boston è da dove vengo.
165330	I'm not paying for it.	Non lo sto pagando.
2850	What was the explanation?	Quale era la spiegazione?
158790	I'm on your side.	Sono al tuo fianco.
145638	Tom refused to move.	Tom si è rifiutato di muoversi.
30077	What floor do you live on?	Lei a che piano abita?
6962	Do you know the answer?	La sa la risposta?
112787	This is very difficult.	Questo è molto difficile.
144281	What did you tell Tom?	Cos'hai detto a Tom?
169010	Aren't you and Tom friends?	Voi e Tom non siete amici?
114107	I asked Tom what was wrong.	Ho chiesto a Tom cosa non andava.
168379	He's tickled pink.	Lui si sta divertendo moltissimo.
57393	It's easy to weave baskets.	È facile tessere cestini.
18336	Tom gave me a pretty doll.	Tom mi ha dato una bella bambola.
80314	Your French is perfect.	Il vostro francese è perfetto.
164035	Well, it's obvious now.	Beh, è ovvio ora.
124681	Let me tell you my plans.	Lasci che le dica i miei piani.
161652	You need a break.	Ti serve una pausa.
34959	I'm sure you're very busy.	Sono sicura che è molto impegnato.
17968	Can you catch the chicken?	Riesci a catturare il pollo?
17668	Tom grew up in the ghetto.	Tom crebbe nel ghetto.
95730	When will lunch be ready?	Quando sarà pronto il pranzo?
46574	Tom is a total beginner.	Tom è un principiante assoluto.
78780	Why can't I kiss you?	Perché non vi posso baciare?
140686	I might be late tomorrow.	Potrei essere in ritardo domani.
142993	It's a touchy subject.	È un argomento spinoso.
68452	You owe me an explanation.	Mi devi una spiegazione.
41813	I'm living in Boston now.	Abito a Boston ora.
142781	Tom seemed to like that.	Sembrava che a Tom piacesse.
195151	Do you like guitars?	A voi piacciono le chitarre?
148698	My pen is new.	La mia biro è nuova.
25870	I really enjoyed the party.	Mi è piaciuta veramente la festa.
18299	My favorite food is pizza.	Il mio cibo preferito è la pizza.
154627	My house is fully insured.	La mia casa è completamente assicurata.
15574	I think that he is right.	Penso che lui abbia ragione.
81685	Please don't say anything.	Per favore, non dite niente.
9230	Actinium is a silvery metal.	L'attinio è un metallo argenteo.
7140	We used to be good friends.	Noi eravamo buoni amici.
69497	I, too, am a teacher.	Anche io sono una maestra.
138706	I've got plenty of money.	Sono pieno di soldi.
166033	I read all kinds of books.	Ho letto tutti i tipi di libri.
120286	It's time to go to work.	È ora di andare al lavoro.
48798	Your shoes are dirty.	Le tue scarpe sono sporche.
166179	She declined my invitation.	Rifiutò il mio invito.
163418	He's a liar.	Lui è un bugiardo.
40555	Why did Tom bring you here?	Perché Tom vi ha portati qui?
72448	I hope Tom stays in Boston.	Io spero che Tom rimanga a Boston.
168790	Oh no! I forgot my camera.	Oh no! Ho dimenticato la mia macchina fotografica.
8086	Are you mocking me?	Mi sta prendendo in giro?
84284	You're part of the problem.	Voi fate parte del problema.
42952	I'd love to sing for you.	Io amerei cantare per te.
196431	Tom has promised to come.	Tom ha promesso di venire.
6210	Is Tom suggesting that?	Tom lo sta suggerendo?
96222	Tom reads his wife's diary.	Tom legge il diario di sua moglie.
43203	He's too drunk.	Lui è troppo ubriaco.
88450	Who made the doll?	Chi ha fabbricato la bambola?
111657	This coffee shop is cozy.	Questo bar è confortevole.
61094	We can't hide here anymore.	Non ci possiamo più nascondere qua.
135732	He knows us very well.	Ci conosce molto bene.
82846	Tom saw Mary kissing John.	Tom vide Mary baciare John.
181100	We have no choice.	Non abbiamo alcuna scelta.
113829	You may choose any of them.	Potete sceglierne uno qualsiasi.
132863	Don't worry about this.	Non preoccupatevi per questo.
21373	I was just looking for Tom.	Stavo solamente cercando Tom.
122341	Bring me some cold water.	Mi porti dell'acqua fredda.
139691	I hope nothing's wrong.	Spero che non ci sia nulla di sbagliato.
121356	Why aren't you laughing?	Perché non state ridendo?
91959	He takes after his father.	Lui assomiglia a suo padre.
72184	Send us the photos.	Ci mandi le foto.
12408	Where is the nearest pub?	Dov'è il pub più vicino?
4609	I rewrote my report.	Io riscrissi il mio rapporto.
75377	We've learned a lesson.	Abbiamo imparato una lezione.
166608	Why did that bother you?	Perché l'ha infastidito?
76639	He got out his pen.	Lui tirò fuori la sua biro.
48720	I'm not a good cook.	Io non sono un bravo cuoco.
134814	Do you like your car?	A lei piace la sua auto?
131319	His work is washing cars.	Il suo lavoro è lavare le automobili.
116688	Tom left Mary alone.	Tom lasciò sola Mary.
44790	I saw her enter the room.	La vidi entrare nella stanza.
15944	Tom is always wrong.	Tom ha sempre torto.
43613	I know where that is.	Io so dov'è quello.
144873	What did Tom think of Mary?	Cos'ha pensato Tom di Mary?
149074	Tom hasn't yet won.	Tom non ha ancora vinto.
52432	Tom is usually right.	Tom di solito ha ragione.
79410	I have to find my dog.	Io devo trovare il mio cane.
15338	Why are you so serious?	Perché siete così serie?
158036	We don't know where Tom is.	Non sappiamo dove sia Tom.
8991	I can't read this.	Io non riesco a leggerlo.
3159	Shouldn't you be at work?	Non dovrebbe essere al lavoro?
150749	We're not friends anymore.	Non siamo più amici.
115238	Tom knew Mary was hungry.	Tom sapeva che Mary aveva fame.
96630	She has a dog and six cats.	Ha un cane e sei gatti.
169379	What is your name, sir?	Come si chiama, signore?
179774	You're not alone, Tom.	Tu non sei solo, Tom.
155431	Are you sure it was a ghost?	È sicuro che fosse un fantasma?
89402	I'm at school now.	Io sono a scuola adesso.
164975	I haven't got all day.	Io non ho tutta la giornata.
10246	Tom's mother is single.	La madre di Tom è single.
10042	I'm almost ready.	Io sono quasi pronta.
127360	I am a college student.	Sono uno studente universitario.
1031	These scissors cut well.	Queste forbici tagliano bene.
85601	She is very kind to us.	È molto gentile con noi.
166883	Do you have a snowmobile?	Ha un gatto delle nevi?
64886	Tom is crying again.	Tom sta piangendo ancora.
173184	She returned to Japan.	Lei è tornata in Giappone.
17510	My boss is really strict.	Il mio capo è veramente severo.
73321	I don't need anything.	Non ho bisogno di nulla.
110652	Why are you in a rush?	Perché siete di fretta?
138647	He wants a new car.	Vuole una nuova macchina.
146326	How did you get here?	Com'è arrivato qui?
122069	Anyway, you're wrong.	In ogni caso, lei ha torto.
186112	Your answer is wrong.	La tua risposta è sbagliata.
53086	Did Tom hurt anyone?	Tom ha fatto del male a qualcuno?
151438	Tom should be here tonight.	Tom dovrebbe essere qui stanotte.
172366	Did you turn off the gas?	Ha spento il gas?
185681	She tried not to cry.	Provò a non piangere.
186176	Tom can't work.	Tom non riesce a lavorare.
1230	I know that you hate it.	So che la odia.
28426	How are your grandparents?	Come stanno i suoi nonni?
153408	Tom didn't ask for money.	Tom non chiese dei soldi.
52894	I'm just looking around.	Sto soltanto dando un'occhiata.
99445	He was sentenced to death.	Fu condannato a morte.
110080	I think Tom is introverted.	Penso che Tom sia riservato.
524	This is homemade jam.	Questa è marmellata fatta in casa.
155220	He entered the army.	Lui si è arruolato nell'esercito.
115094	I'm staying home today.	Resterò a casa oggi.
152069	I think it's reliable.	Penso che sia affidabile.
27708	You can't just lie to Tom.	Lei non può semplicemente mentire a Tom.
34567	How can you be so selfish?	Come può essere così egoista?
53392	Why were you in prison?	Perché eri in prigione?
85219	Do you like to dance?	A te piace danzare?
24289	They arrived at twilight.	Sono arrivate al crepuscolo.
39925	Do you want to stay home?	Vuoi restare a casa?
13523	Don't make me cry.	Non mi fare piangere.
79931	Tom enjoys being with Mary.	A Tom piace essere con Mary.
148333	I respect your opinion.	Rispetto la tua opinione.
29265	Let me take a quick shower.	Mi faccia fare una doccia veloce.
115719	I tried to save you.	Io ho provato a salvarvi.
177477	My wife beats me.	Mia moglie mi picchia.
179026	I love to go to the movies.	Io amo andare al cinema.
65712	She bought a tea set.	Comprò un servizio da tè.
146279	Tom sat on the floor.	Tom sedeva sul pavimento.
63123	I won't try to describe it.	Non proverò a descriverlo.
145134	Do you like this blouse?	Le piace questa camicetta?
114606	Let Tom make the decisions.	Fate prendere le decisioni a Tom.
199083	Add 5 to 3 and you have 8.	Cinque più tre fa otto.
93319	I'm your waiter.	Io sono il vostro cameriere.
92997	We can't go back to Boston.	Noi non possiamo tornare a Boston.
70488	I'm going back home.	Io sto tornando a casa.
196688	I haven't done it yet.	Non l'ho ancora fatta.
148802	Tell Tom I'm not here.	Dica a Tom che non sono qui.
25281	We need a change.	A noi serve un cambiamento.
36131	I might try to do that.	Potrei provare a farlo.
112417	This pen belongs to me.	Questa biro appartiene a me.
48511	I'm sure Tom will help you.	Io sono sicura che Tom vi aiuterà.
120923	Tom hasn't returned yet.	Tom non è ancora tornato.
14507	The door is now closed.	La porta adesso è chiusa.
190432	Please send me a catalog.	Per piacere, mandami un catalogo.
17447	You'd better drive.	Farebbe meglio a guidare.
16351	I think Tom knows why.	Io penso che Tom sappia il perché.
116787	Write with a pen, please.	Scrivete con una biro, per piacere.
101002	But you're not there.	Ma lei non c'è.
122710	We have great news.	Noi abbiamo delle ottime notizie.
102468	I know Tom is a priest.	So che Tom è un prete.
177503	Tom doesn't need an SUV.	Tom non ha bisogno di un SUV.
79480	I want to become a singer.	Io voglio diventare una cantante.
24555	We should've tried harder.	Noi avremmo dovuto provare più duramente.
88298	What do you want next?	Che cosa volete dopo?
96119	There was no stopping them.	Non c'era modo di fermarle.
143779	I was here in 2013.	Io ero qui nel 2013.
135832	Can you touch the bottom?	Riuscite a toccare il fondo?
84001	Show it to Tom.	La mostri a Tom.
71729	He knows how to play poker.	Lui sa giocare a poker.
165138	The proposal went through.	La proposta fu accettata.
24080	You're everything to me.	Voi siete tutto per me.
8277	Tom is a music teacher.	Tom è un professore di musica.
29320	My father grew old.	Mio padre è invecchiato.
191406	How did Tom win?	Come ha vinto Tom?
85581	I think you need a lawyer.	Penso che voi abbiate bisogno di un avvocato.
28352	I love your apartment.	Amo il suo appartamento.
170723	I have to fix a mistake.	Io devo correggere un errore.
41063	I must remember to see her.	Devo ricordarmi di vederla.
407	The switch is on.	L'interruttore è acceso.
18382	Tom is younger than you.	Tom è più giovane di voi.
88858	I don't want to fight you.	Io non voglio combatterla.
131929	That's Tom's family.	Quella è la famiglia di Tom.
21666	I'll be fine on my own.	Starò bene per conto mio.
172536	I appreciate your prudence.	Apprezzo la tua cautela.
22003	We never actually met.	Non ci siamo mai incontrate in realtà.
177170	You have a wife, don't you?	Lei ha una moglie, vero?
121064	He led us to the station.	Ci ha portati in stazione.
67693	I'm glad that you're here.	Mi fa piacere che tu sia qui.
121961	I meant what I said.	Ho inteso quello che ho detto.
122864	Tom lives with his mother.	Tom abita con sua madre.
37036	I like these colors.	Mi piacciono questi colori.
197307	The net is huge.	La rete è enorme.
74117	Everyone knows you're rich.	Tutti sanno che sei ricco.
178394	Mary is a very pretty girl.	Mary è una ragazza molto carina.
60556	We don't think that's true.	Non pensiamo che sia vero.
150328	I'm a lot braver than Tom.	Io sono molto più coraggioso di Tom.
2081	You miss it, don't you?	Le manca, vero?
107612	He played with his cat.	Ha suonato con la sua gatta.
54888	We're invited, too.	Anche noi siamo invitati.
143723	I read it to my family.	L'ho letta alla mia famiglia.
40807	I have a rash.	Io ho uno sfogo.
65161	Have a good weekend!	Passa un buon fine settimana!
37646	I can't explain how it is.	Io non posso spiegare com'è.
37654	There's no soap.	Non c'è sapone.
35392	It was love at first sight.	Era amore a prima vista.
26710	I've made Tom angry.	Ho fatto arrabbiare Tom.
110827	How was last weekend?	Come è andato lo scorso weekend?
158598	I won't be home for a week.	Non sarò a casa per una settimana.
27595	I went to church with him.	Sono andata in chiesa con lui.
61245	This is my email address.	Questo è il mio indirizzo e-mail.
129512	I can't see my dad.	Io non posso vedere il mio babbo.
34255	Does Tom know this?	Tom lo sa questo?
146746	They believe in themselves.	Credono in se stessi.
97439	I have a very small nose.	Io ho un naso molto piccolo.
125627	Don't do anything dumb.	Non fare nulla di idiota.
101667	I have nothing to share.	Io non ho niente da condividere.
147774	I'm feeling depressed.	Mi sto sentendo depresso.
151830	I am not eating.	Io non sto mangiando.
100450	I'm nearly ready.	Io sono quasi pronta.
81239	Can I go play in my room?	Posso andare a giocare in camera mia?
69108	Keep this window closed.	Tenete chiusa questa finestra.
175257	Is this a dream?	È questo un sogno?
38210	I like Tom's attitude.	Mi piace l'atteggiamento di Tom.
91524	Why are you so early?	Perché è così in anticipo?
106885	I'm pretty sure about it.	Io sono abbastanza sicura a riguardo.
127219	I have a good idea for you.	Ho una buona idea per te.
172355	Is one thousand yen enough?	Mille yen sono sufficienti?
1453	Tom didn't let Mary in.	Tom non lasciò entrare Mary.
137171	Tom stole my wallet.	Tom mi ha rubato il portafoglio.
115729	Let me tell Tom.	Lasci che lo dica a Tom.
155215	The pigeon has flown away.	Il piccione è volato via.
99795	Give me the map.	Mi dia la mappa.
444	The nuns are singing.	Le suore stanno cantando.
52935	We don't need your help.	Noi non abbiamo bisogno del tuo aiuto.
73868	What are your cats' names?	Quali sono i nomi dei vostri gatti?
2627	How's your patient?	Come sta il suo paziente?
43727	I won't be afraid.	Io non avrò paura.
93666	I can't accept this.	Non posso accettare questo.
74668	I'm not ready to leave.	Non sono pronta per andarmene.
61096	I'm not that worried.	Non sono così preoccupata.
173497	When is your birthday?	Quand'è il suo compleanno?
