	eng	ell
8487	She made me a cake.	Μου 'φτιαξε μια τούρτα.
3597	Unfortunately, I have to go.	Δυστυχώς , πρέπει να φύγω .
11236	Draw a line here.	Τραβήξτε μια γραμμή εδώ.
10588	I met Mary yesterday.	Χθες συνάντησα τη Μαρία.
11296	I recommend that you read this novel.	Σου συνιστώ να διαβάσεις αυτό το μυθιστόρημα.
2720	Where is your friend from?	Από πού είναι ο φίλος σου;
3913	Tom broke the cup.	Ο Τομ έσπασε την κούπα.
11635	This is an amazing result.	Αυτό είναι φανταστικό αποτέλεσμα.
14438	Let's speak in English.	Ας μιλήσουμε στα Αγγλικά.
4249	I'd like your help.	Θα 'θελα τη βοήθειά σου.
3130	Would you like to come back here again?	Θα ήθελες να έρθεις εδώ ξανά;
8026	Are you sure you don't remember?	Είστε σίγουροι ότι δε θυμάστε;
10290	I want to reach the hotel before it gets dark.	Θέλω να φτάσω στο ξενοδοχείο πριν νυχτώσει.
5083	I'm at the hospital. I got struck by lightning.	Είμαι στο νοσοκομείο. Με χτύπησε κεραυνός.
14112	Are you sure I'm the only Canadian here?	Είσαι σίγουρος ότι είμαι η μοναδική Καναδή εδώ;
13976	Where are your things?	Πού 'ναι τα πράγματά σου;
12442	I must tell you the truth.	Πρέπει να σου πω την αλήθεια.
9280	You're my flesh and blood.	Είσαι σάρκα και αίμα μου.
5667	I'll be ready on Monday.	Τη Δευτέρα θα 'μαι έτοιμος.
5224	The streets are covered with snow.	Οι δρόμοι είναι καλυμμένοι από το χιόνι.
9836	No matter what you say, I won't change my mind.	Ό,τι και να πεις, δεν θα αλλάξω γνώμη.
4363	My dog is smaller than yours is.	Ο σκύλος μου είναι πιο μικρός απ' τον δικό σου.
6507	That boy has black hair.	Εκείνο τ' αγόρι έχει μαύρα μαλλιά.
14582	I've been walking for over four hours.	Περπατάω εδώ και πάνω από τέσσερις ώρες.
2189	I have more money than you.	Έχω πιο πολλά λεφτά από σας.
13522	He wanted to see his boss in Tokyo before leaving for America.	Ήθελε να δει το αφεντικό του στο Τόκιο, πριν φύγει για Αμερική.
16148	Frankly, I don't like it.	Ειλικρινά, δε μου αρέσει.
15096	Please tell me this isn't true.	Σε παρακαλώ, πες μου ότι δεν είναι αλήθεια αυτό.
11147	I'll help you escape.	Θα σας βοηθήσω να αποδράσετε.
13620	I can't stand this heat any longer.	Δεν μπορώ πια να υποφέρω αυτή τη ζέστη.
16155	Tom didn't kiss me.	Ο Τομ δε με φίλησε.
3695	No one will leave.	Κανείς δε θα φύγει.
10824	We haven't talked since.	Δεν έχουμε μιλήσει από τότε.
11509	You can't stop us.	Δεν μπορείς να μας σταματήσεις.
14367	I want to hear you play guitar.	Θέλω να σ' ακούσω να παίζεις κιθάρα.
10539	Give me that box.	Δώσε μου εκείνο το κουτί.
11863	You're taller than me.	Είσαι ψηλότερος από μένα.
14493	It appears you're all mistaken.	Φαίνεται ότι όλοι είστε λάθος.
11402	Take this medicine when you feel bad.	Να παίρνετε αυτό το φάρμακο όταν αισθάνεστε άσχημα.
1246	I'd like to pay.	Θα ήθελα να πληρώσω.
8025	You may borrow my car.	Μπορείτε να δανειστείτε τ' αυτοκίνητό μου.
2001	Tom went to bed very late.	Ο Τομ πήγε πολύ αργά για ύπνο.
962	I think you need a lawyer.	Νομίζω πως χρειάζεσαι δικηγόρο.
12377	You didn't have to tell me that.	Δε χρειαζόταν να μου το πείτε αυτό.
8856	Tom is ironing shirts.	Ο Τομ σιδερώνει πουκάμισα.
12274	Everyone knows the law.	Όλοι γνωρίζουν το νόμο.
7021	Tom Jackson is the president of this company.	Ο Τομ Τζάκσον είναι ο πρόεδρος της εταιρείας.
9366	Tom was the only one who laughed.	Ο Τομ ήταν ο μόνος που γέλασε.
16086	They bought a house on Park Street.	Αγόρασαν ένα σπίτι στην οδό Παρκ.
8427	You're not going to like what I'm about to say.	Δεν θα σου αρέσει αυτό που πρόκειται να πω.
58	Tom painted the door blue.	Ο Τομ έβαψε μπλε την πόρτα.
2296	I want to see you.	Θέλω να σας δω.
8261	How many people are in there?	Πόσος κόσμος είναι εκεί μέσα;
15500	We live on the third floor.	Μένουμε στον τρίτο όροφο.
12223	I thought you lived in Boston.	Νόμιζα ότι ζούσες στη Βοστώνη.
15491	Tom, why are you doing this?	Τομ, γιατί το κάνεις αυτό;
10273	You can't kill us all.	Δεν μπορείς να μας σκοτώσεις όλους.
8323	My son is taller than me.	Ο γιος μου είναι ψηλότερος από μένα.
6977	These three are for you.	Αυτά τα τρία είναι για σας.
11818	Tom has just finished writing a letter to Mary.	Ο Τομ μόλις τέλειωσε να γράφει ένα γράμμα στη Μαρία.
12928	Hold on, please.	Περίμενε, σε παρακαλώ.
1290	You shouldn't speak so loud.	Δεν θα έπρεπε να μιλάς τόσο δυνατά.
10335	I may have to take that chance.	Ίσως πρέπει να πάρω αυτή την ευκαιρία.
13560	You must be very proud of Tom.	Πρέπει να είστε πολύ περήφανος για τον Τομ.
5334	Tom is good at mathematics.	Ο Τομ είναι καλός στα μαθηματικά.
3902	I like to study languages.	Μου αρέσει να μελετώ γλώσσες.
6272	I don't like wine.	Δε μ' αρέσει το κρασί.
3037	Tom closed his eyes and tried to concentrate.	Ο Τομ έκλεισε τα μάτια του και προσπάθησε να συγκεντρωθεί.
6222	You should write a letter.	Θα 'πρεπε να γράψεις ένα γράμμα.
15751	I'll call you in the evening.	Θα σας τηλεφωνήσω τ' απόγευμα.
14628	I wish I'd been born Canadian.	Μακάρι να 'χα γεννηθεί Καναδή.
10895	Tom found Mary's diary.	Ο Τομ βρήκε το ημερολόγιο της Μαίρης.
9806	You're the only Canadian in our school.	Είστε η μοναδική Καναδέζα στο σχολείο μας.
3510	I like to run.	Μ' αρέσει να τρέχω.
3364	Listen, I need to see you.	Ακούστε· έχω ανάγκη να σας δω.
15720	You're three hours late.	Έχεις αργήσει τρεις ώρες.
3358	The girl in the picture was wearing a crown, not made of gold, but made of flowers.	Το κορίτσι στην εικόνα φορούσε ένα στέμμα, όχι από χρυσό αλλά από λουλούδια.
11225	His hair was brown.	Τα μαλλιά του ήταν καστανά.
7034	I thought you were Canadian.	Νόμιζα πως ήσουν Καναδέζα.
1300	It's easy to acquire bad habits.	Εύκολα αποκτάς κακές συνήθειες.
15432	Give me that bottle.	Δώσ' μου εκείνο το μπουκάλι.
5538	I'm sorry that I wasn't paying attention.	Με συγχωρείται που δεν πρόσεχα.
4431	Tom said he won't marry me.	Ο Τομ είπε ότι δε θα με παντρευτεί.
5626	Yes, you're right.	Ναι, έχετε δίκιο.
5478	Give me your money.	Δώσ' μου τα χρήματά σου.
16716	I assume that you don't want me to leave.	Υποθέτω πως δε θέλετε να φύγω.
10903	I do the same thing every night.	Κάνω το ίδιο πράγμα κάθε βράδυ.
16572	Do you want to see my boat?	Θέλετε να δείτε τη βάρκα μου;
5639	Give this book to Tom.	Δώστε αυτό το βιβλίο στον Τομ.
15431	Tom doesn't agree.	Δε συμφωνεί ο Τομ.
10431	The police officer asked me what my name was.	Ο αστυνόμος με ρώτησε το ονομά μου.
5338	Give me the book.	Δώσε μου το βιβλίο.
5844	I know why Tom was arrested.	Γνωρίζω γιατί συνελήφθη ο Τομ.
13792	Tom was carrying his son on his back.	Ο Τομ κουβαλούσε το γιό του στην πλάτη.
5387	Tom will leave tomorrow.	Ο Τομ θα φύγει αύριο.
12852	I think he's angry.	Νομίζω πως είναι θυμωμένος.
11808	What color is your bicycle?	Τι χρώμα είναι το ποδήλατό σου;
11652	I don't know where Tom's socks are.	Δε ξέρω που είναι οι κάλτσες του Τομ.
5055	I assume that you're Canadian.	Υποθέτω πως είστε Καναδέζοι.
5688	Are you sure I'm the only Canadian here?	Είστε σίγουρη ότι είμαι ο μοναδικός Καναδός εδώ;
5549	I won't go to Australia.	Δε θα πάω στην Αυστραλία.
8007	The problem is you're not Canadian.	Το πρόβλημα είναι ότι δεν είστε Καναδοί.
4446	Tom wants me to buy him a pony.	Ο Τομ θέλει να του αγοράσω ένα πόνυ.
16228	I'm 25 years old.	Είμαι είκοσι πέντε ετών.
5596	She works in a bank.	Δουλεύει σε μια τράπεζα.
11698	Tom tried to reassure his wife.	Ο Τομ προσπάθησε να καθησυχάσει τη γυναίκα του.
6725	Tom didn't want to talk about it.	Ο Τομ δεν ήθελε να μιλήσει γι' αυτό.
1781	Tom doesn't help me.	Ο Τομ δε με βοηθάει.
15835	I think Boston is nicer than Chicago.	Νομίζω ότι η Βοστώνη είναι ομορφότερη από το Σικάγο.
6233	I'm here with my family.	Είμαι εδώ με την οικογένειά μου.
6881	I want you to return to Boston.	Θέλω να γυρίσεις στη Βοστώνη.
10879	Tom still hates Mary.	Ο Τομ ακόμη μισεί τη Μαίρη.
14203	I believe Tom is right.	Πιστεύω πως ο Τομ έχει δίκιο.
9072	You must help your friends.	Πρέπει να βοηθάτε τους φίλους σας.
11754	I've never heard Tom play the piano.	Δεν έχω ακούσει ποτέ τον Τομ να παίζει πιάνο.
3668	How do you think I learned to speak English?	Πώς νομίζεις ότι έμαθα να μιλάω Αγγλικά;
8173	Please don't tell your parents this.	Παρακαλώ μην το πεις στους γονείς σου αυτό.
5547	Help me lift it.	Βοήθησέ με να τη σηκώσω.
15429	My father didn't allow me to have a dog.	Ο πατέρας μου δε μ' άφηνε να έχω σκύλο.
17220	Speech is silver, silence is gold.	Η σιωπή είναι χρυσός.
1150	I don't like surprises.	Δε μου αρέσουν οι εκπλήξεις.
4257	Don't you have anything better to do?	Δεν έχεις τίποτα καλύτερο να κάνεις;
1235	I thought you could help me.	Νόμιζα πως θα μπορούσες να με βοηθήσεις.
10931	This book is very good.	Αυτό το βιβλίο είναι πολύ καλό.
16568	You left the door open.	Αφήσατε την πόρτα ανοιχτή.
17012	Those boats are mine.	Αυτές οι βάρκες είναι δικές μου.
10164	We're heading up north.	Κινούμαστε προς τα βόρεια.
9374	What exactly are you trying to prove?	Τι ακριβώς προσπαθείς ν' αποδείξεις;
12314	What brings you to Boston?	Τι σε φέρνει στη Βοστώνη;
15345	We were both tired.	Ήμασταν και οι δυο κουρασμένοι.
6762	Do you know when Tom will be back?	Ξέρετε πότε θα επιστρέψει ο Τομ;
11629	Didn't you know oil floats on water?	Δεν ήξερες ότι το λάδι επιπλέει στο νερό;
7437	We have no choice but to fight.	Δεν έχουμε άλλη επιλογή παρά ν' αγωνιστούμε.
3994	I think Tom is wise.	Νομίζω πως ο Τομ είναι σοφός.
11202	I happen to be a good driver.	Τυχαίνει να είμαι καλή οδηγός.
11677	My grandfather speaks very slowly.	Ο παππούς μου μιλάει πολύ αργά.
9498	Her dream is to visit Paris.	Τ' όνειρό της είναι να επισκεφτεί το Παρίσι.
1422	Whose pen is this?	Ποιανού είν' αυτή η πένα;
2017	Is Tom really Canadian?	Είναι στ' αλήθεια Καναδός ο Τομ;
10295	I've done it already.	Το έχω κάνει ήδη.
2504	I'll make it work.	Θα τον κάνω να δουλέψει.
2190	What's the nature of your problem?	Ποια είναι η φύση του προβλήματός σας;
15571	How many days were you in Boston?	Πόσες μέρες ήσουν στη Βοστόνη;
8777	Tom said that he's been to Boston.	Ο Τομ είπε ότι ήταν στη Βοστόνη.
8570	Tom built his own house.	Ο Τομ έχτισε δικό του σπίτι.
13033	I won the first prize.	Κέρδισα το πρώτο βραβείο.
8091	Tom swam thirty laps this morning.	Ο Τομ κολύμπησε τριάντα γύρους σήμερα το πρωί.
3558	You worked a lot this week.	Δούλεψες πολύ αυτή τη βδομάδα.
12324	Tom visits us twice a year.	Ο Τομ μας επισκέπτεται δυο φορές το χρόνο.
17400	When are you going to do that?	Πότε πρόκειται να το κάνετε αυτό;
13350	Follow me, please.	Αν μπορείτε, ακολουθήστε με παρακαλώ.
8897	I don't want to play.	Δε θέλω να παίξω.
8033	I'm not very good at making pizza, but Tom is.	Δεν είμαι πολύ καλός στο να φτιάχνω πίτσα, αλλά ο Τομ είναι.
12668	Put the book on the desk.	Βάλε το βιβλίο στο γραφείο.
15441	Tom can swim fast.	Ο Τομ μπορεί να κολυμπήσει γρήγορα.
15422	We've learned a lot from Tom.	Έχουμε μάθει πολλά από τον Τομ.
12957	Brush your teeth every day.	Βούρτσισε τα δόντια σου κάθε μέρα.
3586	Are you afraid of losing your money?	Φοβάσαι μη χάσεις τα χρήματά σου;
891	It's hard to outrun a dog.	Είναι δύσκολο να περάσεις ένα σκύλο στο τρέξιμο.
10683	This movie is worth seeing.	Αξίζει να δεις αυτήν την ταινία.
13949	Tom was a carpenter.	Ο Τομ ήταν μαραγκός.
4304	Tom didn't want to be punished.	Ο Τομ δεν ήθελε να τιμωρηθεί.
8228	My stomach is upset.	Ανακατεύτηκε το στομάχι μου.
7831	We can't trust Tom.	Δεν μπορούμε να εμπιστευτούμε τον Τομ.
13438	I love my life.	Λατρεύω τη ζωή μου.
11008	You should be on my side.	Θα έπρεπε να 'σαι με το μέρος μου.
3855	Tom's behavior is unacceptable.	Η συμπεριφορά του Τομ είναι απαράδεκτη.
4173	I bought half a dozen eggs.	Αγόρασα μισή ντουζίνα αυγά.
16854	This is a picture of my sister.	Αυτή είναι μια φωτογραφία της αδερφής μου.
3257	No one helped me.	Κανένας δεν με βοήθησε.
13991	My shoes are bigger than yours.	Τα παπούτσια μου είναι μεγαλύτερα απ' τα δικά σας.
17034	We've agreed on everything.	Έχουμε συμφωνήσει στα πάντα.
8036	Tom doesn't have a gun.	Ο Τομ δεν έχει όπλο.
1155	Watch out! There's a big hole there.	Προσοχή! Υπάρχη μια μεγάλη τρύπα εκεί.
3829	I used to smoke a lot, but I have given up smoking now.	Συνήθιζα να καπνίζω πολύ, τώρα όμως το έχω κόψει.
6023	Tom heard Mary open the door.	Ο Τομ άκουσε τη Μαίρη ν' ανοίγει την πόρτα.
7047	What would you do if you were in my position?	Τι θα έκανες, αν ήσουν στη θέση μου;
9328	I wish I weren't Canadian.	Μακάρι να μην ήμουν Καναδή.
12014	You'll have your turn.	Θα έρθει και η σειρά σου.
16907	Tom's French is perfect.	Τα Γαλλικά του Τομ είναι τέλεια.
5364	I'd like to see the festival.	Θα ήθελα να δω τη γιορτή.
3094	Tom visited Australia last summer.	Ο Τομ επισκέφθηκε την Αυστραλία το περασμένο καλοκαίρι.
11466	Tom decided not to answer the question.	Ο Τομ αποφάσισε να μην απαντήσει στην ερώτηση.
6547	I'd like to thank you once more for everything.	Θα ήθελα για άλλη μια φορά να σας ευχαριστήσω για όλα.
13680	The date and place of the meeting have been fixed.	Η ώρα και το μέρος της συνάντησης έχουν κλείσει.
16147	Tom liked to make people smile.	Στον Τομ άρεσε να κάνει τους ανθρώπους να χαμογελούν.
1799	Tom and Mary got married before John and Alice did.	Ο Θωμάς και η Μαρία παντρεύτηκαν πριν τον Ιωάννη και την Αλίκη.
14077	A drunken man was sleeping on the bench.	Ένας μεθυσμένος κοιμήθηκε στο παγκάκι.
465	I know your language.	Γνωρίζω τη γλώσσα σας.
6532	Those houses are big.	Εκείνα τα σπίτια είναι μεγάλα.
12637	Are you going to keep interrupting us?	Θα συνεχίσεις να μας διακόπτεις;
13412	Tom is generous with his money.	Ο Τομ είναι χουβαρντάς.
11072	I wish I'd been born Canadian.	Μακάρι να 'χα γεννηθεί Καναδέζος.
17121	Somebody tried to kill you.	Κάποιος προσπάθησε να σε σκοτώσει.
5702	Ten teams competed for the prize.	Δέκα ομάδες συναγωνίζονταν για το βραβείο.
11338	Tom will forgive us.	Ο Τομ θα μας συγχωρήσει.
12061	We went to the zoo.	Πήγαμε στον ζωολογικό κήπο.
17384	Tom is dressed in black.	Ο Τομ είναι ντυμένος στα μαύρα.
15612	I think it'd be better to ask Tom to help.	Νομίζω θα ήταν καλύτερο να ρωτήσουμε τον Θωμά για την βοηθειά του.
1399	In spite of everything, Tom is happy.	Παρόλαυτα ο Τομ είναι ευτυχισμένος.
7804	Nobody knows we're here.	Κανείς δεν ξέρει ότι είμαστε εδώ.
8713	Tom painted the wall white.	Ο Τομ έβαψε άσπρο τον τοίχο.
3009	Tom and Mary don't like me.	Ο Τομ και η Μαίρη δε με συμπαθούν.
7667	I brought up two kids all on my own.	Μεγάλωσα δύο παιδιά ολομόναχος.
4316	Which did you eat, fish or meat?	Τι έχετε φάει; Ψάρι ή κρέας;
2732	Please cancel my order and refund the money.	Παρακαλώ ακυρώστε την παραγγελία μου και επιστρέψτε τα χρήματα.
4369	Tom thinks Mary is lying.	Ο Τομ νομίζει ότι η Μαίρη λέει ψέματα.
7316	I told them about you.	Τις είπα για σένα.
8426	Tell Tom we'll be ready.	Πείτε στον Τομ ότι θα είμαστε έτοιμες.
3388	May I have your name, please?	Μπορείτε να μου πείτε το όνομά σας παρακαλώ;
2159	What should I do?	Τι θα 'πρεπε να κάνω;
16355	All the answers are correct.	Όλες οι απαντήσεις είναι σωστές.
6590	I still haven't paid Tom.	Ακόμα να πληρώσω τον Τομ.
15745	Tell Tom to not look for me.	Πες στο Τομ να μη με αναζητήσει.
11368	I like how you think.	Μου αρέσει ο τρόπος που σκέφτεσαι.
14732	Tom helped Mary escape.	Ο Τομ βοήθησε τη Μαίρη να αποδράσει.
1552	Your resume is very impressive.	Το βιογραφικό σου είναι πολύ εντυπωσιακό.
8356	Tom was wearing a red tie.	Ο Τομ φορούσε κόκκινη γραβάτα.
1722	I'm very proud of Tom.	Είμαι πολύ περήφανη για τον Τομ.
12965	Who ate all the cookies?	Ποιος έφαγε όλα τα μπισκότα;
3936	I can't find the bread.	Δε βρίσκω το ψωμί.
1100	This game is played differently in Australia.	Αυτό το παιχνίδι παίζεται διαφορετικά στην Αυστραλία.
4802	You're the only Canadian I know.	Είσαι η μόνη Καναδή που ξέρω.
15874	Tom is a killer.	Ο Τομ είναι ένας δολοφόνος.
12172	Tom heard Mary singing.	Ο Τομ άκουσε τη Μαίρη να τραγουδάει.
16134	Tom has trouble talking to girls.	Ο Τομ δυσκολεύεται να μιλήσει σε κορίτσια.
5256	Tom slept without a pillow.	Ο Τομ κοιμήθηκε δίχως μαξιλάρι.
14701	Tom couldn't say a word.	Ο Τομ δεν μπορούσε να πει ούτε λέξη.
5796	I like to laugh.	Μ' αρέσει να γελώ.
7479	Tom will challenge you.	Ο Τομ θα σας προκαλέσει.
16254	Tom was here a minute ago.	Ο Τομ ήταν εδώ πριν από ένα λεπτό.
13737	Do you like Canadian bacon?	Σου αρέσει το καναδέζικο μπέικον;
15680	This is my email address.	Εδώ είναι η ηλεκτρονική μου διεύθυνση.
14955	Tom refused to listen.	Ο Τομ αρνήθηκε ν' ακούσει.
15978	We need to fix that problem right now.	Πρέπει να διορθώσουμε αυτό το πρόβλημα αμέσως.
6152	I don't think Tom will like doing that alone.	Δε νομίζω ότι του Τομ να του αρέσει να το κάνει αυτό μόνος του.
6826	My mother is making tea for us.	Η μητέρα μου μας φτιάχνει τσάϊ.
14794	I don't like waiting.	Δε μ' αρέσει να περιμένω.
10865	We spent our holiday in Boston.	Περάσαμε τις διακοπές μας στη Βοστόνη.
6066	I got up at seven this morning.	Σήμερα σηκώθηκα στις επτά το πρωί.
10954	We were both very hungry.	Ήμαστε και οι δυο πολύ πεινασμένες.
15225	Tom is a businessman.	Ο Τομ είναι επιχειρηματίας.
3968	Tom isn't a journalist.	Ο Τομ δεν είναι δημοσιογράφος.
11627	I've learned a lot from Tom.	Έχω μάθει πολλά από τον Τομ.
15870	Don't ask him who he is.	Μην τον ρωτήσεις ποιος είναι.
15834	I'll never see you again.	Δεν θα σε ξαναδώ ποτέ.
17221	One of Tom's kids lives in Australia now.	Ένα από τα παιδιά του Τομ μένει στην Αυστραλία τώρα.
13309	We play tennis every day.	Κάθε μέρα παίζουμε τένις.
16866	Yesterday, Tom made me do that.	Χθες, ο Θωμάς με έκανε να το κάνω αυτό.
15723	It seems to me that someone is calling you.	Μου φαίνεται ότι κάποια σε παίρνει τηλέφωνο.
7516	He likes my jokes.	Του αρέσουν τ' αστεία μου.
14044	Please repeat everything I say.	Σε παρακαλώ επανέλαβε ό,τι λέω.
4551	I can't open the document.	Δε μπορώ να ανοίξω το έγγραφο.
8582	Tom couldn't understand Mary's joke.	Ο Τομ δε μπορούσε να καταλάβει το αστείο της Μαίρης.
1015	We all want to know why.	Όλες θέλουμε να μάθουμε το γιατί.
6018	Tom has several friends in Boston.	Ο Τομ έχει αρκετούς φίλους στη Βοστώνη.
15064	Tom and Mary are good kids.	Ο Τομ και η Μαίρη είναι καλά παιδιά.
7399	Tom is my doctor.	Ο Τομ είναι ο γιατρός μου.
16300	I'm sorry, I don't have change.	Συγνώμη, δεν έχω ψιλά.
7925	Why exactly does Tom do that?	Για τί ακριβώς ο Τομ το κάνει αυτό;
14127	It's a bit strange to me.	Για μένα αυτό είναι κάπως παράξενο.
12577	Tom doesn't want to get involved.	Ο Τομ δε θέλει να ανακατευτεί.
9720	Where would you like to go?	Πού θα θέλατε να πάτε;
4625	Are you taller than Tom?	Είσαι ψηλότερη απ' τον Τομ;
16507	Are you sure you pressed the right button?	Είστε σίγουρη ότι πατήσατε το σωστό κουμπί;
11443	Don't you like Boston?	Δε σας αρέσει η Βοστώνη;
7620	I read it to my family.	Το διάβασα στην οικογένειά μου.
15151	Tom doesn't lie.	Ο Τομ δε λέει ψέματα.
2913	I owe him nothing.	Δεν του χρωστάω τίποτε.
6064	She punished her children.	Τιμώρησε τα παιδιά της.
1832	Tom is buying some bananas.	Ο Τομ αγοράζει μερικές μπανάνες.
2562	I like to listen to Tom's stories.	Μ' αρέσει να ακούω τις ιστορίες του Τομ.
2940	Why are you always so hard on yourselves?	Γιατί είσαι τόσο αυστηρός με τον εαυτό σου;
12323	My boat is small.	Η βάρκα μου είναι μικρή.
12222	Someone sent me a gift.	Κάποιος μου έστειλε ένα δώρο.
7536	Tom is married to a Canadian.	Ο Τομ είναι παντρεμένος με Καναδή.
5294	I want you to return to Boston.	Θέλω να επιστρέψετε στη Βοστώνη.
7018	I like that purple shirt.	Μ' αρέσει εκείνο το μοβ πουκάμισο.
11129	Don't worry. I'll help you.	Μην ανησυχείτε. Θα σας βοηθήσω εγώ.
12597	It's far-fetched.	Είναι τραβηγμένο από τα μαλλιά.
9281	Don't open the door.	Μην ανοίξετε την πόρτα.
2198	Tom is a bit jealous.	Ο Τομ είναι λιγάκι ζηλιάρης.
1281	I was proud of you.	Ήμουν περήφανη για σένα.
15624	Tom won't come.	Ο Τομ δε θα 'ρθει.
11348	You're taller than me.	Είστε ψηλότερος από μένα.
2831	No one trusts you.	Δε σε εμπιστεύεται κανένας.
2147	I don't think Tom is Canadian.	Δε νομίζω ότι ο Τομ είναι Καναδός.
10367	Tom will find you.	Ο Τομ θα σε βρει.
13827	Tom forgot to turn off the light.	Ο Τομ ξέχασε να σβήσει το φως.
14751	I wonder why he is so angry.	Αναρωτιέμαι γιατί είναι τόσο θυμωμένος.
15495	Tom drowned in the ocean.	Ο Τομ πνίγηκε στον ωκεανό.
11658	Tom said he wouldn't be in Australia next week.	Ο Τομ είπε ότι δεν θα είναι στην Αυστραλία την επόμενη βδομάδα.
12700	Tom is John's twin brother.	Ο Τομ είναι ο δίδυμος αδερφός του Τομ.
