	eng	swe
8701	You still have a lot to do.	Du har fortfarande mycket att göra.
13445	Half of the apples are rotten.	Hälften av äpplena är ruttna.
14379	Can you repair this?	Kan ni reparera denna?
7620	Turn down the radio.	Sänk volymen på radion.
19843	Did you get married?	Har ni gift er?
1328	I have your key.	Jag har din nyckel.
5132	What's your nationality?	Vad har du för nationalitet?
20770	I'm glad you're early.	Jag är glad att ni är tidiga.
21146	That's very kind of you to say that.	Det är väldigt snällt av dig att säga det.
2919	The red umbrella reminded her of her grandma.	Det röda paraplyet påminde henne om hennes farmor.
3786	You're all invited.	Ni är alla bjudna.
10035	I got you these.	Jag köpte de här åt dig.
7937	He should have finished it by now.	Han borde ha varit färdig nu.
1569	Tom said that he hopes you like to do that.	Tom sade att han hoppades att du skulle vilja göra det
11037	I think this guy is serious.	Jag tror att den här killen menar allvar.
14174	Are your eyes open?	Är dina ögon öppna?
20747	Tom has decided not to get a haircut until spring.	Tom har bestämt sig för att inte klippa sig förrän till våren.
18106	You don't seem to be happy.	Du ser inte ut att vara lycklig.
6487	Tom got shampoo in his eyes.	Tom fick schampo i ögonen.
7312	I only need one.	Jag behöver bara en.
17156	My friend is seventeen years old.	Min vän är sjutton år.
21598	I know your face.	Jag känner igen ditt ansikte.
6473	We need to find it.	Vi måste hitta den.
11413	That chimney is very high.	Den skorstenen är mycket hög.
1060	I won't need you.	Jag kommer inte att behöva dig.
19620	He's three years older than her.	Han är tre år äldre än hon.
5610	I'm just kidding you.	Jag skämtar med dig bara.
9757	It was a relief.	Det var en lättnad.
7831	It's fun to watch TV.	Det är kul att titta på tv.
15711	The boy bought a dog.	Pojken köpte en hund.
8993	Tom realized Mary was right.	Tom insåg att Mary hade rätt.
16470	She climbed down from the roof.	Hon klättrade ner från taket.
6687	What's the plan, Tom?	Vad är planen, Tom?
17615	Can we go inside?	Kan vi gå in?
3310	I can understand it.	Jag kan förstå det.
20565	I hope we can help.	Jag hoppas att vi kan hjälpa.
12129	President Truman had to make a difficult decision.	President Truman var tvungen att ta ett svårt beslut.
18296	There was nobody in the room.	Det fanns ingen i rummet.
814	We need to talk to you about Tom.	Vi måste prata med er om Tom.
18945	Now, get on with your work.	Fortsätt med arbetet nu.
1452	I can respect that.	Det kan jag respektera.
14792	The loss was a disappointment.	Förlusten var en besvikelse.
21473	Can I tell Tom why?	Kan jag tala om för Tom varför?
12123	Tom is starting to lose hope.	Tom börjar tappa hoppet.
3399	I feel a pain here.	Jag känner en smärta här.
22183	You've drunk three cups of coffee.	Du har druckit tre koppar kaffe.
11122	Tom won't forgive you.	Tom kommer inte att förlåta dig.
2194	What's the capital of Australia?	Vad heter Australiens huvudstad?
5704	Why did you leave us?	Varför lämnade du oss?
4203	There's an orange on the table.	Det ligger en apelsin på bordet.
1666	I need it by tomorrow.	Jag behöver den i morgon.
11913	We need to find it.	Vi måste hitta det.
12411	Why give them anything?	Varför ge dem någonting?
5888	There is no telling what may happen next year.	Det går inte att förutsäga vad som kommer hända nästa år.
5018	Do you believe me now?	Tror ni på mig nu?
6438	We'll be just fine.	Vi kommer att klara oss.
21398	The president takes office tomorrow.	Presidenten tillträder sitt ämbete imorgon.
16805	I disagree with Tom.	Jag håller inte med Tom.
18343	The game is not over.	Spelet är inte över.
13516	After the meal, I asked for the bill.	Efter måltiden bad jag om notan.
18040	Why did you stop by?	Varför kom du förbi?
12756	I knew everyone there.	Jag kände alla där.
9104	Did you notify Tom?	Har du meddelat Tom?
4574	These pancakes are delicious.	De här pannkakorna är utsökta.
17170	Do you like summer?	Tycker du om sommaren?
9919	I need a sewing machine.	Jag behöver en symaskin.
15622	Tom seems to have fallen into some kind of a coma.	Tom verkar ha hamnat i något slags koma.
4774	He got on the train.	Han steg på tåget.
5213	You are in my way.	Du står i vägen för mig.
10741	I'm glad you told me.	Jag är glad att ni berättade för mig.
14920	I can't reveal my sources.	Jag kan inte avslöja mina källor.
15730	Would you please help me?	Kan du vara snäll och hjälpa mig?
11749	I've had a bad week.	Jag har haft en dålig vecka.
10251	Do you want some?	Vill du ha litet?
20717	How can I help?	Hur kan jag hjälpa till?
21238	We're open 365 days a year.	Vi har öppet 365 dagar om året.
11076	I've corrected it.	Jag har rättat det.
9956	Your replacement has already been picked.	Din ersättare har redan blivit utvald.
14272	Tom, please give me a call.	Tom, ring mig är du snäll.
9935	Can you spare me a few minutes?	Har du några minuter?
18410	Wait until your turn comes.	Vänta på din tur.
679	Do we have a choice?	Har vi något val?
4683	Don't blame the victim.	Skyll inte på offret.
14192	He suddenly fell ill.	Han blev plötsligt dålig.
20974	I want to see Tom.	Jag vill träffa Tom.
1731	You must repay your debts.	Du måste återbetala dina skulder.
16864	I didn't recognize Tom at first.	Jag kände inte igen Tom först.
12107	Did your mother make those?	Har din mor gjort de där?
13845	What is your idea?	Vad är din uppfattning?
10338	How's your wife, Tom?	Hur är det med din fru, Tom?
4045	Can you print out this document for me?	Kan du skriva ut det här dokumentet åt mig?
14125	How can we thank you?	Hur kan vi tacka dig?
21226	I have a bad pain in my back.	Jag har en svår smärta i ryggen.
20964	We got in a fight.	Vi hamnade i bråk.
9406	He cut down a cherry tree.	Han högg ner ett körsbärsträd.
4897	I had to go home.	Jag var tvungen att gå hem.
17152	I have one more.	Jag har en till.
1469	For the time being, I intend to stay at a hotel.	Jag planerar att bo på hotell tills vidare.
13816	My dad took us to the zoo yesterday.	Min pappa tog oss till djurparken i går.
21203	I felt sorry for Tom.	Jag tyckte synd om Tom.
2220	Tom was afraid to fail.	Tom var rädd för att misslyckas.
17289	You ought to have apologized to her.	Du borde ha bett om ursäkt till henne.
3517	Tom is no fun.	Tom är inte rolig.
19281	We need to get this truck unloaded before it starts raining.	Vi måste lasta ur den här lastbilen innan det börjar regna.
20613	Did you buy it on the black market?	Köpte du den på svarta marknaden?
13197	What did he do after that?	Vad gjorde han efter det?
13245	I was just wondering if you have been able to find a place to live.	Jag undrade bara om du har lyckats hitta någonstans att bo.
12174	Tom can't sing.	Tom kan inte sjunga.
15896	It looks like you've finally decided.	Det verkar som om du har bestämt dig till slut.
14162	What is your favorite animal?	Vilket är ditt favoritdjur?
9949	How did you get in here?	Hur kom ni in hit?
15692	What bands were popular when you were young?	Vilka band var populära när du var ung?
7463	Are you coming with us?	Kommer ni med oss?
17900	When will you go?	När ska ni gå?
19411	Don't leave any valuables in your car.	Lämna inga värdesaker i bilen.
20534	How cold is it?	Hur kallt är det?
884	It's too much for me.	Det är för mycket för mig.
8458	I wish Tom was here.	Jag önskar att Tom vore här.
2538	This is a part of life.	Det här är en del av livet.
19238	Nobody can be perfect.	Ingen kan vara perfekt.
20495	Tom didn't know how lucky he was.	Tom visste inte vilken tur han hade.
8881	Tom isn't lying down.	Tom ligger inte ned.
14866	Not all birds can fly.	Det är inte alla fåglar som kan flyga.
18690	I'm going to go now.	Jag kommer att gå nu.
15865	I'm afraid of wild animals.	Jag är rädd för vilda djur.
16424	My mom works in a factory.	Min mamma jobbar på fabrik.
20284	I'm highly motivated.	Jag är väldigt motiverad.
6029	Give Tom a second.	Ge Tom en sekund.
14638	Can I question Tom?	Får jag ställa frågor till Tom?
4952	Tokyo is the capital of Japan.	Tokyo är Japans huvudstad.
16314	Can't you stay a while longer?	Kan du inte stanna en stund till?
14348	Did Tom really help you?	Hjälpte Tom dig verkligen?
21484	Tom wanted to buy Mary a present.	Tom ville köpa en present till Mary.
22043	Where was Tom working then?	Var jobbade Tom då?
17379	I don't care for green tea.	Jag är inte så förtjust i grönt te.
7828	I did my part.	Jag gjorde det som jag skulle göra.
9925	I have to start over.	Jag måste börja om.
8014	Time to get up.	Dags att stiga upp.
13558	Who do you want to speak to?	Vem vill du tala med?
17032	I had a splitting headache.	Jag hade en blixtrande huvudvärk.
3173	I was feeling blue.	Jag kände mig deppig.
14457	I don't think Tom was intoxicated.	Jag tror inte att Tom var berusad.
13753	He's good at cards.	Han är duktig med kort.
6288	You can sit down now.	Du kan sätta dig nu.
21673	How do you say that in French?	Hur säger man det på franska?
8382	You wouldn't like Tom.	Du skulle inte gilla Tom.
11818	Tom tends to speak quite fast.	Tom tenderar att prata ganska snabbt.
7946	Please tell me the answer to the question.	Var snäll och säg svaret på frågan.
6718	Let's go to sleep.	Kom så går vi och lägger oss.
2149	They are satisfied with the new house.	De är nöjda med det nya huset.
21265	I translated the poem the best I could.	Jag översatte dikten så gott som jag kunde.
7945	In the 80's, things were really quite different.	På 80-talet var det minsann andra bullar som gällde.
7239	I'll leave tonight.	Jag åker i natt.
10118	Do you have any plans for the weekend?	Har ni några planer för helgen?
15550	I ordered what I wanted to eat.	Jag beställde vad jag ville äta.
18395	He averted his gaze.	Han vände bort blicken.
1574	I'm losing my mind.	Jag håller på att bli galen.
432	Tom laid all his cards on the table.	Tom lade alla sina kort på bordet.
19375	Of course, I understand.	Visst, jag förstår.
18566	My uncle is a lousy driver.	Min farbror är usel på att köra bil.
2857	Tom told Mary he'd never do that.	Tom sa till Mary att han aldrig skulle göra det.
2950	I really don't care what Tom thinks.	Jag bryr mig verkligen inte om vad Tom tycker.
4135	It's too narrow.	Det är för smalt.
481	The car ran into a guardrail.	Bilen körde in i ett skyddsräcke.
13232	My life is boring.	Mitt liv är tråkigt.
4431	You have to read between the lines.	Du måste läsa mellan raderna.
14523	I bet you're busy.	Du är säkert upptagen.
17629	Tom seems to be intelligent.	Tom verkar vara intelligent.
2853	This well is thirty meters deep.	Den här brunnen är trettio meter djup.
4599	I really love you.	Jag älskar dig verkligen.
15435	Lend me your bicycle.	Låna mig din cykel.
7672	She extended her stay by five days.	Hon förlängde sin vistelse med fem dagar.
11761	Tom could be anywhere.	Tom skulle kunna vara var som helst.
568	This is his house.	Det här är hans hus.
1464	Am I in trouble?	Är jag i trubbel?
16758	I'll get my coat.	Jag ska ta min rock.
17283	Tom didn't even buy a ticket.	Tom köpte inte ens en biljett.
8859	What's in this box?	Vad finns i den här lådan?
4297	Tom tried to lighten the mood.	Tom försökte förbättra stämningen.
6225	You have two balls.	Du har två kulor.
6751	I wrote that letter.	Jag skrev det brevet.
11721	I don't use complicated words.	Jag använder inte komplicerade ord.
11566	I'm not used to it.	Jag är inte van vid det.
4714	I'm kind of tired today.	Jag är ganska trött idag.
6728	You can't eat soup with a fork.	Man kan inte äta soppa med en gaffel.
4046	Tom was a dedicated and hardworking policeman, liked and respected by his colleagues.	Tom var en hängiven och hårt arbetande polisman, omtyckt och respekterad av sina kolleger.
19629	I'm very thirsty.	Jag är väldigt törstig.
17645	How is your name pronounced?	Hur uttalas ditt namn?
9353	Have you considered therapy?	Har du funderat på terapi?
3215	I still don't feel safe.	Jag känner mig fortfarande inte säker.
12667	I like your scarf.	Jag tycker om din sjalett.
9200	You should've quit earlier.	Du borde ha slutat tidigare.
6105	I said take it.	Ta den, sa jag.
5227	You own a car, don't you?	Ni äger en bil, inte sant?
18587	I'll pay you.	Jag ska betala dig.
12896	I'm glad you like Tom.	Jag är glad att du gillar Tom.
17628	Go around that way.	Gå runt den vägen.
14955	I've got a lot of friends.	Jag har många vänner.
6581	You've got an hour.	Ni har en timme på er.
3822	I had a bad night.	Jag hade en dålig natt.
7894	He explored the Amazon jungle.	Han genomforskade Amazonas regnskog.
19431	I'd like you to pay the money in advance.	Jag skulle vilja att du betalar i förskott.
8203	Put it on the shelf.	Ställ den på hyllan.
12741	Have you ever smoked?	Har du någonsin rökt?
14551	Get out of my life!	Försvinn ur mitt liv!
4961	She gets up at seven.	Hon stiger upp klockan sju.
13289	It actually wasn't that bad.	Det var faktiskt inte så illa.
11903	I'm on call today.	Jag har bakjour i dag.
7764	He built a new house.	Han byggde ett nytt hus.
5827	Why don't you ever cook?	Varför lagar du aldrig mat?
17363	I didn't vote for anyone.	Jag röstade inte på någon.
17846	I've heard many excuses before, but yours takes the cake.	Jag har hört många ursäkter förut, men din tar priset.
21610	We hear with our ears.	Vi hör med öronen.
9584	Give it to her.	Ge det till henne.
5144	Why don't you just believe me?	Varför tror du inte bara på mig?
16156	Who are you waiting for?	Vem väntar du på?
8051	I have other plans.	Jag har andra planer.
21119	Let's not talk about it anymore.	Jag tycker inte att vi pratar om det något mer.
17757	He was attacked by a shark.	Han blev attackerad av en haj.
20100	I chose not to leave.	Jag valde att inte åka.
21890	They cannot stop us.	De kan inte stoppa oss.
17148	How many horses does Tom own?	Hur många hästar äger Tom?
276	He has big hands.	Han har stora händer.
6623	I know that Mary is more beautiful than me.	Jag vet att Mary är vackrare än jag.
21395	Are you angry with me?	Är du arg på mig?
9204	I can still do that.	Jag kan ännu göra det.
21152	Tom ate a handful of raisins.	Tom åt en handfull russin.
169	I have a cake in the oven.	Jag har en tårta i ugnen.
2478	I wish you well.	Jag önskar dig allt väl.
11359	Tom isn't very bright.	Tom är inget ljushuvud.
4226	Do you have any ID?	Har du någon legitimation?
12689	It's obvious that he lied.	Det är uppenbart att han ljög.
17678	I wanted to change.	Jag ville byta om.
12256	It is impossible to know what will happen in the future.	Det är omöjligt att veta vad som kommer att hända i framtiden.
14968	I love playing Chopin.	Jag älskar att spela Chopin.
2318	I'm in love with you.	Jag är kär i dig.
16398	He secretly showed me her picture.	Han visade mig hennes bild i smyg.
8597	We're out of soap.	Vi har slut på tvål.
13124	When is the party going to be?	När blir festen av?
16868	Tom isn't in there.	Tom är inte därinne.
4854	Some people like coffee and others prefer tea.	Vissa gillar kaffe och andra gillar te.
16263	Do you still think I'm the one you want to spend the rest of your life with?	Tycker du fortfarande att jag är den som du vill tillbringa resten av ditt liv med?
11988	You seem to hate Tom.	Ni verkar hata Tom.
13075	Stop being so curious.	Sluta vara så nyfiken.
15807	How many English words do you know?	Hur många engelska ord kan du?
11814	We're on the way.	Vi är på väg.
15834	One day I'm going to kill you.	En dag kommer jag att döda dig.
2600	What're you going to do during your summer vacation?	Vad ska du göra på sommarlovet?
6951	Let me help you up.	Låt mig hjälpa dig upp.
17381	I have caught a cold.	Jag har blivit förkyld.
19834	Tell me how you're feeling.	Berätta för mig hur du känner dig.
10140	I'll get ready now.	Jag ska göra mig färdig nu.
8521	Do you make your bed every day?	Bäddar du sängen varje dag?
7884	She needs to help him.	Hon måste hjälpa honom.
22002	The library will issue you a library card.	Biblioteket kommer att utfärda ett lånekort till dig.
718	I need a knife.	Jag behöver en kniv.
9139	I thought Tom was a complete idiot.	Jag trodde Tom vad en fullständig idiot.
1798	I have a friend whose father is a famous pianist.	Jag har en vän vars far är en känd pianist.
6296	That's my line.	Det är min replik.
7890	Tom isn't a threat.	Tom är inte något hot.
19692	Is anyone going to eat that?	Tänker någon äta det där?
18143	My mother cooks for me.	Min mamma lagar mat åt mig.
11684	He never gave in to temptation.	Han föll aldrig för frestelsen.
11376	Can I get a receipt?	Kan jag få ett kvitto?
2482	Tom will never notice the difference.	Tom kommer aldrig att märka skillnaden.
2581	I don't like you.	Jag gillar inte dig.
10772	I'm a very good listener.	Jag är en mycket god lyssnare.
3785	Do you believe this?	Tror du på det här?
4306	I need some water.	Jag behöver lite vatten.
9056	That's all Greek to me.	Detta är rena grekiskan för mig.
9183	Whose side are you on?	Vems sida är du på?
19308	It could be fun.	Det skulle kunna vara roligt.
10973	I forgot my manners.	Jag bar mig ohyfsat åt.
1473	Tom is in trouble.	Tom är illa ute.
458	It's hard to tell.	Det är svårt att säga.
12838	FORTRAN is a programming language.	FORTRAN är ett programmeringsspråk.
13215	Don't look through the keyhole.	Kika inte i nyckelhålet.
4845	Tom is a natural athlete.	Tom har stor fallenhet för idrott.
2924	Could I borrow your lawn mower?	Kan jag låna din gräsklippare?
14811	No one can escape.	Ingen kan komma undan.
21849	That's all I wanted to say.	Det var allt jag ville säga.
21681	You may not smoke here.	Du får inte röka här.
1698	Tom asked me what happened.	Tom frågade mig vad som hände.
11296	I'll see you at work.	Vi ses på jobbet.
13146	Take a look at these.	Ta en titt på de här.
20132	Tom couldn't hack it.	Tom kunde inte bryta sig in i den.
10599	He hates being told to hurry up.	Han hatar att bli tillsagd att skynda sig.
10299	That's much more important.	Det är mycket viktigare.
3949	My father is sweeping the garage.	Min pappa sopar garaget.
13645	My niece is a nurse.	Min brorsdotter är sjuksköterska.
21394	I want it all.	Jag vill ha alltihop.
3664	What is in this box?	Vad finns i den här lådan?
17956	She cried out in surprise.	Hon skrek till av förvåning.
18978	I may be elected.	Jag kan bli vald.
21388	How could you do that?	Hur gjorde ni det?
16610	How do they know?	Hur kan de veta det?
14960	Can you show me one more time?	Kan du visa mig en gång till?
13086	What ship will you arrive on?	Vilket skepp kommer du med?
8430	I ordered fries, too.	Jag beställde pommes frites också.
5681	I do my job well.	Jag gör mitt jobb väl.
6180	I can't change who I am.	Jag kan inte ändra på vem jag är.
18994	He threw a rock into the pond.	Han kastade en sten i dammen.
5680	Tom hung up on Mary.	Tom lade på i örat på Mary.
9760	Tom puts lots of sugar in his coffee.	Tom stoppar massor av socker i sitt kaffe.
9597	There were a few children in the room.	Det fanns några barn i rummet.
21764	How many did you get?	Hur många fick du tag på?
18554	You don't have to do that now.	Du behöver inte göra det där nu.
4675	I don't want to live with you.	Jag vill inte leva med dig.
834	There's a bus here.	Det finns en buss här.
10056	The tea costs two euros.	Teet kostar två euro.
8873	I have a girlfriend.	Jag har en flickvän.
17627	I don't want to see anybody today.	Jag vill inte träffa någon i dag.
20984	You'd better not drink the tap water.	Du borde verkligen inte dricka kranvattnet.
8347	What's in the basket?	Vad är det i korgen?
8411	You don't have to say anything if you don't feel like it.	Ni behöver inte säga någonting om ni inte känner för det.
3654	We only have three options.	Vi har bara tre valmöjligheter.
11113	There was no warning whatsoever.	Det var inga varningar överhuvudtaget.
4171	There's something we need to talk about.	Det är någonting som vi måste tala om.
17851	She was on verge of fainting.	Hon var nära att svimma.
4043	I'm not making this up.	Jag har inte hittat på det här.
1156	Thanks a lot for your help.	Tack så mycket för hjälpen.
12788	I may not return.	Jag kanske inte återvänder.
10203	My cat is black.	Min katt är svart.
10910	Who do you want to speak to?	Vem vill ni prata med?
4240	I still like you.	Jag tycker fortfarande om dig.
10721	You have a good memory.	Du har ett bra minne.
15235	That's one of mine.	Den där är en av mina.
5634	I'm off beer.	Jag har slutat med öl.
9079	There's a postcard here.	Det finns ett vykort här.
15033	The top of the mountain is covered in snow.	Bergets topp är täckt av snö.
20195	This button is loose.	Den här knappen är lös.
4785	How bad was Tom hurt?	Hur svårt skadad var Tom?
19366	I would've done exactly what you did.	Jag skulle ha gjort exakt som du gjorde.
946	Tom's bags are packed.	Toms väskor är packade.
15415	We're in a good mood.	Vi är på gott humör.
21717	Why doesn't Tom visit us anymore?	Varför hälsar Tom aldrig på oss längre?
16351	This is a picture of Tom's wife.	Detta är en bild på Toms fru.
13491	The ice is very thick.	Isen är väldigt tjock.
16580	Is my time up?	Är min tid slut?
15939	I arrived last night.	Jag anlände i går kväll.
657	He often plays piano.	Han spelar ofta piano.
19694	Those are my things.	Det där är mina saker.
16062	I make my own decisions.	Jag fattar mina egna beslut.
21743	I'd like to have an answer.	Jag skulle vilja ha ett svar.
8078	Tennis is very popular among students.	Tennis är väldigt populärt bland studerande.
6342	Tom doesn't usually wear a hat.	Tom har vanligtvis inte på sig hatt.
16909	Why do you ask that?	Varför frågar du det?
7189	Can you describe him?	Kan du beskriva honom?
2764	It was just my imagination.	Det var bara min fantasi.
5550	I don't want to overreact.	Jag vill inte överreagera.
20548	I've known Tom a long time.	Jag har känt Tom länge.
18379	Tom didn't kill Mary.	Tom dödade inte Mary.
16427	I have a cat and a dog.	Jag har en katt och en hund.
21504	Where is your jacket?	Var är din jacka?
19021	Can we get started?	Kan vi sätta igång?
22180	I'm a good driver.	Jag är bra på att köra bil.
3252	He wiped the sweat from his face.	Han torkade svetten från ansiktet.
21085	I have a feeling that she'll come today.	Jag har en känsla av att hon kommer att komma idag.
20176	I like your dog.	Jag tycker om din hund.
8385	I watched a movie.	Jag tittade på en film.
2087	I want a guitar.	Jag vill ha en gitarr.
21705	I hope you like me.	Jag hoppas att du tycker om mig.
6917	I had a cat.	Jag hade en katt.
9652	I saw Tom less than an hour ago.	Jag såg Tom för mindre än en timme sen.
