	eng	deu
172971	That's not how I want things to be.	So will ich die Dinge nicht haben.
124568	Tom just told me.	Tom hat es mir gerade erzählt.
189704	I fell in love with Tom.	Ich habe mich in Tom verliebt.
127559	Tom majored in drama.	Tom hat im Hauptfach Schauspiel studiert.
59216	Tom got very distracted.	Tom wurde stark abgelenkt.
173678	We're still fighting.	Wir kämpfen immer noch.
174887	Tom found Mary fascinating.	Tom fand Maria faszinierend.
11041	Experience is a good teacher.	Die Erfahrung ist eine gute Lehrmeisterin.
50524	Just go back to where you came from.	Gehe einfach wieder dahin zurück, wo du hergekommen bist!
167364	I'd like to check your blood pressure.	Ich würde gerne Ihren Blutdruck messen.
5782	I could really get used to this.	Daran könnte ich mich wirklich gewöhnen.
53949	Don't let the dog out.	Lasst den Hund nicht raus.
13734	Which train are you catching?	Welchen Zug nehmen Sie?
60890	Sorry, I'm in a hurry.	Entschuldige! Ich hab’s eilig.
26345	They took a leap of faith.	Sie sprangen in den Glauben.
96653	Tom is obsessed with cleanliness.	Tom hat einen Reinlichkeitsfimmel.
189050	Who are you working for?	Für wen arbeitet ihr?
121101	Which of the two is more expensive?	Welche von den zweien ist teurer?
174964	Can you fix my toilet?	Können Sie meine Toilette reparieren?
12426	Tom is reading his wife's diary.	Tom liest das Tagebuch seiner Frau.
100841	Do you really want to fight?	Willst du wirklich kämpfen?
9786	Coming here was a mistake.	Es war ein Fehler, hierher zu kommen.
108124	Did you put on some sunscreen?	Hast du dich mit Sonnencreme eingecremt?
143480	It rained the whole day.	Den ganzen Tag regnete es.
182019	Tom and Mary are so happy you're here.	Tom und Maria sind ganz außer sich vor Freude, dass du hier bist!
76277	My uncle died of cancer.	Mein Onkel starb an Krebs.
88489	What's your dilemma, Tom?	Was ist dein Problem, Tom?
169988	No one knew that Tom was an ex-con.	Niemand wusste, dass Tom ein ehemaliger Gefangener war.
77128	This is what you have to do.	Das ist es, was du tun musst.
127089	Tom doesn't want any pizza.	Tom will keine Pizza.
83687	I can't remember the tune of that song.	Ich kann mich nicht mehr an die Melodie dieses Lieds erinnern.
13367	Tom didn't answer the phone.	Tom ging nicht ans Telefon.
34641	Nobody knew that Tom was an ex-con.	Niemand wusste, dass Tom ein ehemaliger Gefangener war.
6667	That's a good question.	Das ist eine gute Frage.
47402	I left your umbrella on the bus.	Ich habe deinen Schirm im Bus liegenlassen.
166230	You could at least phone us.	Du könntest uns wenigstens anrufen.
137013	She is his real mother.	Sie ist seine wahre Mutter.
103190	He doesn't like to lose.	Er verliert nicht gern.
141019	I take it back.	Ich nehme es zurück.
117486	I don't know really.	Ich weiß es wirklich nicht.
124679	Are you still happy with your new car?	Bist du immer noch zufrieden mit deinem neuen Auto?
82979	She has been sick in bed for a week.	Sie liegt seit einer Woche krank im Bett.
102481	I always got good grades in French.	Ich habe in Französisch immer gute Noten bekommen.
78487	Don't kill the messenger.	Man erschlägt den Boten nicht.
15113	It suddenly started raining.	Es fing plötzlich an zu regnen.
17041	She gave me a present.	Sie schenkte mir etwas.
124136	All you have to do is push this button.	Du musst nur diesen Knopf drücken.
162990	What is it that Tom wants to do?	Was möchte Tom machen?
133948	Tom will probably succeed.	Tom wird wahrscheinlich Erfolg haben.
11888	I advised Tom not to give up.	Ich habe Tom empfohlen, nicht aufzugeben.
190346	Why did I get a D?	Warum habe ich ein „ausreichend“ bekommen?
160423	I had my secretary run off ten copies.	Ich ließ meine Sekretärin 10 Kopien anfertigen.
24931	I'm pleased to hear that.	Ich freue mich, das zu hören.
87705	Tom gave a vague answer.	Tom gab eine vage Antwort.
116339	They haven't contacted us yet.	Sie haben sich bei uns noch nicht gemeldet.
176828	Have you already eaten?	Hast du schon gegessen?
39210	Are you, by any chance, afraid of me?	Hast du vielleicht Angst vor mir?
179913	I wonder where Tom plays tennis.	Ich wüsste gerne, wo Tom Tennis spielt.
120203	Do you feel like talking about it?	Möchtest du darüber reden?
43865	I don't plan on telling Tom anything.	Ich habe nicht vor, Tom irgendetwas zu erzählen.
13774	You'll never be alone again.	Du wirst nie mehr allein sein.
150840	What've you done now, Tom?	Was hast du nun schon wieder angestellt, Tom?
44510	Tom wrote something on the blackboard.	Tom hat etwas auf die Tafel geschrieben.
168324	Have you told anyone?	Hast du es jemandem erzählt?
110801	Isn't it strange?	Ist das nicht seltsam?
96662	Is there a woman in your life?	Gibt es eine Frau in deinem Leben?
56783	I think I'll walk back.	Ich glaube, ich gehe zu Fuß zurück.
31022	I've got to go now.	Ich muss jetzt gehen.
66267	Tom is in his room sleeping.	Tom ist in seinem Zimmer und schläft.
23312	She has a good heart.	Sie hat ein gutes Herz.
34747	Where do you think you are?	Wo denkst du, dass du bist?
119661	Who invented the typewriter?	Wer hat die Schreibmaschine erfunden?
73902	I seem to be lost.	Ich habe mich wohl verlaufen.
88848	What did you find?	Was habt ihr gefunden?
105254	Mary is a wealthy woman.	Maria ist eine wohlhabende Frau.
169529	Please give me the letter.	Gib mir bitte den Brief!
153978	I told you never to come here again.	Ich habe dir doch gesagt, dass du nie wieder hierher kommen sollst.
102974	I remember how angry you made me.	Ich weiß noch, wie wütend ihr mich gemacht habt.
85079	Tom promised to write every day.	Tom versprach, jeden Tag zu schreiben.
110732	Tom gave Mary a book.	Tom gab Maria ein Buch.
117773	What're you looking at?	Was schaust du an?
56210	They need a lawyer.	Sie benötigen einen Rechtsanwalt.
63339	She's a bad liar.	Sie ist eine schlechte Lügnerin.
152732	It's 4:30 in the afternoon.	Es ist 16:30 Uhr.
14834	Tom is rude, but Mary isn't.	Tom ist unhöflich, Maria aber nicht.
21770	Why did the chicken cross the road?	Warum überquerte das Huhn die Straße?
27628	Does Tom still need me?	Braucht Tom mich noch?
140801	Be frank with me!	Gehe offen mit mir um!
176710	Japan is not what it was ten years ago.	Japan ist nicht mehr wie vor zehn Jahren.
6189	Did you get in touch with Tom?	Hast du dich mit Tom in Verbindung gesetzt?
199680	She told me to open the window.	Sie forderte mich auf, das Fenster zu öffnen.
149795	I returned to Japan.	Ich kehrte zurück nach Japan.
106586	Let's get together again!	Lass uns wieder zusammen sein!
72712	I don't think that'll be necessary.	Ich denke nicht, dass das nötig sein wird.
168577	I have one question for you.	Ich habe eine Frage an dich.
131635	Tom worked until late at night.	Tom arbeitete bis spät in die Nacht.
183547	No one is there but Tom.	Es ist niemand außer Tom dort.
101085	Who's your favorite poet?	Wer ist dein Lieblingsdichter?
40743	I'll take the risk.	Ich werde das Risiko eingehen.
115867	I don't think we want to know.	Ich glaube nicht, dass wir es wissen wollen.
95771	It's six degrees below zero.	Es sind sechs Grad unter Null.
31926	He won't come to class tomorrow.	Er kommt morgen nicht in die Schule.
48439	I need to go to the hospital.	Ich muss ins Krankenhaus.
164727	Do you really think Tom is OK?	Glaubst du wirklich, dass es Tom gut geht?
35312	I think he won't come.	Ich glaube nicht, dass er kommt.
14357	I want the same dictionary as you have.	Ich möchte das gleiche Wörterbuch, das du hast.
109087	Tom has a strong personality.	Tom hat eine starke Persönlichkeit.
125193	Most schools are closed today.	Die meisten Schulen sind heute geschlossen.
89861	I didn't understand your question.	Ich habe deine Frage nicht verstanden.
64724	I'm just cleaning up.	Ich bin gerade beim Reinemachen.
21681	Could you get this translated?	Könnten Sie das übersetzen lassen?
100936	France is in western Europe.	Frankreich liegt in Westeuropa.
339	Tom was found dead.	Tom wurde tot aufgefunden.
62036	I expect you all to do your best.	Ich erwarte, dass ihr alle euer Bestes gebt.
124477	Tom is waiting there for you.	Tom wartet dort auf euch.
120092	Please write down my address.	Bitte schreib meine Adresse auf.
185279	She denied having been there.	Sie stritt ab, dort gewesen zu sein.
75200	You don't need to come in.	Du brauchst nicht hereinzukommen.
112870	Tom was asleep when I left.	Tom schlief, als ich ging.
37265	The boy carved his name in the tree.	Der Junge schnitzte seinen Namen in den Baum.
166488	Tom acts like a tough guy.	Tom führt sich wie ein harter Bursche auf.
137388	Tom said Mary was a good swimmer.	Tom sagte, Maria sei eine gute Schwimmerin.
119560	Are you sure that Tom is behind this?	Seid ihr sicher, dass Tom dahintersteckt?
115201	Tom never kissed Mary.	Tom küsste Maria nie.
52528	Why is your French so good?	Warum kannst du nur so gut Französisch?
56253	I'm going to buy this.	Ich werde das kaufen.
4976	He has poor eyesight.	Sein Blick ist übel.
66190	Stop bugging me. I'm busy.	Hör auf, mich zu nerven. Ich bin beschäftigt.
125631	I can't bring myself to eat anything.	Ich kann mich nicht dazu aufraffen, etwas zu essen.
44007	It made me very sad.	Das machte mich sehr traurig.
188118	How much is the tour per person?	Wie viel kostet die Tour für eine Person?
149853	You're not from here, are you?	Sie sind nicht von hier, oder?
162666	We needed to do that.	Wir mussten das tun.
55026	Both sisters are very beautiful.	Beide Schwestern sind sehr schön.
87767	I tossed and turned all night.	Ich habe mich die ganze Nacht im Bett hin und her gewälzt.
129487	Minnesota's state bird is the mosquito.	Der Landesvogel von Minnesota ist die Mücke.
58572	I'll never work for you.	Ich werde nie für euch arbeiten.
57070	It was a really exciting baseball game.	Es war ein wirklich spannendes Baseballspiel.
194375	Could you please overlook it this time?	Könntest du es bitte dieses Mal durchgehen lassen?
33736	Put the book back on the shelf.	Stellen Sie das Buch ins Regal zurück!
33994	You can have the top bunk.	Du kannst oben schlafen.
104048	You've done a good job here.	Sie haben hier gute Arbeit geleistet.
92427	Does Tom ever do that?	Macht Tom denn so was?
187047	Tom is a natural athlete.	Tom ist ein geborener Athlet.
53914	What time do you want me to be here?	Um wie viel Uhr willst du, dass ich hier sein soll?
173468	There's nothing like a good hot bath.	Es geht nichts über ein schönes, heißes Bad.
109095	I lost my keys somewhere yesterday.	Ich habe gestern meine Schlüssel irgendwo verloren.
100848	I really miss you all.	Ich vermisse euch alle sehr.
82502	I didn't plan on this happening.	Ich habe nicht geplant, dass dies passiert.
193940	Reading is easier than writing.	Lesen ist leichter als schreiben.
63275	There's no need to worry.	Es gibt keinen Grund zur Sorge.
171252	Tom didn't tell me.	Tom hat mir nichts gesagt.
118429	My mother has been sick for two days.	Meine Mutter ist seit zwei Tagen krank.
111503	Tom is sleeping on the couch.	Tom schläft auf dem Sofa.
134264	I like your car.	Ihr Auto gefällt mir.
154558	Should I give this to Tom?	Soll ich Tom das geben?
41385	Is that still my room?	Ist das immer noch mein Zimmer?
166953	It was nice last night.	Es war nett gestern Abend.
26327	I had met her many times before then.	Ich hatte sie vorher schon viele Male getroffen.
95711	Everybody was excited by the news.	Alle waren von der Nachricht begeistert.
14302	Please get out of here immediately.	Gehe bitte sofort hinaus!
126255	Tom is able to play soccer.	Tom kann Fußball spielen.
49565	Mary wore a plain white dress.	Maria trug ein einfaches weißes Kleid.
66690	Tom knows something Mary doesn't.	Tom weiß etwas, was Maria nicht weiß.
17010	What will Tom say?	Was wird Tom sagen?
190301	My family is wealthy.	Meine Familie ist wohlhabend.
37055	How many surfers did you see?	Wie viele Surfer hast du gesehen?
111359	I can't speak French fluently.	Ich kann nicht fließend Französisch.
140299	It was a humbling experience.	Es war eine erniedrigende Erfahrung.
45813	Are you both bachelors?	Sind Sie beide Junggesellen?
129474	He wants an iPad mini.	Er will ein iPad mini.
21995	What do you call this bird?	Wie nennst du diesen Vogel?
177527	He is good for nothing.	Er ist ein Taugenichts.
31235	They're doing it now.	Sie tun es jetzt.
58621	I think you look fine.	Ich denke, du siehst gut aus.
147801	You'll get used to it.	Ihr werdet euch daran gewöhnen.
33343	I'm not your son.	Ich bin nicht dein Sohn.
94484	Tom wasn't the one who helped Mary.	Tom war nicht derjenige, der Mary half.
90317	I want to become an actor.	Ich will Schauspieler werden.
88864	He lives somewhere near that park.	Er wohnt irgendwo in der Nähe dieses Parks.
39445	How can you still be hungry?	Wie könnt ihr noch immer hungrig sein?
75536	He may have missed the last train.	Er hat vielleicht den letzten Zug verpasst.
127905	Tell Tom I won't need his help.	Richte Tom aus, dass ich seiner Hilfe nicht bedarf!
154450	I've always been interested in botany.	Ich habe mich schon immer für Botanik interessiert.
198971	I'm tired of hearing that.	Ich bin es satt, das zu hören.
49472	Way to go, Tom!	Weiter so, Tom!
144256	Do you have a part-time job?	Hast du eine Teilzeitstelle?
178179	He is still young.	Er ist noch jung.
39753	Believe what you want.	Glauben Sie, was Sie wollen.
153729	I'd be grateful if you could help me.	Ich wäre Ihnen dankbar, wenn Sie mir helfen könnten.
102773	Some people go after fame.	Manche Leute sind auf Ruhm aus.
77218	Tom drank a cup of coffee.	Tom trank eine Tasse Kaffee.
177820	Don't try to make me angry.	Versuchen Sie nicht, mich zu ärgern!
128879	I'd like to go to Boston again someday.	Ich möchte irgendwann gern mal wieder nach Boston.
46639	I'd like a table by the window.	Ich hätte gern einen Tisch am Fenster.
23407	Tom didn't want to go back.	Tom wollte nicht zurück.
30226	The teacher aroused our interest.	Die Lehrerin hat unser Interesse geweckt.
73979	I want you to go to Boston.	Ich möchte, dass du nach Boston gehst.
121221	I think we'll tag along.	Ich denke, wir kommen auch mit.
196272	I admit that he is right.	Ich gebe zu, dass er Recht hat.
109009	We do what we want to do.	Wir machen was wir machen wollen.
126382	Nobody appreciated his sacrifice.	Niemand wusste sein Opfer zu schätzen.
9152	I'll treat you to sushi.	Ich lade dich zum Sushiessen ein.
170526	I have seen that girl before.	Ich habe dieses Mädchen schon mal gesehen.
39021	Lambs are baby sheep.	Lämmchen sind kleine Schafe.
55007	I don't walk like that.	Ich laufe nicht so.
92106	Here's the translation.	Hier ist die Übersetzung.
169368	Tom began to question Mary's sanity.	Tom begann, an Marias Verstand zu zweifeln.
13008	I need something to eat.	Ich brauche etwas Essbares.
41856	Why don't you take a taxi?	Warum nehmen Sie kein Taxi?
146871	I asked Tom where he had been.	Ich fragte Tom, wo er gewesen sei.
145795	He called me up almost every day.	Er rief mich fast täglich an.
43014	She keeps her diary in English.	Sie führt ihr Tagebuch auf Englisch.
96675	Could you wait for me a moment?	Könnten Sie einen Augenblick auf mich warten?
146004	Tom has been away for three days.	Tom ist schon seit drei Tagen weg.
167906	We all looked out the window.	Wir sahen alle aus dem Fenster.
191522	Here's my album.	Hier ist mein Album.
174754	I have no one else to turn to.	Ich habe sonst niemanden, an den ich mich wenden kann.
90712	She told him to study.	Sie sagte ihm, er solle lernen.
133623	Tom only has eyes for Mary.	Tom hat nur Augen für Maria.
112906	I couldn't speak French.	Ich konnte nicht Französisch sprechen.
59265	Tom fell asleep on my shoulder.	Tom ist an meiner Schulter eingeschlafen.
124191	I was aware of that fact.	Ich war mir dieser Tatsache bewusst.
69378	How about a cup of hot coffee?	Wie wär's mit einem heißen Kaffee?
24510	I hardly even know you.	Ich kenne dich doch kaum.
14839	Tom wants to marry Mary.	Tom will Marie heiraten.
161001	This is a very useful dictionary.	Das ist ein sehr nützliches Wörterbuch.
49161	Tom might be right.	Tom könnte recht haben.
108106	We don't have to watch this.	Das brauchen wir uns nicht anzusehen.
155815	I'm almost positive.	Ich bin mir fast sicher.
118784	Tom is a good father.	Tom ist ein guter Vater.
100414	They're just different.	Sie sind bloß unterschiedlich.
68230	What'll you live on?	Wovon wirst du leben?
46027	I can't blame them.	Ich kann ihnen keinen Vorwurf machen.
54324	I bought it at a department store.	Ich kaufte es in einem Warenhaus.
78146	Are you working tonight?	Arbeitest du heute Abend?
178846	I was at the theater.	Ich war im Theater.
161020	Look at those black clouds.	Sieh dir diese schwarzen Wolken an.
73964	I spent hours reading books.	Ich habe Stunden damit verbracht, Bücher zu lesen.
22749	Tom told me he didn't need my help.	Tom sagte mir, er brauche meine Hilfe nicht.
33348	He picked up a stone.	Er hob einen Stein auf.
49090	What should I eat for lunch today?	Was soll ich heute zu Mittag essen?
24180	Tom knew he only had a little time.	Tom wusste, dass er nur wenig Zeit hatte.
154332	Children shouldn't drink wine.	Wein ist nichts für Kinder.
176911	They aren't hungry.	Sie haben keinen Hunger.
161122	Soldiers must follow orders.	Soldaten müssen Befehle befolgen.
148753	My house is near the school.	Mein Haus liegt nahe der Schule.
185356	Tom never breaks promises.	Tom bricht Versprechen nie.
100529	Who do you think will be chosen?	Wer, glaubst du, wird gewählt werden?
1664	Tom sits behind Mary in French class.	Tom sitzt im Französischunterricht hinter Maria.
196858	Did you put a stamp on the envelope?	Hast du eine Briefmarke auf den Umschlag geklebt?
116939	You're really good.	Du bist sehr gut.
124634	I feel so lonely.	Ich fühle mich so einsam.
88632	That doesn't seem enough.	Das scheint nicht genug zu sein.
150065	The bus is usually late when it rains.	Wenn es regnet, ist der Autobus gewöhnlich verspätet.
8611	Tom is a dog walker.	Tom führt Hunde aus.
67155	Tom doesn't know his classmates well.	Tom kennt seine Schulfreunde nicht besonders gut.
169853	I don't want to interfere.	Ich will nicht stören.
49052	We were very proud of our son.	Wir waren sehr stolz auf unseren Sohn.
166323	The news made them happy.	Die Neuigkeiten machten sie glücklich.
116466	I lived in that house when I was a kid.	Als Kind habe ich in dem Haus da gewohnt.
77178	I won't assist you.	Ich werde Ihnen nicht helfen.
82219	I've been told I should do that again.	Man sagte mir, ich solle es wieder tun.
7899	I'm not finished with you.	Ich bin noch nicht fertig mit dir.
60598	Copy this, please.	Bitte schreib das ab.
196166	Don't ask me such difficult questions.	Stell mir nicht so schwierige Fragen.
66098	I was eating some strawberries.	Ich habe Erdbeeren gegessen.
109319	May I go with Tom?	Darf ich mit Tom gehen?
81676	Being very tired, I soon fell asleep.	Weil ich sehr müde war, schlief ich bald ein.
19797	Tom knows where to draw the line.	Tom weiß, wo er einen Schlußstrich ziehen muß.
56554	This beer isn't cold.	Dieses Bier ist nicht kalt.
2001	I need Tom's money.	Ich brauche Toms Moneten.
47363	It's very kind of you to help me.	Es ist sehr nett von dir, mir zu helfen.
55267	Will Tom leave early?	Wird Tom früher gehen?
178033	This bag is made from genuine leather.	Das ist eine echte Ledertasche.
54559	The pizza was expensive.	Die Pizza war teuer.
20203	I want my money returned immediately.	Ich will sofort mein Geld zurück!
92754	I cannot afford to buy a new bicycle.	Ich habe kein Geld, mir ein neues Fahrrad zu kaufen.
132914	Tom is going to tell Mary he's sorry.	Tom wird Mary sagen, dass es ihm leid tut.
61898	When did you buy those earrings?	Wann hast du die Ohrringe gekauft?
112678	He's nervous and gets scared easily.	Er ist nervös und ängstigt sich schnell.
82739	You speak French, don't you?	Sie sprechen doch Französisch, oder?
44704	It's spring again.	Es ist mal wieder Frühling geworden.
103185	What's up with you today?	Was ist heute mit euch los?
19308	Tom has a good head on his shoulders.	Tom ist ein kluges Köpfchen.
180017	Tom looked up at the stars.	Tom blickte hinauf zu den Sternen.
188888	Can you tie a tie?	Kannst du eine Krawatte binden?
57568	Who planted the tree?	Wer hat den Baum gepflanzt?
404	I am from Ecuador.	Ich bin aus Ecuador.
196633	Most students study hard.	Die meisten Studenten studieren fleißig.
85557	Thank God that nobody was hurt.	Gott sei Dank, kam niemand zu Schaden.
57139	Where does this train go?	Wohin fährt der Zug?
19639	They built an extension to the office.	Sie bauten eine Erweiterung des Büros.
50859	After work, I go right home.	Nach Feierabend geh ich direkt nach Hause.
83707	The president appointed a new manager.	Der Vorsitzende ernannte einen neuen Geschäftsführer.
157830	Why didn't you tell Tom?	Warum hast du es Tom nicht gesagt?
94380	I'll do anything you ask me to do.	Ich werde alles tun, worum du mich bittest.
37403	Why are you so far away?	Warum seid ihr so weit weg?
3946	Tom is trying to get back into shape.	Tom versucht, wieder in Form zu kommen.
140447	I hear you've got a new girlfriend.	Ich höre, du hast eine neue Freundin.
191913	I'm not going to kiss you, Tom.	Ich werde dich nicht küssen, Tom.
99410	Tom has to go shopping now.	Tom muss jetzt einkaufen gehen.
42388	He rescued a boy from drowning.	Er errettete einen ertrinkenden Jungen.
181301	Tom wondered if it was true.	Tom fragte sich, ob das stimmte.
80304	She never wears pants.	Sie hat nie Hosen an.
24077	What did Tom steal?	Was hat Tom gestohlen?
196826	You're a little overweight.	Ihr seid leicht übergewichtig.
15263	This is only partially true.	Dies trifft nur teilweise zu.
117496	I stretched out my hand for the book.	Ich streckte meine Hand nach dem Buch aus.
34070	I should've apologized to Tom.	Ich hätte mich bei Tom entschuldigen sollen.
148703	Where do you buy your clothes?	Wo kaufen Sie Ihre Kleidung?
150422	Tom is still not married.	Tom ist immer noch nicht verheiratet.
125019	There's no food left in the house.	Es ist nichts zu essen mehr im Haus.
167060	Get to the point.	Komm endlich zur Sache!
127203	Einstein liked to play the violin.	Einstein spielte gerne Geige.
122534	I have to explain that to Tom.	Ich muss Tom das erklären.
113101	I feel very betrayed.	Ich fühle mich sehr betrogen.
104476	Tom took off his protective glasses.	Tom setzte seine Schutzbrille ab.
57499	He doesn't want you to know.	Er will nicht, dass Sie es wissen.
20520	Tom worked at a hospital.	Tom arbeitete in einem Krankenhaus.
16455	That boy is Tom.	Der Junge da ist Tom.
81278	Please feel free to ask questions.	Sie dürfen gerne Fragen stellen.
125349	What's the quickest way home?	Wie komme ich auf dem schnellsten Weg nach Hause?
83930	They are very big apples.	Es sind sehr große Äpfel.
44253	I received your message yesterday.	Ich habe eure Nachricht gestern bekommen.
156258	Why are we studying French?	Warum lernen wir Französisch?
80215	Are you still bored?	Langweilst du dich immer noch?
21482	Would you like another glass of wine?	Hättest du gerne noch ein Glas Wein?
187798	Are all swans white?	Sind alle Schwäne weiß?
122076	We carried out that plan.	Wir setzten diesen Plan in die Tat um.
46276	I wonder what Tom needs to do.	Ich wüsste gerne, was Tom tun muss.
96279	That's not how Tom sees it.	Das ist nicht so, wie Tom das sieht.
136730	Tom is in Boston now.	Tom ist jetzt in Boston.
8455	Your phone was off.	Dein Telefon war ausgeschaltet.
14359	The tsunami alert was cancelled.	Der Tsunamialarm wurde aufgehoben.
127339	Tom is apt to go to extremes.	Tom neigt, zum Äußersten zu gehen.
99551	Where's the loo?	Wo ist das Klo?
147478	The heating must be repaired.	Die Heizungsanlage muss repariert werden.
83915	I'm beginning to agree with you.	Langsam bin ich deiner Meinung.
196921	I'm not as heavy as Tom.	Ich bin nicht so schwer wie Tom.
38611	I feel like I can do anything.	Ich fühle mich, als ob ich alles tun kann.
164253	I hope you don't mind walking.	Ich hoffe, es macht euch nichts aus zu laufen.
165258	We became fast friends.	Wir wurden dicke Freunde.
193912	Where is my invite?	Wo ist meine Einladung?
82459	Maybe Tom is dead.	Vielleicht ist Tom tot.
139690	Moths are attracted by light.	Motten werden von Licht angezogen.
194435	I'm willing to let bygones be bygones.	Ich bin bereit, das Vergangene vergangen sein zu lassen.
106185	They were really cold.	Sie waren äußerst kalt.
