	eng	srp
16471	No questions were asked.	Није било постављено ниједно питање.
6394	I like that name.	Допада ми се то име.
17010	I'm normally on time.	Обично стигнем на време.
12317	I'd be perfect for that job.	Био бих савршен за тај посао.
15084	We have to set the scene for negotiations.	Морамо да припремимо терен за преговоре.
22683	Let me just clarify that.	Само да појасним то.
22874	I've already written to Tom.	Već sam pisao Tomu.
11789	I haven't seen her for ages.	Odavno je nisam video.
8998	The quarterly growth of 1.2% means an annual growth rate of 4.8%.	Тромесечни раст од 1,2% значи годишњи раст од 4,9%.
24214	I got off the bus.	Изашао сам из аутобуса.
21419	I actually live not too far from here.	Заправо не живим много далеко одавде.
19473	I know almost nothing about you.	Ne znam skoro ništa o tebi.
4970	It was completely dark.	Био је мркли мрак.
19415	Tom knows what it takes.	Tom zna šta je potrebno.
18636	Tom and I both have new bicycles.	И Том и ја имамо нове бицикле.
19074	Tom isn't like the other boys.	Tom nije kao ostali momci.
8823	The weather, indeed, affects bicycling more than any other sport.	Временске прилике, заиста, утичу на бициклизам више него на било који други спорт.
5301	I didn't intend to tell you that.	Nisam nameravala da ti kažem to.
22017	I think you can talk Tom out of it.	Ја мислим да ви можете да одговорите Тома.
16486	I'd like to have lunch with you.	Волела бих да ручам са тобом.
2194	We spent all day looking for Tom.	Провели смо цео дан тражећи Тома.
4920	I locked the door behind me.	Закључао сам врата за собом.
3071	Did you expect something else to happen?	Da li si očekivao da se dogodi nešto drugo?
21953	You'd help us, wouldn't you?	Помогао би нам, зар не?
14217	Tom still seems shaken.	Tom još uvek deluje potreseno.
11569	I'd probably be able to fix that fairly quickly.	Вероватно бих прилично брзо могао да решим тај проблем.
8406	Does Tom really like it?	Да ли се то Тому стварно свиђа?
12612	I thought you were happy here.	Mislio sam da si srećan ovde.
4009	It must've been quick.	Sigurno je bilo brzo.
25105	I think Tom is strict.	Мислим да је Том строг.
16395	I think that you've come a long way.	Мислим да си далеко догурала.
21791	Is it OK if I close the door?	Да ли је у реду да затворим врата?
15651	I don't want you to see me naked.	Ne želim da me vidiš golog.
368	Tom said nobody was hurt.	Tom je rekao da niko nije bio povređen.
13783	Don't argue with me.	Ne raspravljaj se sa mnom!
22359	She divorced her husband.	Razvela se od muža.
13097	I often get depressed.	Често паднем у депресију.
19447	Somebody stole my camera.	Неко ми је украо фото-апарат.
10655	I'm the one who should resign.	Ја сам тај који треба да поднесе оставку.
2481	They needed one another.	Potrebni su jedni drugima.
23240	I thought it was possible.	Mislio sam da je moguće.
16352	Does Tom want another beer?	Да ли Тому треба још једно пиво?
23902	The TV isn't plugged in.	TV nije uključen u struju.
1691	I think that it's Tom.	Мислим да је то то Том.
14284	How soon do you think you'll be able to do that?	Колико брзо мислите да ћете моћи да урадите то?
11699	Is anyone going to translate that?	Хоће ли неко превести то?
19232	I felt as calm as ever.	Био сам потпуно миран.
7584	I'm afraid they both have bad reputations.	Бојим се да обоје имају лошу репутацију.
4541	It just happened again.	Upravo se opet desilo.
20050	I'll be busy tomorrow.	Сутра ћу бити заузета.
4308	Tom led his horse out of the stable.	Том је извео коња из штале.
6389	You're still mad, aren't you?	Још увек си бесна, зар не?
24315	The guy talking to Mary is Tom.	Момак који прича с Мери је Том.
21311	What do you want now?	Šta je to što sada želiš?
9394	Tom is going to be thirty years old in three months.	Том ће напунити тридесет година за три месеца.
1917	She bought the dictionary, too.	Ona je takođe kupila rečnik.
17478	The two men were business partners.	Dvojica muškaraca su bili partneri u biznisu.
1582	You can't get much better than that.	Не можете да будете нешто много бољи од тога.
17850	I heard you don't eat meat.	Čuo sam da ne jedeš meso.
24370	Do you eat a lot of bread?	Да ли једеш пуно хлеба?
24179	Did Tom remember you?	Да ли те се Том сећа?
25385	I totally disagree with you.	U potpunosti se ne slažem sa tobom.
4803	Tom used to be scared of me.	Tom se ranije plašio mene.
23632	Tell me what I must do.	Reci mi šta moram da uradim.
25298	Do you agree with that?	Да ли се слажете са тим?
12194	He must be over sixty.	Сигурно има више од шездесет година.
1817	Are you saying that my life is in danger?	Кажеш да ми је живот у опасности?
24202	It doesn't seem to help.	Ne izgleda da pomaže.
10795	I'll try to answer any question you may have.	Пробаћу да дам одговор на сва питања која имате.
19665	Tom and I are very close friends.	Tom i ja smo jako bliski prijatelji.
12954	You deserve to be congratulated.	Zaslužuješ da ti čestitam.
6733	I'll eat when I have time.	Јешћу када будем имао времена.
24174	Tom showed up at 2:30.	Том се појавио у 2:30.
9831	I didn't recognize the song Tom was singing.	Нисам препознао песму коју је Том певао.
13508	Tom is going to do that unless you stop him.	Том ће да уради то осим ако га не спречиш.
20705	Is Mary a real blonde?	Da li je Meri prirodno plava?
9399	I'm sure Tom won't help us.	Siguran sam da nam Tom neće pomoći.
15056	Do you really think I'm selfish?	Da li zaista misliš da sam sebičan?
5705	I have confidence in you.	Ja imam poverenje u tebe.
19841	Does Tom play video games?	Да ли Том игра видео-игре?
14621	I met Tom in the winter three years ago.	Упознала сам Тома у шуми пре три године.
5792	My birthday is on a Monday next year.	Рођендан ми се пада у понедељак следеће године.
5722	You must tell Tom everything.	Мораш Тому да кажеш све.
22914	I'd be hesitant to do that.	Оклевао бих да урадим то.
6213	I believe Tom did that.	Верујем да је Том то урадио.
16155	Do you remember how to do this?	Сећаш ли се како се ово ради?
858	I'm really happy about it.	Zbilja sam srećan zbog toga.
9379	The girl talking to Tom is Mary.	Девојчица која прича с Томом је Мери.
20630	Tomorrow I'll buy what I need.	Sutra ću da kupim šta mi treba.
19208	This is one of the most popular restaurants in town.	Ovo je jedan od najpopularnijih restorana u gradu.
1858	I assumed you'd go to Boston.	Претпоставио сам да ћеш отићи у Бостом.
1642	Tom can still recite a poem he wrote when he was thirteen.	Tom još uvek zna da izrecituje pesmu koju je napisao kada je imao trinaest godina.
5083	How did you get to school?	Како си дошао до школе?
19934	You don't seem to want to win.	Изгледа као да желиш да победиш.
19197	Cut it out, Tom.	Dosta više, Tome.
17771	I'll call them tomorrow when I come back.	Zvaću ih sutra kada se vratim.
17397	What did you see after that?	Шта сте виделе после тога?
20170	I might be the only one here who doesn't understand French.	Можда сам једини овде који не разуме француски.
16091	I'll be declaring bankruptcy.	Објавићу да смо банкротирали.
14853	I think it's absolutely ridiculous.	Mislim da je to skroz smešno.
15505	I think that won't work.	Мислим да то неће успети.
3050	It's not something anyone can do.	То није нешто што би свако могао да уради.
9054	I no longer wonder about anything.	Више се ни за шта не чудим,
12870	I let Tom do what he wanted.	Дала сам Тому да ради шта хоће.
8693	Tom was a diplomat.	Том је био дипломата.
10252	I didn't think I was in any danger.	Нисам мислио да сам у опасности.
6360	Does Tom need a flashlight?	Да ли Тому треба батеријска лампа?
8613	It didn't get that bad.	Nije se toliko pogoršalo.
18936	You should do that again.	Треба да опет урадиш то.
3023	Would you mind if I told Tom about this?	Da li bi ti smetalo da kažem Tomu za ovo?
18431	What do you eat, anyway?	Šta ti uopšte jedeš?
2625	Tom finished writing the report in less than three hours.	Tom je završio izveštaj pre manje od tri sata.
14050	Tom watched Mary and John playing tennis.	Том је гледао Мери и Џона како играју тенис.
20350	Did you turn off the TV?	Да ли си ти искључио ТВ?
3520	The room was dark.	Soba je bila mračna.
3608	I know Tom isn't a very good heavy metal guitarist.	Знам да Том није много добар хеви метал гитариста.
11130	Antelopes can easily outrun lions.	Antilope mogu lako da pobegnu lavovima.
8795	I've never noticed that before.	Nikad ranije nisam opazio to.
12963	I don't quite understand what you're getting at.	Ne razumem baš na šta ciljaš.
14856	Tom wants to do that another way.	Том хоће да уради то на други начин.
9260	I know everyone here.	Знам све људе овде.
21248	Does that happen a lot?	Da li se to događa često?
10650	I think I'm unbeatable.	Мислим да сам непобедива.
17331	I can't sit still.	Ја не могу мирно да седим.
1483	Are you back already?	Јесте ли се већ вратили?
2620	Many people didn't like Tom.	Многим људима се није допао Том.
5088	You don’t want to sleep, do you?	Не желиш да спаваш, зар не?
3533	There's more to it than that.	Има ту још тога.
3955	Does Tom like traveling?	Да ли Том воли да путује?
22004	I'm different from Tom.	Другачија сам од Тома.
10773	I've had so much support.	Imao sam tako puno podrške.
11371	There's a problem there that you don't see.	Ту има један проблем који не видите.
18341	I no longer wonder about anything.	Више се не чудим ничему.
9913	This should do the trick.	Trebalo bi da upali.
21566	Nobody complained about that.	Нико се није жалио за то.
16701	This is the news I've been waiting for.	На ове вести сам чекао.
22889	Tom wants to stand out.	Том жели да се истакне.
5953	I would never do that.	Nikad ne bih uradio tako nešto.
22076	I'm not counting on it.	Ne računam na to.
9354	I fixed something to eat.	Спремио сам нешто за јело.
21793	How did you find out about what happened?	Како сте сазнали шта се десило?
9593	You never arrive on time.	Никад не стижеш на време.
4799	I'm sure you're very busy.	Siguran sam da si veoma zauzet.
17393	There's a good chance that we'll win.	Postoje dobre šanse da ćemo da pobedimo.
12070	Let's try something.	Hajde da probamo nešto.
16153	Tom wants to work here.	Том хоће да ради овде.
25513	Tom was there physically, but not mentally.	Tom je fizički bio tu, ali ne i mentalno.
9165	Nobody I know goes there anymore because it's too crowded.	Niko kog znam više ne ide tamo jer je velika gužva.
642	I think I'm ready now.	Мислим да сам сада спреман.
15735	Tom likes them both.	Tomu se dopadaju oboje.
572	Swimming makes your legs stronger.	Plivanje čini tvoje noge jačim.
10111	I think that I'm unlucky.	Мислим да сам несрећан.
1280	That's not a good sign.	То није добар знак.
9590	I've already done most of what I have to do today.	Већ сам урадио већину онога што је требало за данас.
18837	I first met Tom several years ago.	Упознао сам Тома пре неколико година.
11347	I'm having trouble deciding where to park.	Ne mogu da odlučim gde da se parkiram.
5430	I hope that the weather will be dry.	Nadam se da će biti suvo vreme.
17270	I really don't know how many songs I've written.	Стварно не знам колико сам песама написала.
24262	Hold this, please.	Придржи ово, молим те.
3828	I just met Tom.	Само што сам се упознала с Томом.
7748	Are we starting soon?	Da li počinjemo uskoro?
9009	It was a big explosion.	To je bila velika eksplozija.
13548	We should do this, too.	Требало би да и ми урадимо ово.
17471	That would be a huge waste of money.	To bi bilo veliko traćenje novca.
22326	Mary wore a bright pink scarf.	Мери је носила светли розе шал.
19907	We didn't really know why until recently.	Уопште нисмо знали зашто све до скора.
4013	Tell them we're coming.	Reci im da dolazimo.
13954	I gave my mother a red rose.	Дао сам својој мајци црвену ружу.
16427	If you do that for me, I'd appreciate it.	Ако ми средиш то, био бих ти захвалан.
16176	Tom named his third son after his grandfather.	Том је назвао свог трећег сина по свом деди.
13643	I expected you to get here earlier.	Очекивао сам да ћете раније да дођете овде.
5805	Doing that was harder than I thought it would be.	Урадити то је било теже него што сам мислио да ће бити.
5317	Ducks make great pets.	Патке су одлични кућни љубимци.
17134	She was still weak after her illness.	Још увек је била слаба после болести.
18371	It would take me too much time to explain to you why it's not going to work.	Требаће ми превише времена да ти објасним зашто неће да ради.
3251	How many symphonies did Beethoven write?	Koliko simfonija je napisao Betoven?
19223	Indeed, in hot weather it is important not to encase the ankles in heavy boots or leggings, as these would ensure overheating.	Заиста, током врућина је важно да чланци не буту прекривени дебелим чизмама или чарапама, јер би се тиме осигурало прегревање.
4080	I'm interested in mathematics.	Занимам се за математику.
4510	And then something amazing happened.	I onda se nešto neverovatno dogodilo.
22693	I don't want anything from you.	Ne želim ništa od tebe.
10691	I can't believe that Tom kissed me.	Ne mogu da verujem da me je Tom poljubio.
4159	He made a killing by investing in the stock market.	Napravio je ogroman profit investirajući na tržište akcija.
5149	You've been really helpful.	Stvarno ste mi pomogli.
10263	You can sit with me.	Možete da sedite sa mnom.
16765	There were a lot of people at the train station this morning.	Било је много људи на железничкој станици овог јутра.
22167	I accidentally dropped my phone.	Случајно ми је испао телефон.
22250	Tom was delighted with the results.	Том је био презадовољан резултатима.
6	I like shuffling cards.	Волим да мешам карте.
17672	You can't get much better than that.	Не можете да будете нешто много боље од тога.
9730	That was very good.	Баш је било добро.
4082	What am I here for?	Šta ću ja ovde?
19976	She achieved her goal.	Postigla je svoj cilj.
19429	Tom's house has a huge basement.	Томова кућа има огроман подрум.
12757	Are you sure this is safe?	Da li ste sigurni da je ovo bezbedno?
14114	I think you've come a long way.	Мислим да си далеко догурала.
10278	I was very excited.	Bila sam veoma uzbuđena.
23003	I'm afraid you'll have to go.	Бојим се да ћете морати да идете.
13191	What did both of you do?	Šta ste vas dvoje uradili?
8792	Eat your soup while it's warm.	Jedite supu dok je vruća.
12390	That's not a good sign.	To nije dobar znak.
678	Coffee would be nice.	Kafa bi dobro došla.
17099	Two boys came running out of the room.	Два дечака су истрчала из собе.
10676	I think that Tom has a headache.	Мислим да Тома боли глава.
10416	I think Tom is callous.	Mislim da je Tom kvrgav.
3018	I ended up calling the police.	На крају сам позвала полицију.
1175	Tom knew that Mary had gone to a private school.	Том је знао да је Мери отишла у приватну школу.
24151	I consider that a good sign.	За мене је то добар знак.
24994	Tom wants to go with Mary.	Том жели да иде са Мери.
19364	Tom needs a good lawyer.	Тому треба добар адвокат.
10957	My phone is about to die.	Telefon će mi se uskoro ugasiti.
1028	Vehicles approaching pass each other on the right.	Возила која примичу једно другом се мимоилазе здесна.
13366	I think that's funny.	Мислим да је смешно.
23645	Tom isn't in trouble.	Том није у невољи.
16619	I was curious to see what was in the box.	Занимало ме је да видим шта је у кутији.
18904	Someone stole my camera.	Неко ми је украо фото-апарат.
22976	You're going to get injured if you're not careful.	Повредићеш се ако не будеш пажљива.
2145	It may not be a good idea to eat while you are running.	Možda nije dobra ideja da jedete dok trčite.
19303	Are you going back now?	Da li se sada vraćaš?
16446	We've just moved in.	Само што смо се уселили.
13689	Does Tom know who we are?	Да ли Том зна ко смо?
19795	I think I'm getting arthritis.	Мислим да добијам артритис.
994	Tom has promised to behave from now on.	Том је обећао да бити миран надаље.
12158	Tom looked out the window to see what was going on.	Том погледа кроз прозор да види шта се дешава.
18603	How often do you wash your hair?	Колико често переш косу?
8910	I didn't have to pay anything.	Нисам морала да платим ништа.
10861	I'm glad that you found the money you lost.	Drago mi je da si našao novac koji si izgubio.
9786	She was shy in her high school days.	Била је стидљива као средњошколка.
18321	Your voice reminds me of my late grandmother.	Твој глас ме подсећа на моју покојну баку.
5056	Things might've turned out better if you hadn't gone there.	Stvari bi možda ispale bolje da nisi otišao tamo.
1468	I got off at the wrong bus stop.	Izašao sam na pogrešnoj autobuskoj stanici.
3701	I want to play tennis on Monday.	Хоћу да играм тенис у понедељак.
15196	What did you write on the blackboard?	Шта си написао на табли?
18953	The book that I bought is on the desk.	Књига коју сам купио је на столу.
3741	Tom told me I should stay home.	Tom mi je rekao da treba da ostanem kući.
22105	Tom will forever be in our hearts.	Том ће заувек бити у нашим срцима.
6191	That shirt ought to be ironed.	Та мајица треба да се пегла.
19990	That must've been fun.	Mora da je bilo zabavno.
21940	Tom loves to drive.	Tom voli da vozi.
14980	I expected to be here all afternoon.	Очекивао сам да ћу бити овде целог поподнева.
3611	I had never seen anything like that before.	Nikad pre nisam video nešto tako.
1127	You called me a coward.	Назвали сте ме кукавицом.
10300	Tom got fired because he often made mistakes.	Том је отпуштен јер је често правио грешке.
13670	We're not very likely to do that together.	Мале су шансе да то урадимо заједно.
23031	Could I have a glass of wine?	Mogu li dobiti čašu vina?
10743	I knew that I'd find you here.	Знао сам да ћу те пронаћи овде.
5312	Tom told me that Mary was the one who stole my bicycle, but I don't believe him.	Том ми је рекао да је Мери та која ми је украла бицикл, али не верујем му.
22055	I'm not good with numbers.	Нисам добра с бројевима.
8187	What're you going to do with all this?	Šta nameravaš sa sa svim ovim?
2061	Just get out of my way.	Samo mi se gubi s puta.
19846	Traffic accidents happen every day.	Saobraćajne nesreće se dešavaju svakog dana.
19675	You should eat to live, not live to eat.	Треба да једеш да би живео, не да живиш да би јео.
5583	We can save a little time if we do what Tom suggests.	Možemo da uštedimo malo vremena ako uradimo ono što predlaže Tom.
75	I'm going to use what you give me.	Искористићу оно што си ми дала.
16581	What was Tom convicted of?	За шта је Том осуђен?
17575	Many factors need to be considered.	Много утицаја мора да се узме у обзир.
13675	Tom seemed busier than usual.	Izgledalo je da je Tom zauzetiji nego obično.
2390	May I talk to you?	Могу ли да попричам са тобом?
2569	I want to let Tom go.	Хоћу да пустим Тома да иде.
842	I'm going to stay for another few days.	Остаћу још пар дана.
8126	He's a man of many talents.	On je čovek sa mnogo talenata.
6618	I've already ordered it.	Već sam je poručio.
22606	I won't try to predict the future.	Neću pokušavati da predvidim budućnost.
14613	Are you being truthful?	Da li si iskren?
22817	I think that I know everybody here.	Мислим да знам сев људе овде.
20440	Let me take care of this.	Dopusti meni da se postaram za ovo.
1921	Seeing that it was raining, Tom took his umbrella.	Видевши да је пада киша, Том узе кишобран.
9119	How can I protect myself?	Kako mogu da se zaštitim?
17449	I know how tall Tom is.	Знам колико је Том висок.
4876	Tom always made me laugh.	Tom me uvek zasmeje.
11829	Please be honest with me.	Molim te, budi iskrena prema meni.
24217	Tom is from small town about three hundred kilometers from here.	Том је из малог драга на око триста километара одавде.
1396	Tom already knows I'm not very happy about it.	Том већ зна да нисам баш срећан због тога.
14735	I don't want to tell you my name.	Не желим да ти кажем своје име.
8199	Tom might be there.	Tom bi mogao da bude ovde.
21971	We continued walking for a while in silence.	НАставили смо да ходамо неко време у тишини.
12163	Are you going to the supermarket?	Да ли идеш у супермаркет?
880	I have to go to town.	Морам да идем до града.
5082	Let me know if there is anything I can do.	Реци ми ако могу да урадим нешто.
17287	I want to do that again someday.	Желим да поново некад урадим то.
14723	There's no way to save everybody.	Ne postoji način da se svi spasu.
6423	We have to learn the whole poem by heart.	Moramo da naučimo celu pesmu napamet.
20325	I've never danced with Tom.	Никад нисам плесала са Томом.
3807	You need to make a decision.	Moraš da doneseš odluku.
7195	But don't get me wrong.	Али немој погрешно да ме схватиш.
13448	I haven't read any of his letters.	Нисам прочитала ниједно од његових писама.
14060	I think I'll stay for a few more days.	Mislim da ću ostati još nekoliko dana.
18069	She dreamed of becoming a nurse.	Маштала је да постане медицинска сестра.
3795	She was at a loss as to what to do.	Није имала појма шта да ради.
13469	No one knows what will come of it.	Нико не зна како ће да испадне.
23420	Tom is a bookworm.	Том је књишки мољац.
21432	Tom is the team manager.	Tom je menažder tima.
1354	Tom tried the knob.	Tom je probao dugme.
16575	Let's hope you're right.	Nadajmo se da si u pravu.
18114	Tell me what that is.	Kažite mi šta je ono.
6538	The next time will surely be better.	Sledeći put će zasigurno biti bolje.
19365	I'm still not ready yet.	Još uvek nisam spreman.
20427	Who sent Tom there?	Ко је послао Тома тамо?
18944	We sell clothing in our store.	Продајемо одећу у нашој продавници.
6823	I'm a thirteen-year-old girl.	Ја сам тринаестогодишња девојчица.
21058	It's been over a year since the accident.	Прошло је више од годину дана од несреће.
1329	The way to a man's heart is through his stomach.	Пут до мушког срца води преко његовог стомака.
21770	You'll feel better after a cup of tea.	Осећаћеш се боље после шоље чаја.
19725	What exactly are we looking for?	Шта то ми уствари тражимо?
2465	I got up later than usual.	Пробудио сам се касније него обично.
1308	Turn back, please.	Окрени се, молим те.
6326	That wasn't the first time that Tom got arrested.	То није био први пут да ухапсе Тома.
3224	Give me an example.	Дајте ми један пример.
6911	I'm really happy I'm here.	Zaista sam srećna što sam ovde.
8607	I really hope I'm wrong.	Stvarno se nadam da grešim.
21885	I told Tom I'd seen Mary.	Рекао сам Тому да сам видео Мери.
22752	Tom sat on the bench and closed his eyes.	Том је сео на клупу и зажмурио.
2039	Tom has never worn the socks that I gave him for Christmas.	Том никад није носио чарапе које сам му дао за Божић.
22534	I'm glad you're going to be there.	Драго ми је што ћеш бити тамо.
9740	The whole country is talking about it.	Цела држава о томе бруји!
3728	I don't really know what I need to do.	Не знам баш шта треба да радим.
24310	Everything is very complicated.	Све је било много компликовано.
11986	Does Tom do drugs?	Да ли се Том дрогира?
3146	I think that'll work.	Мислим да ће то упалити.
10258	The judge banged his gavel.	Sudija je lupio čekićem.
23548	Will we see Tom again?	Hoćemo li ponovo da vidimo Toma?
1138	The battle lasted a week.	Bitka je trajala nedelju dana.
1952	Tom has asked not to be disturbed.	Том нас је замолио да га не узнемиравамо.
4005	What did both of you do?	Šta ste oboje uradili?
21723	I think that I'll call Tom first.	Мислим да ћу ја прва да позовем Тома.
12255	Tom asked me if I found what I was looking for.	Tom me je pitao da li sam našao ono što sam tražio.
10704	Tom pointed to the sky.	Tom pokaza ka nebu.
24889	Tom worked all his life.	Tom je radio čitavog života.
16301	How long will you stay in Boston?	Колико дуго остајете у Бостону?
8249	I think I can stay.	Мислим да могу да останем.
1911	How much money do we need?	Koliko novca nam treba?
19932	I'd like to have lunch with you.	Волела бих да ручам с тобом.
25063	I often wonder if I could do that.	Често се питам да ли бих могла да радим то.
4556	Tom decided he shouldn't do that.	Том одлучи да не ради то.
13052	I'm sure that Tom didn't mean to hurt you.	Sigurna sam da Tom nije želeo da te povredi.
13022	How did you find out where Tom was?	Kako si saznao gde je Tom?
21880	Tom wants to do that now.	Том хоће да то уради сада.
18292	He leads a hectic life.	On vodi buran život.
12668	I talked to Tom yesterday.	Pričao sam sa Tomom juče.
24771	Tom and I are very close friends.	Tom i ja smo veoma bliski drugari.
14543	Let me introduce you.	Дозволи да вас упознам.
24091	Does Tom need any money?	Да ли Тому треба новац?
12894	Can I ask you a question?	Mogu li da vas pitam nešto?
17380	The first step is always the hardest.	Први корак је увек најтежи.
12547	Tom hates his tiny bedroom.	Tom mrzi svoju malu spavaću sobu.
17067	I plan to stay home today.	Намеравам да данас останем кући.
15418	I'm almost as tall as my father.	Висок сам скоро колико мој отац.
5029	I hope Tom gets back safely.	Nadam se da će Tom da se vrati bezbedno.
3868	Tom asks me the same thing every time he sees me.	Tom me pita istu stvar svaki put kada me vidi.
10385	I'm likely to be here all afternoon.	Verovatno ću biti ovde celo popodne.
21041	Music is important to me.	Muzika mi je važna.
8439	Those who live in glass houses should not throw stones.	Ne treba se gađati kamenjem u staklenoj kući.
20581	We need you to help us.	Potrebna nam je tvoja pomoć.
15515	You should be safe here.	Овде би требало да си безбедан.
17988	A bird in the hand is worth two in the bush.	Боље врабац у руци, него голуб на грани.
8060	I think that was really mean of you.	Mislim da si se zaista loše poneo.
13176	Are you still jealous?	Jesi li i dalje ljubomoran?
10088	Let's discuss our options.	Hajde da prodiskutujemo opcije.
6576	You don't seem to like me very much.	Изгледа да ти нисам баш драг.
17852	I'm used to no one liking me.	Navikao sam se da se nikome ne sviđam.
24978	I'd like to introduce you to Tom.	Volela bih da te upoznam sa Tomom.
9599	Did you go and see Tom?	Jesi li otišao da vidiš Toma?
4269	Is Tom in the choir?	Да ли је Том на хору?
19351	Are you coming in, or are you going to stand there all day?	Мислиш ли да уђеш, или ћеш да стојиш тамо цео дан?
3073	I know who'll do that.	Знам ко ће шта да ради.
22758	Why do you do what you do?	Zašto radiš to što radiš?
18193	Tom and I quit.	Том и ја смо дали отказ.
14805	Take your time, Tom.	Samo polako, Tome.
11478	Is there a phone nearby?	Има ли неког телефона у близини?
4054	I have no intention of changing.	Ne nameravam da se promenim.
17510	I'm doing it, too.	И ја то радим.
