	eng	pol
22842	Hatred is our enemy.	Nienawiść jest naszym wrogiem.
43711	I learned from the best.	Uczyłem się od najlepszych.
23558	I wonder who it was.	Zastanawiam się, kto to był.
44027	My mother took my temperature.	Moja matka zmierzyła mi temperaturę.
5488	Let's call it a day.	Na dziś już kończymy.
6559	I don't know whether to laugh or cry.	Nie wiem czy się śmiać czy płakać.
4688	Have you finished breakfast yet?	Czy już skończyłeś śniadanie?
13127	Have you shown Tom your wedding pictures?	Pokazywaliście Tomowi swoje zdjęcia ze ślubu?
45274	Is this a drill?	Czy to są ćwiczenia?
37744	Tom dropped his glass.	Tom upuścił swoją szklankę.
9668	Most people won't notice that.	Większość ludzi tego nie zauważy.
22123	Who was Tom afraid of?	Kogo bał się Tom?
24761	Tom doesn't like drinking coffee out of a paper cup.	Tom nie lubi pić kawy z papierowego kubka.
6980	How's the water here?	Jaka tu jest woda?
22159	Which European city do you like the most?	Które europejskie miasto najbardziej lubisz?
8100	How many other people know about this?	Ilu jeszcze ludzi o tym wie?
9078	We have a reservation for six-thirty.	Mamy rezerwację na szóstą trzydzieści.
40456	The movie received mixed reviews.	Ten film zebrał mieszane recenzje.
13576	I like geography and history.	Lubię geografię i historię.
21382	She made many mistakes in typing the report.	Ona zrobiła wiele błędów, pisząc to sprawozdanie.
20566	Our visit was wonderful.	Nasza wizyta była wspaniała.
4706	I slept just two hours.	Spałam tylko dwie godziny.
13691	I haven't been feeling well for the past few days.	Już od kilku dni nie najlepiej się czuję.
40030	Musicians are usually sensitive to criticism.	Muzycy są zwykle wrażliwi na krytycyzm.
13184	It isn't just a question of price.	To nie jest kwestia tylko ceny.
19950	Tom and Mary are thinking about starting a family.	Tom i Mary myślą o założeniu rodziny.
30154	I'm investing in my future.	Inwestuję w swoją przyszłość.
28836	Tom doesn't believe in astrology.	Tom nie wierzy w astrologię.
12075	It's cold outside.	Na zewnątrz jest zimno.
21262	Not every question deserves an answer.	Nie każde pytanie zasługuje na odpowiedź.
30456	I lived in Boston until I was thirteen.	Mieszkałem w Bostonie do trzynastego roku życia.
43220	I'm sorry, but I have to go to the gym.	Przepraszam, muszę iść na siłownię.
21996	I think Tom will be angry.	Myślę, że tom będzie zły.
28441	That's the stupidest thing I've ever said.	To najgłupsza rzecz, jaką kiedykolwiek powiedziałem.
2037	What's the ambassador's name?	Jak ma na imię ambasador?
4222	Why on earth would I do that?	Jak u diabła miałabym to zrobić?
31793	I didn't see anyone in the park except Tom.	Nie widzę w parku nikogo oprócz Toma.
41879	It wasn't expensive.	To nie było drogie.
13042	They attempted in vain to bribe the witness.	Na próżno próbowali przekupić świadka.
42716	Can we do it this week?	Możemy zrobić to w tym tygodniu?
21091	I've visited Boston a few times.	Zwiedziłem Boston już kilka razy.
34547	I went straight home.	Poszedłem prosto do domu.
1560	The old man is wise and knows many things about life.	Starzec jest mądry i wie dużo o życiu.
29085	Tom's phone was confiscated by the teacher.	Telefon Toma został skonfiskowany przez nauczyciela.
25300	I'm surprised that I don't have to do the same thing you have to do.	Dziwi mnie, że nie muszę robić tego samego, co ty.
25098	Do you want to drink coffee?	Chcesz napić się kawy?
42409	Tom decided not to go to college.	Tom postanowił nie iść do college'u.
8801	I won't plead guilty.	Nie przyznam się do winy.
17953	We're going to eat a lot tonight so I hope you're not on a diet.	Będziemy dziś dużo jeść, więc mam nadzieję, że nie jesteś na diecie.
5490	He must finish his homework today.	Musi dzisiaj dokończyć pracę domową.
22523	I couldn't get the point of his speech.	Nie złapałem, o co chodziło w jego wystąpieniu.
45763	I want to hear about what happened.	Chcę usłyszeć, co się stało.
46069	Tom arrived at work late.	Tom spóźnił się do pracy.
22673	I remember seeing you last year.	Pamiętam, jak Cię widziałem w ubiegłym roku.
16011	I don't want to be here.	Nie chcę tu być.
43661	Is there intelligent life on other planets?	Czy istnieje inteligentne życie na innych planetach?
31803	Only sixteen percent of the teachers at this school are women.	Tylko szesnaście procent nauczycieli w tej szkole to kobiety.
42125	Tom is very busy now.	Tomek jest teraz bardzo zajęty.
5590	Tom is never going to let you go to Boston with Mary.	Tom nigdy nie pozwoli ci pojechać do Bostonu z Mary.
6912	I'm ready to start.	Jestem gotów by zacząć.
20361	She always writes down every word her teacher says.	Ona zawsze zapisuje każde słowo swego nauczyciela.
7861	He works in the car industry.	Pracuje w przemyśle samochodowym.
44952	We were just kidding around.	Po prostu się wygłupialiśmy.
40599	He's a bit shy.	On jest trochę nieśmiały.
6723	There is no other choice.	Nie ma innego wyjścia.
8169	Fasten your seat belt, please.	Proszę, zapnij swój pas.
25224	Tom turned on the table lamp.	Tom włączył lampę na stole.
15067	Could I use your phone?	Czy mógłbym skorzystać z telefonu?
7592	What exactly do you mean?	O co ci konkretnie chodzi?
20972	They're the only ones Tom can trust.	Są jedynymi, którym Tom może zaufać.
12227	Has the bell rung yet?	Czy dzwon już dzwonił?
27359	She's been ill since last Wednesday.	Jest chora od ostatniej środy.
32363	If there's anything I can do to help, please let me know.	Jeśli jest coś, co mogę zrobić, żeby pomóc, daj mi znać.
1825	This guitar is so expensive that I can't afford to buy it.	Ta gitara jest tak droga, że nie stać mnie na jej kupno.
30388	I couldn't believe it when they told me.	Nie mogłem w to uwierzyć, kiedy mi o tym powiedzieli.
6609	Tom explained the circumstances to Mary.	Tom wytłumaczył Mary okoliczności.
35885	Tom speaks French as well as me.	Tom mówi po francusku tak dobrze, jak ja.
10787	Canada borders the United States.	Kanada graniczy ze Stanami Zjednoczonymi.
33612	We should call Tom and see if he needs any help.	Powinniśmy zadzwonić do Toma i sprawdzić, czy nie potrzebuje pomocy.
27274	I had difficulty getting a ticket for the concert.	Z trudem zdobyłem bilet na koncert.
10655	He's proud of never being late to school.	On jest dumny z tego, że nigdy nie spóźnia się do szkoły.
43108	Tom got bored and left.	Tom się znudził i wyszedł.
3894	Have you said anything to Tom?	Czy powiedziałeś cokolwiek do Toma?
11725	Don't you just love it?	Czyż to nie jest słodkie?
31387	We'll give an interview in the afternoon.	Damy wywiad po południu.
37961	I don't speak French.	Nie mówię po francusku.
36569	Tom and I had a fight.	Pobiliśmy się z Tomem.
44600	She's eating for two.	Ona je za dwóch.
38180	I'm getting stronger every day.	Staję się silniejszy każdego dnia.
20671	My book has to be somewhere in the room.	Moja książka musi być gdzieś w pokoju.
23951	It could take a couple of days.	To może zająć kilka dni.
13543	I thought that you were a man of honor.	Myślałem, że jesteś człowiekiem honoru.
12208	I don't want to wait that long.	Nie chcę czekać aż tak długo.
41780	I have to find out who killed Tom.	Muszę się dowiedzieć, kto zabił Toma.
26217	Some people say that you shouldn't check your email first thing in the morning.	Są tacy, co twierdzą, że nie powinno się zaczynać dnia od sprawdzania e-maila.
33778	I have a meeting with Tom today.	Mam dziś spotkanie z Tomem.
16929	Pretend you're me.	Udawaj, że jesteś mną.
17556	I'm not sure how it happened.	Nie jestem pewien jak to się stało.
9476	Three is my lucky number.	Trzy to moja szczęśliwa liczba.
41532	I'd have succeeded if I'd tried harder.	Udałoby mi się gdybym się bardziej postarał.
23664	The more one has, the more one wants.	Im więcej ma, tym więcej chce.
14753	I'm beginning to think that I shouldn't have enlisted in the army.	Zaczynam myśleć, że nie powinienem był zaciągać się do wojska.
28367	That's not fair, is it?	To niesprawiedliwe, prawda?
21909	Tom wasn't able to contact Mary by phone.	Tom nie mógł się skontaktować telefonicznie z Mary.
7100	It could be heroin.	To może być heroina.
21693	I have to go and see what Tom wants.	Muszę iść i się dowiedzieć, czego chce Tom.
35203	Where are my glasses?	Gdzie są moje okulary?
36358	There are many wild animals in this area.	Te tereny obfitują w dziką zwierzynę.
15995	Lake Biwa could be seen from where we were standing.	Z miejsca, gdzie staliśmy, widać było jezioro Biwa.
97	She is leaving for America tonight.	Ona wyjeżdża dzisiaj w nocy do Ameryki.
22720	Tom never missed a day of work.	Tom nigdy nie opuścił dnia pracy.
24551	Which do you like better, the Giants or the Dragons?	Kogo wolisz: Olbrzymów czy Smoki?
41271	When was the first time you met her?	Kiedy spotkałeś ją po raz pierwszy?
15005	Tom is often late for school on Mondays.	Tom często spóźnia się do szkoły w poniedziałki.
4786	We'll miss you when you're not here.	Będzie nam cię brakowało kiedy cię tu nie będzie.
24593	Go to your spot.	Idź na swoje miejsce.
31747	I think I have something you want.	Chyba mam coś, czego chcesz.
7090	I don't know how to play the oboe.	Nie potrafię grać na oboju.
26180	Hand me that broom.	Podaj mi tę miotłę.
35423	Tom said he was willing to lend us three thousand dollars.	Tom powiedział, że jest skłonny pożyczyć nam trzy tysiące dolarów.
12210	Could you please look the other way while I change my clothes?	Mógłbyś patrzeć w inną stronę, podczas gdy ja się przebiorę?
17345	You should come to Australia.	Powinieneś przyjechać do Australii.
42829	What exactly do you mean?	Co dokładnie masz na myśli?
40681	India was governed by Great Britain for many years.	Indie były rządzone przez Wielką Brytanię przez wiele lat.
7214	She didn't exactly agree with me.	Nie do końca się ze mną zgodziła.
26526	I can't see anything in here.	Niczego tu nie widzę.
36570	He cannot afford to buy a car.	On nie może sobie pozwolić na kupno samochodu.
29704	Today, I'll sleep on the couch.	Dziś będę spał na kanapie.
7854	I wasn't busy last week.	W zeszłym tygodniu nie byłem zajęty.
21767	Is Boston far away?	Czy Boston jest daleko?
34040	I've decided to leave Boston.	Postanowiłam wyjechać z Bostonu.
33438	Men's things are sold on the third floor.	Towary dla panów są w sprzedaży na trzecim piętrze.
22287	Does Tom know about it?	Czy Tom wie o tym?
12149	Burglars broke into our apartment and stole my wife's fur coat.	Złodzieje włamali nam się do mieszkania i ukradli futro mojej żony.
38035	What's your favorite home-cooked food?	Jakie jest twoje ulubione jedzenie domowej roboty?
34561	I want to eat something that's not hot and spicy.	Chcę zjeść coś, co nie jest gorące ani ostre.
19382	I don't have to worry about that anymore.	Nie chcę się o tym już więcej martwić.
26158	The problem is that Tom doesn't always do his homework.	Problem w tym, że Tom nie zawsze odrabia zadania.
22120	Tom said that he wanted to speak to the manager.	Tom powiedział, że chce mówić z menedżerem.
26741	Could you show me the way?	Czy mógłbyś pokazać mi drogę?
28330	"He said, ""I'm from Canada."""	"Powiedział: ""Jestem z Kanady."""
32726	There is no wine in that bottle.	W tej butelce nie ma wina.
6324	Tom is obviously upset with Mary's behavior.	Tom jest oczywiście zdenerwowany zachowaniem Mary.
4784	I didn't get enough sleep last night.	Nie wyspałem się dzisiaj.
21846	Tom isn't used to riding a motorcycle.	Tom nie jeździ motocyklem.
27832	Tom will be home tonight.	Tom będzie w domu tej nocy.
3127	I'm not quite sure yet.	Nie do końca jestem pewna.
6021	He'll do anything for money.	On zrobi wszystko dla pieniędzy.
42867	I'd rather go today than tomorrow.	Wolałbym pójść dzisiaj niż jutro.
8352	The sun sank below the horizon.	Słońce zaszło za horyzont.
34959	I want you to not go to Boston with Tom.	Chcę, żebyś nie jechał z Tomem do Bostonu.
44255	Strictly speaking, the tomato is a fruit.	Ściśle mówiąc, pomidor jest owocem.
15770	Tom doesn't want to work here.	Tom nie chce tutaj pracować.
35567	She wanted to get away from everyday life.	Chciała uciec od życia codziennego.
2240	I can't stand to watch you.	Nie mogę na to patrzeć.
5355	I actually enjoyed that.	Właściwie to mi się podobało.
17257	We haven't seen each other for such a long time.	Nie widzieliśmy się tak długo.
30159	Every year, I buy new notebooks for school.	Co roku kupuję nowe zeszyty do szkoły.
35324	How may I help you today, sir?	W czym mogę Panu dzisiaj pomóc?
31594	I need to clean up a bit here.	Muszę tu trochę posprzątać.
4047	You don't need one now.	Teraz tego nie potrzebujesz.
8460	I know who they are.	Wiem, kim są.
27119	She read the poem aloud.	Przeczytała wiersz na głos.
32304	You're making a big fuss about nothing.	Robisz wielki hałas o nic.
14738	What were you doing that moment?	Co robiliście w tamtej chwili?
21627	He speaks as if he knew everything.	Mówi tak, jakby wiedział wszystko.
14758	Please mail this letter for me.	Wyślij ten list, proszę.
42139	I wouldn't mind a drink.	Nie miałbym nic przeciwko wypiciu drinka.
13987	Those clocks got broken.	Te zegary zepsuły się.
33567	Did you hear all that?	Czy słyszeliście to wszystko?
11999	I will badly miss you if you leave Japan.	Będzie mi cię brakowało, jeśli wyjedziesz z Japonii.
34275	Several men are fishing from the riverbank.	Na brzegu rzeki kilka osób łowi ryby.
20100	It seemed like you weren't interested.	Wyglądałeś, jakbyś nie był zainteresowany.
31908	Are things OK with you?	Czy wszystko jest z tobą w porządku?
28751	How much money did Tom give you?	Ile pieniędzy dał ci Tomek?
20497	This is the first time I've heard that word.	Pierwszy raz słyszę to słowo.
43080	Do you think I'm too old to go back to school?	Myślisz, że jestem za stary, żeby wracać do nauki?
19248	He is already here.	On już tu jest.
4870	Tom removed the key from the door.	Tom wyjął klucz z drzwi.
37155	"""That's a huge shrimp,"" said Tom."	„To ogromna krewetka”, powiedział Tom.
43020	Tom hopes that Mary will like the present he bought for her.	Tom ma nadzieję, że Mary spodoba się prezent, który dla niej kupił.
39851	You should go home. It's getting late.	Powinieneś iść do domu. Robi się późno.
6283	Can I eat my lunch here?	Czy mogę zjeść tu obiad?
25607	I used to take a walk every morning.	Miałem w zwyczaju iść na spacer każdego ranka.
22824	I think we should use our time a bit more constructively.	Myślę, że powinniśmy nieco konstruktywniej wykorzystywać czas.
44346	I figured I might find you here.	Pomyślałem, że mogę cię tu znaleźć.
22686	We've known each other for three years.	Znamy się od trzech lat.
42876	I know Tom misses you.	Wiem, że Tom za tobą tęskni.
5276	I hate these words.	Nie znoszę tych słów.
25699	It is terrible weather today.	Dzisiaj jest fatalna pogoda.
1873	Have you decided already?	Czy zdecydowałeś się już?
15202	The bad thing about inferiority complexes is that the wrong people have them.	Najgorsze w kompleksie niższości jest to, że mają go nie ci ludzie, którzy powinni.
40069	It's very easy to sound natural in your own native language, and very easy to sound unnatural in your non-native language.	Jest bardzo łatwo brzmieć naturalnie w swoim ojczystym języku i bardzo łatwo brzmieć nienaturalnie w obcym.
43804	We hoped he would come and help us at once.	Mieliśmy nadzieję, że natychmiast przyjdzie i nam pomoże.
30694	There's a good chance that taxes will increase.	Jest spore prawdopodobieństwo, że podatki zostaną podniesione.
16960	He shrank back in the face of danger.	Cofnął się w obliczu niebezpieczeństwa.
25163	OK, Tom, let's cut to the chase.	Dobra Tom, przejdźmy do rzeczy.
18477	Tom handed Mary a beer.	Tom podał Mary piwo.
22662	It is too warm for me.	Jest dla mnie za ciepło.
15955	I'll try to get everything we need.	Postaram się zdobyć wszystko czego potrzebujemy.
15957	We both have the same name.	Oboje mamy to samo imię.
10158	She takes cooking lessons once a week.	Raz w tygodniu chodzi na lekcje gotowania.
10195	Do you see what I'm getting at?	Widzisz do czego dążę?
16498	You could've told me the truth.	Mogłeś był powiedzieć mi prawdę.
42384	Have you met her before?	Czy już ją wcześniej spotkałeś?
42944	He's just gone on leave.	Zwyczajnie poszedł na przepustkę.
30600	Tom dressed like a girl for Halloween.	Tom przebrał się na Halloween za dziewczynę.
10439	I forgot to attach a stamp to the envelope.	Zapomniałem nakleić znaczek na kopertę.
22775	It was dark, so Tom had trouble reading the street sign.	Było ciemno, więc Tom miał problem z odczytaniem znaku drogowego.
38552	I'm not used to making speeches in public.	Nie jestem przyzwyczajona do wystąpień publicznych.
10532	I'm really in love with you.	Jestem w tobie naprawdę zakochany.
42692	Tom won't tell Mary anything.	Tom nic nie powie Mary.
38896	My grades are above average.	Moje stopnie są powyżej średniej.
39893	Go and see for yourself what has happened.	Idź i sam zobacz, co się wydarzyło.
32491	I'd like you to drive.	Chciałbym, żebyś prowadził.
8455	I don't need a car that big.	Nie potrzebuję samochodu tej wielkości.
11645	Why is he here?	Czemu on tu jest?
28456	This book is missing two pages.	W książce brakuje dwóch stron.
6660	Earthquakes frequently hit Japan.	Trzęsienia ziemi często są w Japonii.
15720	Are you sure you don't want me to buy you something at the supermarket?	Na pewno nie chcesz, żebym ci coś kupił w supermarkecie?
23809	Sooner or later, we'll do it.	Prędzej czy później to zrobimy.
41966	Hi! How are you?	Cześć! Jak się masz?
32532	I want to sleep.	Chce mi się spać.
6431	I put on my cap to go out.	Założyłem czapkę przed wyjściem.
41202	May I eat this orange?	Czy mogę zjeść tą pomarańczę?
45199	Does the room have air conditioning?	Czy pokój ma klimatyzację?
28137	If you wish, you can go.	Jeśli chcesz, możesz iść.
10917	I never got a chance to congratulate you.	Nie miałam szansy ci pogratulować.
27095	After all, he's your boss.	Mimo wszystko, jest twoim szefem.
26628	Birds are natural enemies of insects.	Ptaki są naturalnymi wrogami owadów.
45494	This man is dead.	Ten człowiek jest martwy.
731	I really didn't understand it.	Naprawdę tego nie rozumiałam.
37770	Tom isn't married yet.	Tom jeszcze się nie ożenił.
28912	My family isn't rich.	Moja rodzina nie jest bogata.
21495	All in all, I enjoyed the lecture.	Wykład był w sumie fajny.
25434	What is in the garden?	Co jest w ogrodzie?
5226	Tom says he didn't know Mary wouldn't pass her French test.	Tom mówi, że nie wiedział, że Mary nie zda testu z francuskiego.
3663	I lent my friend some money.	Pożyczyłem przyjacielowi trochę pieniędzy.
8196	You should concentrate on one thing and learn to do it well.	Skup się na jednej rzeczy i naucz się jej najlepiej.
3858	He looked pretty tired.	Wyglądał na dość zmęczonego.
24563	I can't do it alone.	Nie umiem zrobić tego samemu.
9814	I was hurt by many people.	Wiele osób sprawiło mi przykrość.
10713	The interview was videotaped.	Rozmowa kwalifikacyjna była nagrana na wideo.
30972	I have the same trouble as you have.	Mam ten sam problem co ty.
3145	Tom has to wait another three hours.	Tom musi czekać kolejne trzy godziny.
4315	Tom said he wanted to tell you how to do that, but Mary told him not to.	Tom stwierdził, że chciał ci powiedzieć jak to zrobić, ale Mary powiedziała mu, żeby tego nie robił.
2235	Do you want to be an actor in a movie?	Chcesz zagrać w filmie?
40257	To my surprise, the anthropologist was accused of murder.	Ku mojemu zaskoczeniu antropolog został oskarżony o zabójstwo.
16359	He was too tired to study.	Był zbyt zmęczony, aby się uczyć.
20386	Let's play tennis this afternoon.	Zagrajmy w tenisa dziś po południu.
12627	I've done that and I'm sure I'll do it again.	Już to robiłem i jestem pewny, że zrobię to znowu.
30256	Tom usually watches CNN while he's eating dinner.	Tom zwykle ogląda CNN, gdy je kolację.
17501	We saw smoke in the distance.	Zobaczyliśmy w oddali dym.
41314	I've decided to go back to Boston next Monday.	Zdecydowałem, że wrócę do Bostonu w przyszły poniedziałek.
21434	I hate his parents.	Nie znoszę jego rodziców.
16216	Most people think that it's OK to eat meat.	Większość ludzi uważa, że można jeść mięso.
30353	Tom couldn't see what was going on.	Tom nie był w stanie zobzaczyć co się działo.
19291	I doubt anyone said that.	Wątpię, żeby ktokolwiek to powiedział.
22738	I would act differently in your place.	Na twoim miejscu postąpiłbym inaczej.
22813	Tom didn't look very well.	Tom nie wyglądał zbyt dobrze.
88	I'm dying to see you.	Bardzo bym chciał się z tobą zobaczyć.
26473	I thought that he had already finished the work.	Myślałem, że już skończył swoją pracę.
27909	There was no taxi, so I had to walk home.	Nie było taksówek, więc musiałem wracać do domu pieszo.
4899	Tom doesn't know where his umbrella is.	Tom nie wie gdzie jest jego parasol.
44509	When did man start to use tools?	Kiedy człowiek zaczął używać narzędzi?
14160	I must live with the consequences of the choices I've made.	Muszę żyć z konsekwencjami wyborów, których dokonałem.
26617	Tom couldn't have done it.	Tom nie mógł tego zrobić.
34345	I don't want to get in the way.	Nie chcę się wtrącać.
43219	How can I get to heaven?	Jak się dostać do nieba?
35052	Tom put the children to bed.	Tom położył dzieci do łóżka.
9497	Tom may not be the only one who doesn't know Mary.	Tom może nie być jedynym, który nie zna Mary.
44801	Another nurse came into the room.	Kolejna pielęgniarka weszła do pokoju.
25950	There are many islands in Greece.	W Grecji jest dużo wysp.
9349	I returned the book to its shelf.	Odłożyłem książkę na swoją półkę.
26249	Can I see you tonight?	Możemy zobaczyć się dziś wieczorem?
32290	Tom said you were almost killed.	Tom powiedział, że prawie cię zabito.
15279	Is it a boy or a girl?	To chłopiec czy dziewczynka?
222	Tom probably doesn't know how much time Mary will have to do that.	Tom prawdopodobnie nie wie, jak dużo czasu Mary będzie miała na zrobienie tego.
23983	I still can't figure out how it happened.	Nadal nie mogę zrozumieć, jak to się stało.
46411	Tom turned down our offer.	Tom odrzucił naszą ofertę.
16479	I'm crazy about football.	Mam bzika na punkcie piłki nożnej.
36595	We need to buy candles for Tom's birthday cake.	Musimy kupić świeczki na tort urodzinowy Toma.
40699	He speaks as if he were an American.	Mówi, jakby był Amerykaninem.
13611	What do you call this vegetable in English?	Jak się nazywa to warzywo po angielsku?
32481	They have something to do with the scandal.	Mają coś do zrobienia w związku ze skandalem.
43776	Tom is convinced that his mother doesn't want to eat now.	Tom jest przekonany, że jego matka nie chce teraz jeść.
21668	I got up earlier than usual to catch the first train.	Żeby zdążyć na pierwszy pociąg, wstałem dziś rano wcześniej niż zazwyczaj.
45737	Tom didn't need to paint the fence. They tore it down a week after he painted it.	Tom nie musiał malować płotu. Zburzyli go tydzień po tym, jak go pomalował.
3751	I won't tolerate that.	Nie będę tego tolerować.
991	Don't you just love it?	Piękny widok, co?
17134	The text is too long.	Tekst jest zbyt długi.
1270	Are you here to help me?	Czy jesteś tutaj, aby mi pomóc?
16784	I know Tom doesn't know why Mary needs to do that.	Wiem, że Tom nie wie, dlaczego Mary musi to zrobić.
42249	You'd regret that, I think.	Będziesz tego żałował, tak myślę.
42538	What do I get in return?	Co dostanę w zamian?
18288	I came back to talk to you.	Wróciłem, żeby pogadać z tobą.
30534	You can't judge a book by its cover.	Nie oceniaj książki po okładce.
33811	It's considered to be an important matter.	Uważa się, ze to ważna sprawa.
5774	You can do it, can't you?	Możesz to zrobić, prawda?
23573	What were you doing then?	Co pan wtedy robił?
28625	I do a lot of work on the school newspaper.	Wykonuję sporo pracy w szkolnej gazetce.
38100	He is unpopular for some reason.	Z jakiegoś powodu jest nielubiany.
23072	It's for you to decide.	Decyzja należy do ciebie.
44567	She was careful not to break the glasses.	Uważała, żeby nie rozbić okularów.
1311	Tom wouldn't remember me.	Tom mnie nie kojarzy.
38857	We want to attend tonight's concert.	Chcemy uczestniczyć w wieczornym koncercie.
26889	I don't really think there'll be any trouble.	Nie wydaje mi się by miały być jakieś problemy.
18579	There'll always be someone who'll need our protection.	Zawsze znajdzie się ktoś, kto będzie potrzebował naszej ochrony.
721	I can't stand this pain any more.	Nie mogę znieść tego bólu.
30864	Some did not know how to fight.	Niektórzy nie wiedzieli, jak walczyć.
7240	That no longer matters.	To już bez znaczenia.
3189	I just like helping out.	Po prostu lubię pomagać.
1413	I must go to work early today.	Muszę dzisiaj iść wcześniej do pracy.
40532	I like the way you look.	Ładnie wyglądasz, podoba mi się.
40247	Tom didn't understand me.	Tom mnie nie zrozumiał.
