	eng	hun
86813	I, too, am a teacher.	Én is tanár vagyok.
80821	What a beautiful day!	Milyen szép napunk van!
31525	I don't go to Australia anymore.	Többé nem megyek Ausztráliába.
42436	There are still some things we need to do.	Van még néhány dolog, amit meg kell csinálnunk.
37267	I let you win.	Hagyom én, hogy ti győzzetek.
57081	I can hear Tom snoring in the next room.	Hallom, ahogy Tom a másik szobában horkol.
30092	Let's meet again soon.	Találkozzunk megint valamikor mostanában.
54563	Tom'll find out.	Tamás rá fog jönni.
99680	Tom generally makes good decisions based on a realistic appraisal of the situation he's faced with.	Tom általában reális értékelésen alapuló helyes döntést szokott hozni a helyzetről, amellyel szembesül.
58637	Neither of those books is interesting.	A közül a két könyv közül semelyik sem érdekes.
47497	Get off your soapbox.	Fejezd be a szónoklatot!
15925	How did you get my number?	Honnan van meg a számom?
57079	Tom will land in Boston in an hour and a half.	Tom másfél óra alatt Bostonban fog landolni.
21236	Tom is a quiet boy.	Szótlan srác a Tomi.
88321	Why do you need another bicycle?	Miért kell egy másik kerékpár?
71620	I missed the first thirty minutes of the movie.	Kihagytam a film első harminc percét.
19896	Come here and help me.	Gyere ide és segíts nekem.
83691	You're more than welcome to pop in whenever you like.	Bármikor beugorhatsz hozzánk, szívesen látunk.
36910	Why do you need another bicycle?	Miért van szükséged még egy kerékpárra?
75111	He won the race easily.	Könnyedén megnyerte a versenyt.
10463	Won't you turn on the light?	Nem kapcsolnád le a lámpát?
40011	It really stinks in here.	Nagyon büdös van itt.
64488	You should return all the library books before the end of the year.	Minden könyvtári könyvet vissza kell vinni év végéig.
90771	I put three teaspoons of sugar in your tea.	Három teáskanál cukrot tettem a teádba.
97422	I thought going out to eat together would cheer you up.	Gondoltam, ha elmennénk valahova enni, az felvidítana.
98230	You're nothing but trouble.	Veled csak baj van.
106374	That's not a real problem.	Ez nem igazi probléma.
86123	I really like being alone.	Tényleg szeretek egyedül lenni.
77192	Tom is normally really quiet.	Tom általában igen nyugodt.
96903	I don't even know what that is.	Azt sem tudom, hogy mi az.
59954	That's the right attitude.	Ez a megfelelő viselkedés.
47188	I find her very pretty.	Nagyon csinosnak tartom őt.
46967	I have mixed feelings about this.	Vegyes érzéseim vannak ezzel kapcsolatban.
94498	Tell us what you saw.	Mondd el nekünk, mit láttál!
69420	He arrived as soon as he could.	Jött, amint tudott.
13880	Wouldn't you like to go with us?	Nem szeretnél velünk menni?
49151	Open the window, please.	Kérem, nyissa ki az ablakot.
46085	There is a flower on the table.	Van egy virág az asztalon.
403	Turtles don't have teeth.	A teknősbékának nincs foga.
2852	I'll be going to Boston with you.	El fogok menni veled Bostonba.
41964	When Tom is at home, he doesn't want to talk about work.	Ha Tom otthon van, nem akar munkáról beszélni.
95543	I want to live in a castle.	Egy várban élnék szívesen.
6385	Tom had to resign.	Tomnak le kellett mondania.
103045	Tom doesn't know I'm Canadian.	Tom nem tudja, hogy kanadai vagyok.
9785	What payment options are available?	Milyen fizetési lehetőségek állnak rendelkezésre?
13991	Tom is living in an apartment.	Tom egy szállóban lakik.
24706	Don't put anything on the box.	Ne tegyen semmit a dobozra!
5034	I'm no different from any other father.	Én is egy vagyok az apák közül.
18466	Tom deserved what he got.	Tom megérdemelte, amit kapott.
898	The smell was horrible.	A szag szörnyű volt.
46204	You need a new bicycle?	Új bicóra van szükséged?
98205	What should I do next?	Mi legyen a következő lépés?
7610	Please be honest with me.	Kérlek, légy őszinte velem.
45012	Our forces occupied the city.	Csapataink bevették a várost.
7499	It seems a long way from here to town.	Úgy tűnik, még hosszú az út innen a városig.
12855	How about a beer?	Lenne kedved egy sörhöz?
97077	I know you can do this.	Tudom, hogy ezt meg tudod tenni.
83684	Come home before it gets dark.	Sötétedés előtt gyere haza.
75523	I think this isn't going to be enough.	Szerintem ez nem lesz elég.
70810	Atlantis sank into the sea.	Atlantisz elsüllyedt a tengerbe.
71567	Most of the passengers were Canadians.	A legtöbb utas kanadai volt.
54079	Tom didn't give me a chance to explain what I meant.	Tom esélyt sem adott, hogy elmagyarázzam, mire gondolok.
105907	We go back to Boston next week.	Jövő héten utazunk vissza Bostonba.
13927	There's a sparrow on the windowsill.	Egy veréb van az ablakpárkányon!
20978	I can protect Tom.	Meg tudom védeni Tomit.
47771	The dog was so clever that he seemed almost human.	A kutya olyan ügyes volt, hogy embernek lehetett volna hinni.
104896	She waited for hours and hours.	Hosszú órákon át várt.
55304	The roof was damaged by the storm.	A tetőt a vihar rongálta meg.
102824	He lives across the street.	Keresztbe az útnál lakik.
11650	Tom was a single dad.	Tom egyedülálló apa volt.
77182	Tom went to visit Mary in the hospital.	Tamás elment Máriát meglátogatni a kórházban.
78237	Tom will find another lawyer for you.	Tom majd keres neked egy másik ügyvédet.
22867	Make me some coffee.	Csinálj nekem egy kis kávét!
111652	The cement was still wet.	A cement még mindig nedves volt.
78327	Graham Greene is one of my favorite authors.	Graham Greene az egyik kedvenc szerzőm.
108045	Teenagers are often embarrassed to be seen in public with their parents.	A tinik gyakran szégyellik, ha nyilvánosan mutatkoznak a szüleikkel.
87623	There are both freshwater and saltwater mussels.	Megkülönböztetünk édesvízi- és tengeri kagylókat.
59128	It isn't their fault.	Ez nem az ő hibájuk.
1163	I asked you not to come here.	Megkértem önöket, hogy ne jöjjenek ide.
84908	Would you mind my opening the window?	Megengedné, hogy kinyissam az ablakot?
76840	Where's my computer?	Hol van a számítógépem?
6165	I have heard that song sung in French.	Már hallottam ezt a dalt franciául énekelve.
37671	Surely there was some mistake.	Bizonyára csak valami félreértés volt.
52060	This'll be our secret.	Ez a mi titkunk lesz.
46647	At least I'll die happy.	Legalább boldogan fogok meghalni.
103406	I don't want you doing that.	Nem akarom, hogy azt tedd.
6995	Tom is having a bad day.	Tamásnak rossz napja van.
4249	He got more than he bargained for.	Többet kapott, mint amennyiben megállapodtak.
27306	I deserve to know the truth.	Megérdemlem, hogy tudjam az igazat.
33069	Why did you buy this bicycle?	Ti ezt a kerékpárt miért vettétek meg?
39411	Why don't you help Tom?	Miért nem segítesz Tamásnak?
24594	This no longer matters.	Ennek már nincs jelentősége.
34802	They died while waiting to be rescued.	Meghaltak, miközben arra vártak, hogy kimentsék őket.
8844	I have no place to stay.	Nincs hol meghúznom magam.
83588	For some reason the microphone didn't work earlier.	Valamiért nem működött a mikrofon.
56091	Tom put on a silly party hat.	Tom felvett egy bolondos party kalapot.
12969	I knew you'd come back.	Tudtam, hogy vissza fogsz jönni.
79488	What else will you need?	Mi más kell még neked?
44720	We yawn when we are short of oxygen.	Ásítunk, ha oxigénhiányban szenvedünk.
106034	Don't leave them alone.	Ne hagyd őket magukra!
50466	Tom sat on a stool in the corner.	Tom egy hokedlin ült a sarokban.
50432	I'm not really that thirsty.	Nem igazán vagyok szomjas.
97603	Mary was pleasantly surprised, when she got home from work, to find that Tom had already prepared the evening meal.	Mary kellemesen meglepődött, amikor hazaért a munkából, hogy Tom már elkészítette a vacsorát.
5330	I know who you all are.	Tudom, kik vagytok.
109930	Do you know the name of this flower?	Tudod, hogy mi a neve ennek a virágnak?
12080	Nobody offered Tom a seat.	Senki nem kínálta hellyel Tomot.
38206	I have to go on a diet to lose weight.	Diétáznom kell, hogy fogyjak.
68548	It must be past midnight.	Éjfélnek már el kellett múlnia.
45583	Nothing seemed to be working.	Semmi nem tűnik működőképesnek.
100812	I just can't work out what makes Tom tick.	Egyszerűen nem tudom megfejteni, hogy mi Tom mozgatórugója.
102745	We can meet next week if you want.	Találkozhatunk jövő héten, ha akarod.
99043	The world is a crazy place.	A világ egy eszméletlen hely.
24581	Tom always makes me laugh.	Tamás mindig megnevettet engem.
87233	Tell the teacher your name.	Mondd meg a tanárnak a nevedet!
81606	Let's try to find a way to help Tom.	Próbáljuk meg kitalálni, hogyan segítsünk Tomnak.
65835	That was a huge breakthrough.	Ez óriási áttörés volt.
92762	No one can resist Tom's charm.	Tom bájának senki sem tud ellenállni.
101220	They've been at it for hours.	Órák óta ezzel foglalatoskodnak.
37313	Hey, don't run in the hallway.	Hékás, ne rohangálj a folyosón!
27784	Do you know anything about complex carbohydrates?	Tudsz valamit az összetett szénhidrátokról?
43225	Tom warmed up a can of ravioli for dinner.	Tom felmelegített egy ravioli konzervet vacsorára.
67882	Tom's name isn't on the list.	Tom neve nincs a listán.
91204	Tom will be coming back Monday.	Tom hétfőn fog visszajönni.
74797	Tom listened to an audiobook.	Tom egy hangoskönyvet hallgatott.
73542	We were all so thirsty.	Mindannyian nagyon szomjasak voltunk.
32707	Tom wasn't leaving.	Tom nem ment el.
86877	I wrote a letter to my teacher.	Írtam egy levelet a tanáromnak.
21021	This gift is for my friend.	Ez egy ajándék a barátom részére.
76851	Tom and Mary never spoke again.	Tamás és Mari nem beszéltek többé.
1267	Tom said that he felt homesick.	Tamás mondta, hogy honvágya van.
73525	Have you finished your homework yet?	Befejezted-e már a házifeladatot?
101995	About dinner time, Rev. King was on the balcony outside his room.	Körülbelül vacsoraidőben King tiszteletes kint volt a szobája erkélyén.
15519	Tom needs to see me right away.	Tomnak most azonnal látnia kell engem.
21393	The South Pole is a lot colder than the North Pole.	A Déli-Sark sokkal hidegebb, mint az Északi-Sark.
29677	Even poisonous snakes will only attack if they feel threatened.	Még a mérges kígyók is csak akkor támadnak, ha fenyegetve érzik magukat.
9	The worst is already behind us.	A legrosszabbat már letudtuk.
79975	I'm very satisfied with your results.	Nagyon meg vagyok elégedve az eredményeiddel.
76671	I will go there even if it rains.	Odamegyek, még akkor is, ha esik.
71171	I need your answer by the end of the day.	Ma estére szükségem van a válaszodra.
4034	I've left my charger at home.	Otthon hagytam a töltőm.
109097	Why don't you just come clean and tell the truth?	Miért nem tisztázod magad és mondod el az igazat?
42839	I will stay home tomorrow.	Holnap otthon fogok maradni.
35804	Tom has said some really mean things to me.	Tom mondott nekem néhány nagyon undok dolgot.
8832	I'm proud to be your father.	Büszke vagyok, hogy apád lehetek.
109666	I don't like the way you look.	Nem szeretem, ahogy nézel.
69248	I didn't express myself well.	Nem fejeztem ki magamat jól.
91962	Is your car black?	Fekete a te gépjárműd?
106267	Tests start next week.	Az írásbelik a következő héten kezdődnek.
52612	Most Japanese eat rice every day.	A legtöbb japán mindennap eszik rizst.
57462	What do you usually wear to work?	Általában a munkában mit viselsz?
32229	Where's your notebook?	Hol van a noteszed?
57174	Tom worked in a factory.	Tom egy gyárban dolgozott.
31812	I'll buy a watch for my son.	Veszek egy karórát a fiamnak.
44813	Tom always wears blue shirts.	Tom mindig kék inget visel.
10356	Those roses aren't as beautiful as these.	Azok a rózsák nem olyan szépek, mint ezek.
5837	Why is this cabinet locked?	Miért van ez a szekrény bezárva?
87382	It's a good question.	Ez egy jó kérdés.
52679	No one I know wears a tie anymore.	Senki, akit ismerek, nem visel többé nyakkendőt.
43754	I stayed at home because I was sick.	Otthon maradtam, mert beteg voltam.
6697	I do work related to computers.	Számítógéppel kapcsolatos munkát végzek.
32041	Tell Tom the air conditioner needs to be repaired.	Szóljon Tomnak, hogy a légkondicionálót meg kell javítani.
85320	You don't realize how lucky you are.	Fel sem fogod, mennyire szerencsés vagy.
101288	Tom thought that Mary was having money problems.	Tamás azt gondolta, hogy Máriának anyagi problémái vannak.
97681	I don't know where we are.	Nem tudom, hol vagyunk.
66468	The doctor told Tom that he should drink more water.	Az orvos azt tanácsolta Tominak, hogy igyon több vizet.
67459	You are fortunate to have such loving parents.	Szerencsés vagy, hogy ilyen szerető szüleid vannak.
83556	Let's see if it happens.	Figyeld csak meg, hogy az történik!
8462	When was the last time you used a toll road?	Legutoljára mikor vettél igénybe fizetős utat?
69035	Tom lives in a house without running water.	Tom egy házban él, vezetékes víz nélkül.
71829	You're too late. Everything's been sold.	Későn jöttél. Minden el lett adva.
58812	Tom never forgets anything.	Tom soha nem felejt el semmit.
61189	I'm trying to work out this problem.	Próbálom megoldani ezt a problémát.
81239	Drop by my office any time.	Térj be az irodámba bármikor!
68836	Lots of people make that mistake.	Sok ember elköveti azt a hibát.
5381	Is the museum open today?	Nyitva van ma a múzeum?
30506	He breathed deeply before entering his boss's office.	Vett egy mély lélegzetet, mielőtt belépett főnöke irodájába.
17867	Have you ever seen me doing that?	Láttál már te engem, hogy én ezt csinálom?
93099	It's Tom's job to keep them from doing that.	Béla feladata, hogy figyeljen rá, ne csinálják azt.
52874	I'm here to apologize.	Azért vagyok itt, hogy bocsánatot kérjek.
105876	Tom said he didn't have enough time to make his own lunch.	Tom azt mondta, nincs elég ideje, hogy ebédet főzzön magának.
66548	I'll be here all afternoon.	A délután folyamán itt vagyok.
110280	I hope all but one of your dreams come true, so you always have something to strive for.	Azt remélem, hogy egy kivételével minden álmod valóra válik, így mindig lesz valami, amit megvalósíthatsz.
21084	My best friend always gives me good advice.	A legjobb barátom mindig jó tanácsot ad nekem.
13873	Why don't you tell us a story?	Mondj el nekünk egy történetet.
67251	If I don't do it now, I never will.	Ha most nem teszem meg, akkor soha.
101341	I'm coming to help you.	Jövök, hogy segítsek neked.
96464	I'll be there as soon as I can get there.	Ott leszek, amint csak tudok.
44741	I'm glad that we got rid of Tom.	Örülök, hogy megszabadultunk Tomtól.
72904	That knife came in very handy, didn't it?	Az a kés nagyon jól jött, ugye?
548	I'm in the building now.	Bent vagyok most az épületben.
26610	She came to Tokyo when she was eighteen years old.	Tizennyolc éves korában jött Tokióba.
22933	This room is large enough.	Ez a szoba elég nagy.
8797	I don't want to talk about my child.	Nem szeretnék a gyerekemről beszélni.
62712	There was a striking resemblance between them.	Feltűnő hasonlóság volt köztük.
39317	Where can I wash my hands?	Hol tudok kezet mosni?
106249	My doctor told me that I should swim at least three times a week.	Azt mondta az orvosom, hetente legalább háromszor kellene úsznom.
10551	Listen to me carefully.	Most nyisd ki jól a füleidet!
24802	Would you please open the window?	Kinyitnád, kérlek, az ablakot?
99341	I already know what I'm going to do.	Tudom már, mit fogok most tenni.
101644	Tom is sleeping in his chair.	Tom a székében alszik.
76545	What reason could I possibly have to lie to you?	Mi okom lehetne arra, hogy hazudjak neked?
16948	Tom wants to learn how to create a website.	Tom meg akarja tanulni, hogyan kell egy weboldalt létrehozni.
82232	The stewardess asked if there was a doctor on the flight.	A stewardess megkérdezte, hogy van-e orvos az utasok között.
51137	I'm not leaving until you tell me where I can find Tom.	Nem megyek el amíg nem mondod meg, hogy hol találom Tomot.
97258	Tom wants to find a less stressful job.	Tom egy kevésbé stresszes munkát akar találni.
85268	We made quite a team.	Egészen jó csapatot alkottunk.
