	eng	ara
1202	Were you sober at that time?	هل كنت صاحٍ في ذلك الوقت؟
6763	The railroad workers are going on strike tomorrow.	عمال السكك الحديدية سيضربون عن العمل غداً.
10248	She always forgets my telephone number.	هي دائما ما تنسى رقم هاتفي.
6730	I remember seeing her once on the street.	أذكر أني لمحتها مرة على الطريق.
4855	They were not invited.	إنهم لم يكونوا مدعويين.
1236	I never could say no to you.	انني لن اقول لك لا مطلقا
1703	We're sorry but this video is no longer available.	نأسف, ولكن هذا الفيديو ليس متاحاً.
745	You shouldn't have come here.	لم يكن عليك المجيء هنا.
9025	What kind of sandwich do you want?	أي نوع من الشطائر تريد؟
9380	I dipped my finger into the honey.	غمست اصبعي في العسل.
11156	There are sixty seconds in a minute.	هناك ستون ثانية في الدقيقة.
6899	This isn't a time for celebration.	هذا ليس وقت الإحتفال.
7968	I have the ace of hearts.	انا املك الآس قلوب.
10335	What's wrong with what we did?	ما المشكلة فيما قمنا به؟
2311	There's no reason that Tom would say something like that.	لا سبب يدفع توم لقول شيء كهذا.
11134	I'm likely to forget to do that.	أرجّح أنّي سأنسى ذلك.
11745	That was years ago.	كان ذلك منذ عدة سنين.
9443	Thanks to the bad weather, the game was canceled.	أُلغيت المباراة بسبب تغير الجو.
2693	Tom didn't know how to express his thanks in French.	توم لم يكن يعلم كيفية الشكر بالفرنسية.
7061	I think I mistakenly sent that email to Tom.	أنا أعتقد أني بطريق الخطأ أرسلت البريد الإلكتروني إلى توم.
9536	What a terrible mistake!	يا له من خطأ فادح!
6086	I love trying new things.	أُحب تجربة أشياء جديدة.
11305	Tom swims very fast.	سباحة توم سريعة جداً.
3328	Now that I'm retired, I can travel as much as I want to.	الآن وبعد أن تقاعدت، أستطيع السفر كلما شئت.
6930	What season do you like the best?	أي فصل من فصول السنة تحب أكثر؟
346	I remember hearing a very similar story to that.	أذكر أني سمعت قصة مشابهة.
1055	Is English harder than Japanese?	هل اللغة الإنجليزية أصعب من اليابانية؟
10430	The hard work begins now.	العمل الصعب يبدأ الآن.
9181	Tom bought each of his children a yellow umbrella.	توم اشترى لكل واحد من أبنائه مظلة صفراء.
11666	He was known to the English as King Philip.	عرفه الإنجليز باسم الملك فيليب.
6145	Parents need to encourage their children to read.	على الوالدين تشجيع أبناءهم على القراءة.
3935	You can't do two things at once.	لا يمكنك أن تفعل شيئين في الوقت ذاته.
7820	If it's possible, I'd like to exchange this for a larger size.	إذا سمحت، أريد إبدال هذا بمقاس أكبر.
11300	What do I have to do now that I'm registered?	ماذا أفعل الآن بعد أن أصبحت عضواً؟
1862	They fell one after another.	وقعوا واحداً تلو الآخر.
8613	Tom once worked as a tour guide.	عمل توم ذات مرة كمرشد سياحي .
5091	I'll stay there till six o'clock.	سأبقى هناك حتى الساعة السادسة.
9524	Can I speak to the person in charge?	هل لي أن أكلم المسؤول هنا؟
5893	If it rains tomorrow, will you stay at home?	هل ستبقى في المنزل إذا أمطرت غداً؟
721	I don't blame you.	أنا لا أضع اللوم عليك.
11336	She likes oranges, doesn't she?	إنها تحب البرتقال، أليس كذلك؟
8052	I want to read that book.	أريد قراءة ذلك الكتاب.
11921	He narrowly escaped death.	نجا من الموت بأعجوبة.
565	Let's not watch TV.	دعنا لا نشاهد التلفاز.
3695	The female student that sat in front of the teacher is from Germany.	الطالبة التي جلست أمام المدرّسة من ألمانيا.
8248	Tom knows he can do it.	توم يعلم أنه بإمكانه فعلها.
2866	We stayed there for three months.	بقينا هناك لمدة ثلاثة شهور.
4806	Are you good at tennis?	هل أنت ماهر في لعب التنس؟
5661	There are a few apples on the tree, aren't there?	هناك القليل من التفاح على الشجرة ، أليس كذلك؟
9691	I remember seeing her once on the street.	أتذكر أني رأيتها مرة على الطريق.
6061	This is the key that opens that door.	هذا هو المفتاح الذي يفتح الباب.
2735	Maybe you should turn off the television and do something else.	لربمّا عليك إطفاء التلفاز وعمل شيء آخر.
6468	After a while, the man came into the room.	بعد لحظة، دخل الرجل الى الغرفة.
5877	May I ask some questions?	هل لي ببعض الأسئلة؟
6311	Tom wouldn't allow Mary to do that.	لم يكن توم ليسمح لماري بفعل ذلك.
11570	Do you know anyone in Australia?	أتعرف أحدًا في أستراليا؟
5132	When I told Tom that I was hungry, he said he was hungry, too.	عندما أخبرت توم بأني جائع، أخبرني بأنه جائع هو الآخر.
1259	Are you sure that Tom wasn't the one who did that?	هل أنت متأكد أنه ليس توم من فعل هذا؟
10765	I was happy for him.	كنت سعيدة من أجله.
7409	I don't have the address now.	ليس معي العنوان الآن.
1151	If you're not with us then you're against us.	إذا لم تكن في صفنا فسنعدك من أعدائنا.
10484	Watch the rear. I'll watch the front.	راقب الجزء الخلفي . ساراقب انا الجزء الامامي.
1587	When I opened the door of the refrigerator, an apple fell out.	وقعت تفاحة عندما فتحت باب الثلاجة.
6739	Their friendship moved us deeply.	أثّرتْ فينا صداقتهم بشدة.
3772	He told me not to drive too fast.	نهاني عن القيادة بسرعة.
3606	He was traveling in the Philippines this time last year.	في مثل هذا الوقت من العام الماضي، كان مسافرًا إلى الفلبين.
3566	He just wants to have fun.	إنه يريد فقط الحصول على المتعة.
10100	Is Tom really going to Boston by himself?	أحقّا سيذهب توم إلى بوسطن لوحده؟
6852	Madrid is the capital of Spain.	عاصمة أسبانيا هي مدريد.
103	Can I take a break now?	أيمكنني أخذ قسط من الراحة الآن؟
4978	Tom said that his life was in danger.	قال توم إن حياته كانت في خطر.
4107	You can ask him for help.	يمكنك أن تطلب منه أن يساعدك.
426	May I ask you something?	هل لي أن أطلب منك شيئا؟
8407	No one believed his story.	لم يصدّق أحد قصّته.
552	The hijackers moved to the rear of the plane.	تحركوا خاطفو الطائرة الى مؤخرة الطائرة .
9604	Tom's house was built in 2013.	بُنِيَ منزل توم في 2013.
5045	She spent the weekend by herself.	أمضت نهاية الأسبوع كلها لوحدها.
3362	Take this chair. It's sturdy.	خذ هذا الكرسي فهو صلب.
863	I will never forget this.	لن أنس هذا أبدا.
3847	My dream is to become a teacher.	حلمي أن أصبح معلّماً.
10817	There must be a better way to do this.	لا بدّ أنّ هناك طريقة أفضل لفعل هذا.
8447	She's way taller than me.	الفرق بيني و بينها في الطول كبير.
1829	I like playing sports.	أحب ممارسة الألعاب الرياضية.
11883	He likes to sing in the bathtub.	يعجبه أن يغني في حوض الاستحمام.
2190	Doubt everything and everyone.	شك في كل شيء وكل شخص.
1176	I don't consider Tom a friend.	لا أعتبر توم صديقا لي.
4894	I'm not going to school on Saturday.	لن أذهب للمدرسة يوم السبت.
1319	You're in better shape than I am.	أنت في حالة أفضل مما أنا عليه.
4868	Why were you late this morning?	لماذا تأخرت هذا الصباح؟
8986	Tom seems to be very popular.	توم يبدوا معروفاً للغاية.
10363	What should I do?	ما الذي عليّ فعله؟
5593	I don't remember what happened anymore.	لم أعد أتذكر ما حصل.
1915	He works at a bank.	إنه يعمل في المصرف.
9456	I don't care what your mother said.	لا يهمني ما قالتهُ والدتك.
11708	I'm very sensitive to cold. May I have another blanket?	انا حساس جدا من البرد. ممكن اعطائي بطانية أخرى
9033	I don't want to look like a tourist.	لا ارغب ان ابدو كسائح .
9821	I would like to ask a question.	أود أن أسأل سؤال.
10787	"""Will it rain tomorrow?"" ""I hope not."""	هل ستمطر غدا؟ لا أتمني ذلك
