	eng	rus
217167	My dog won't stop snoring.	Моя собака никак не перестанет храпеть.
322426	Tom hurried back to his office.	Том поспешил обратно к себе в офис.
124768	I need to be home on Monday.	Мне нужно быть дома в понедельник.
72854	Are you afraid of girls, Tom?	Ты что, боишься девушек, Том?
91663	Why are you ignoring me?	Почему вы не обращаете на меня внимания?
41004	We're not going with you.	Мы с вами не едем.
29294	Please don't leave without us.	Не уходите без нас, пожалуйста.
27796	They can't have gone far.	Они не могли далеко уйти.
322700	What do you think of that?	Что вы об этом думаете?
125787	I don't drink white wine very often.	Я не так часто пью белое вино.
124374	Tom threw all the letters away.	Том выбросил все письма.
277066	I don't believe him any longer.	Я больше ему не верю.
240899	Tom is never going to forgive me.	Том никогда не простит меня.
191658	There's someone in your room.	У вас в комнате кто-то есть.
206071	I want to tell the truth.	Я хочу сказать правду.
231228	We didn't kill Tom.	Мы не убивали Тома.
86219	Is that not clear?	Неужели это не ясно?
309849	Tom isn't going to let you drive.	Том не пустит Вас за руль.
348068	He's found a new love.	Он нашёл новую любовь.
305275	You've got to be joking.	Вы, должно быть, шутите.
214886	I have a feeling that we may win.	У меня чувство, что мы можем победить.
107228	Don't tell anyone we've done this.	Никому не говорите, что мы сделали это.
205981	I am still alone.	Я всё еще одинока.
29468	This medicine may cure him.	Возможно, это лекарство его вылечит.
277642	Like I said, it may take a while.	Как я и говорил, это может занять какое-то время.
317874	Do you think that I'm not trying?	Ты думаешь, я не пытаюсь?
199471	Too much salt will kill the flavor.	Слишком много соли весь вкус погубит.
329026	This is the tallest tower in Japan.	Это самая высокая башня в Японии.
312442	Tom should ask for a refund.	Тому следует попросить, чтобы ему вернули деньги.
3161	Tom really wants to lose weight.	Том очень хочет похудеть.
109393	Sometimes I run out of money.	Иногда я остаюсь без денег.
51023	You left the refrigerator open.	Ты не закрыл холодильник.
77704	Does Tom speak French, too?	Том тоже говорит по-французски?
347991	Tom really needed to go yesterday.	Тому действительно нужно было вчера поехать.
337600	Are you sure this is Tom's house?	Ты уверен, что это дом Тома?
343772	Tom didn't thank Mary sufficiently.	Том недостаточно отблагодарил Мэри.
244345	Can I give you this?	Я могу дать тебе это?
44418	What do you call that?	Как ты это называешь?
293572	Tom has to go home now.	Том должен идти домой сейчас.
184852	Tom went with Mary.	Том поехал с Мэри.
232760	More women than men commit perjury.	В суде женщины лжесвидетельствуют чаще мужчин.
100393	It just started to rain.	Только что пошёл дождь.
154560	Tom didn't want to disappoint Mary.	Том не хотел разочаровывать Мэри.
261959	Don't tell me what I already know.	Не рассказывай мне того, что я и так знаю.
21570	You love them, don't you?	Вы ведь их любите?
287658	We'll be home soon.	Мы скоро будем дома.
141203	Repeat each sentence after me.	Повторяйте за мной каждое предложение.
284873	I like my life the way it is now.	Мне нравится моя жизнь такой, какая она есть сейчас.
40980	Isn't that good news?	Разве это не хорошая новость?
1180	I have a cold sore on my lip.	У меня простуда на губе.
27962	I want to see the movie.	Я хочу посмотреть фильм.
118644	Our financial problems are serious.	Наши финансовые проблемы серьёзны.
292927	Where did you go last summer?	Куда ты ездил прошлым летом?
233663	He is now in the prime of manhood.	Сейчас он мужчина в полном расцвете сил.
190482	Everyone looked at Tom.	Все смотрели на Тома.
208870	Tom can't stand it.	Том этого не выносит.
203594	I thought I heard a voice.	Я вроде слышал какой-то голос.
190918	Tom got a promotion at work.	Том получил повышение на работе.
229268	I wonder why Tom needed to do that.	Интересно, зачем Тому нужно было это делать.
151708	I never liked her.	Мне она никогда не нравилась.
125018	I just listened and kept quiet.	Я просто молча слушал.
276797	Are there earthquakes on Mars?	Бывают ли на Марсе землетрясения?
196501	Why don't you do your homework?	Почему бы тебе не заняться уроками?
275492	Will he come this evening?	Он придёт сегодня вечером?
222454	Did she forget her money?	Она забыла свои деньги?
203464	Maybe we can work it out.	Возможно, мы можем решить вопрос.
271102	Tell me the good news first.	Начните с хорошей новости.
48488	Tom flew to Boston today.	Том сегодня улетел в Бостон.
284815	Do you like white chocolate?	Вам нравится белый шоколад?
253154	Are you free tonight?	Ты сегодня вечером свободен?
325775	I don't know what was wrong.	Я не знаю, что было не так.
161317	Didn't you know that?	Ты разве этого не знал?
82981	I believe it'll snow tomorrow.	Думаю, завтра будет снег.
79999	I watched television yesterday.	Я вчера смотрела телевизор.
286405	I try to only eat healthy foods.	Я стараюсь есть только здоровую пищу.
229165	Don't give it to anyone.	Не давай его никому.
101538	Only a fool doesn't fear the sea.	Только глупец не боится моря.
245667	Tom brushed his daughter's hair.	Том расчесал дочери волосы.
272073	Tom looked straight at Mary.	Том посмотрел прямо на Мэри.
148965	It's unlikely Tom will win.	Маловероятно, что Том выиграет.
248722	He turned pale at the news.	Услышав эти новости, он побледнел.
150855	It was then I started to cry.	Тут я и заплакал.
249629	Thank you again for your help.	Спасибо тебе ещё раз за помощь.
309398	Tom thinks Mary went to Boston.	Том думает, что Мэри поехала в Бостон.
29676	Have you ever seen a monkey?	Вы когда-нибудь видели обезьяну?
23662	I know you understand.	Я знаю, что ты понимаешь.
27629	They left the room one by one.	Они покинули комнату по одному.
175880	Tom ran to get the doctor.	Том побежал за доктором.
200009	I haven't yet told anyone else.	Я пока больше никому не говорил.
148847	I want you to call me Tom.	Я хочу, чтобы ты называл меня Томом.
328010	What business is that of yours?	А какое тебе дело?
67441	I'll believe that when I see it.	Поверю, когда увижу.
147169	She pointed at him.	Она указала на него.
240779	I wasn't going to do anything.	Я не собирался ничего делать.
234095	Tom can talk anyone's ear off.	Том может кого угодно заговорить.
87912	Tom doesn't seem to be babbling.	Непохоже, чтобы Том бормотал.
221824	Neither of us wants to do that.	Никто из нас не хочет этим заниматься.
205708	If you need any help, call me.	Если нужна будет какая-нибудь помощь, звони.
113197	I'm going to give it to you.	Я собираюсь тебе его дать.
194672	How did you lose so much weight?	Как это Вы так похудели?
98224	Hey, what are you doing here?	Эй, вы что тут делаете?
276655	Tom has run away from home.	Том сбежал из дома.
131542	Tom is at the hotel now.	Том сейчас в отеле.
146025	Your hands are filthy.	У тебя руки грязные.
323946	I was in Australia for three years.	Я три года пробыл в Австралии.
206513	I thought you liked being alone.	Я думала, тебе нравится быть одному.
310669	She has already gone to school.	Она уже ушла в школу.
10158	You know I'm right.	Ты знаешь, что я прав.
25458	Tom was calm and collected.	Том был спокоен и собран.
69080	Do you like Tom's tattoo?	Тебе нравится татуировка Тома?
242776	The image isn't in focus.	Изображение не в фокусе.
227843	No explosives were found.	Взрывчатки обнаружено не было.
343134	Tom didn't want to go, either.	Том тоже не хотел ехать.
176549	I think Tom is still single.	Я думаю, Том всё ещё не женат.
328268	Tom says that he knows you.	Том говорит, что знает тебя.
197059	I was playing football today.	Сегодня я играл в футбол.
159133	I'm usually the one who does that.	Обычно я этим занимаюсь.
126905	What're you doing for Christmas?	Что делаете на Рождество?
324113	Tom took a step toward Mary.	Том сделал шаг в сторону Марии.
62270	How can you help me?	Как вы можете мне помочь?
204222	Tom had no problem with that.	У Тома не было с этим проблем.
256964	Isn't it dangerous there?	Там разве не опасно?
75464	Tom can't catch a break.	Тому не удаётся вздохнуть спокойно.
33454	Tom looked for his pen.	Том поискал свою ручку.
264592	Tell me why I can't go.	Скажи мне, почему мне нельзя пойти.
208400	We leave tomorrow afternoon.	Мы уезжаем завтра после обеда.
30616	Tom will come if you call him.	Том придёт, если ты его позовёшь.
326194	Do you not like wine?	Ты не любишь вина?
149730	Tom doesn't want to do that today.	Том не хочет этим сегодня заниматься.
44163	I'll stay home tonight.	Сегодня вечером я останусь дома.
135517	We must do something for Tom.	Мы должны что-то сделать для Тома.
330421	Let's always be friends.	Давай всегда будем друзьями.
266327	Tom's passport has expired.	Срок действия паспорта Тома истёк.
103847	I don't think I heard you correctly.	Не думаю, что правильно тебя услышал.
67247	Tom will sue Mary.	Том подаст в суд на Мэри.
313548	I don't work as much as Tom.	Я не так много работаю, как Том.
134558	Tom wrote the letter for Mary.	Том написал это письмо Мэри.
127314	Tom said that he understood.	Том сказал, что понимает.
105464	Stay with me for a while.	Побудьте со мной немного.
122245	God knows what we need.	Наши нужды Богу известны.
334262	I'd never agree to do that.	Я бы никогда не согласился это сделать.
92204	I haven't seen you in a long time.	Я давно тебя не видел.
249388	I want to do my best to help Tom.	Я хочу помочь Тому насколько могу.
133723	Tom was able to find work in Boston.	Тому удалось найти работу в Бостоне.
69569	Can't we do anything?	Мы ничего не можем сделать?
39761	Tom wasn't lying to you.	Том тебе не врал.
172930	I think I understand now.	Кажется, теперь понимаю.
71565	Can Tom help us?	Том может нам помочь?
238576	I thought Tom would try to help us.	Я думал, что Том постарается нам помочь.
62335	That's how Tom died.	Вот как Том умер.
82984	You don't need to know the details.	Подробностей вам знать не нужно.
347918	Did Tom tell you where he bought it?	Том сказал вам, где он её купил?
215051	You gave me hope.	Ты дал мне надежду.
56510	I get everything I want.	Я достаю всё, что хочу.
103621	Does anyone know how Tom got in?	Кто-нибудь знает, как Том попал вошёл?
1225	Don't walk home alone.	Не ходите домой одни.
128050	I'm sure I can find everything.	Я уверен, что могу найти всё.
17243	It was very difficult to do that.	Это было очень сложно сделать.
148891	Many women are afraid of spiders.	Многие женщины боятся пауков.
17927	Do I have any other choice?	У меня есть другой выбор?
78474	I speak French fairly fluently.	Я довольно бегло говорю по-французски.
84559	I work in telecommunications.	Я работаю в сфере телекоммуникаций.
35912	Do you have a match?	У тебя спички не найдётся?
112634	You know that that isn't true.	Ты знаешь, что это неправда.
285630	I'm not from Australia.	Я не из Австралии.
198569	We're working very hard on that.	Мы кропотливо над этим работаем.
44	She witnessed the crime.	Она стала свидетелем преступления.
279865	I met her in the store by accident.	Я случайно встретился с ней в магазине.
36989	You don't have to help me.	Можете мне не помогать.
251727	There's one small problem.	Есть одна маленькая проблема.
194231	Tom is on the phone with his mother.	Том разговаривает по телефону с мамой.
15279	Who's that fellow over there?	Кто этот человек вон там?
143504	I can't cook as well as Tom does.	Я не умею готовить так хорошо, как Том.
303491	We would die without air.	Без воздуха мы бы умерли.
176793	I would tell you if I could.	Я бы сказал вам, если бы мог.
39030	I remember that I gave him the key.	Я помню, что давал ему ключ.
338628	It's good that you passed the exam.	Хорошо, что вы сдали экзамен.
277253	We should've done this earlier.	Нам надо было сделать это раньше.
250963	Who are you and what are you up to?	Кто ты и что у тебя на уме?
143433	Tom explained the situation to Mary.	Том объяснил ситуацию Мэри.
340939	You hit the bullseye.	Ты попал в яблочко.
148505	"How do you say ""cat"" in Spanish?"	"Как будет ""кошка"" по-испански?"
143883	Tom went straight home.	Том пошёл прямо домой.
88281	I'm coming back to Boston.	Я возвращаюсь в Бостон.
81976	Your horse bit me.	Твоя лошадь меня укусила.
58506	You simply don't understand.	Ты просто не понимаешь.
283013	Did you go to school?	Вы ходили в школу?
53805	You were here then.	Ты был тогда здесь.
334560	Tom spent his whole life in Boston.	Том всю жизнь прожил в Бостоне.
205884	I'm well aware of the situation.	Я хорошо осведомлён о ситуации.
283269	Tom will do that if he has time.	Том сделает это, если у него будет время.
317245	Are you still living here?	Ты так тут и живёшь?
147037	You know that I'm married.	Ты знаешь, что я женат.
181937	Do you think that's what I want?	Ты думаешь, я этого хочу?
20031	Why is Tom living in Australia?	Почему Том живёт в Австралии?
24221	What's your favorite tree?	Какое у тебя любимое дерево?
62001	Why did he come here?	Зачем он сюда пришёл?
140427	I know who you're talking about.	Я знаю, о ком вы.
331890	Are you really a nun?	Ты на самом деле монахиня?
261631	I don't think I snore.	Не думаю, что я храплю.
255240	How much can you pay?	Сколько вы можете заплатить?
309421	Do you want to know what Tom did?	Хотите знать, что Том сделал?
324089	Is this fish still alive?	Эта рыба ещё живая?
216414	Do you know where Tom is?	Ты знаешь, где Том?
168304	Tom spoke to me this morning.	Том говорил со мной сегодня утром.
27765	Tom won't attend today's meeting.	Тома не будет на сегодняшней встрече.
292470	Lots of famous people come here.	Многие известные люди сюда приезжают.
280472	I have never been abroad.	Я никогда не был за границей.
175856	We really want to help Tom.	Мы действительно хотим помочь Тому.
139329	No one had umbrellas.	Ни у кого не было зонтика.
118715	Let's hope that's enough time.	Будем надеяться, времени хватит.
212174	Tom was there with his girlfriend.	Том был там с девушкой.
177889	Can you do that?	Ты можешь это сделать?
106329	What time does the shop close?	Во сколько закрывается магазин?
210948	Where did you get all that money?	Откуда у тебя все эти деньги?
83183	It's an answer to Tom's letter.	Это ответ на письмо Тома.
59309	I don't like watching TV.	Я не люблю смотреть телевизор.
49576	I suggest we go home by cab.	Предлагаю поехать домой на такси.
2232	You don't look so busy.	Не похоже, чтобы вы были очень заняты.
338477	My dog is bigger than yours is.	Моя собака больше вашей.
639	I've never been in love.	Я никогда не была влюблена.
19567	You look a little young.	Ты выглядишь немного молодым.
240078	I've never seen you before.	Я никогда тебя раньше не видела.
58522	Please don't leave like this.	Пожалуйста, не уходи вот так.
122802	I hope I'm wrong about you.	Надеюсь, я неверно о тебе сужу.
161617	Have you met everyone here?	Ты знаком со всеми здесь?
298212	Stay here with me.	Останься здесь со мной.
72778	Tom is sitting beneath the tree.	Том сидит под деревом.
304655	Exactly what does that mean?	Что именно это значит?
60449	I called him to the telephone.	Я подозвал его к телефону.
314487	I'm joking, of course.	Я шучу, конечно.
162627	I waited for you a long time.	Я Вас долго ждал.
12419	I doubt if Tom will cry.	Сомневаюсь, что Том будет плакать.
251797	Stop picking on me.	Перестаньте ко мне придираться.
305221	What do you want to do with this?	Что ты хочешь с этим делать?
308108	I'm sure we have a lot in common.	У нас должно быть много точек соприкосновения.
261932	How did Tom know where to find me?	Откуда Том знал, где меня искать?
139613	What did you buy it for?	Зачем вы его купили?
345180	I'm older than your brother.	Я старше вашего брата.
105563	I stopped drinking coffee.	Я перестал пить кофе.
244603	Please correct my mistakes.	Исправь, пожалуйста, мои ошибки.
25497	There wasn't anybody in the house.	В доме никого не было.
183107	Tom hired me to help him.	Том нанял меня, чтобы я ему помог.
206791	Stay with me, Tom.	Останься со мной, Том.
5248	Are you ashamed of me?	Тебе за меня стыдно?
246912	I bought lots of books.	Я накупил кучу книг.
84042	Give me some time to think it over.	Дай мне время подумать.
140975	Do you know either of the two girls?	Ты знаешь хотя бы одну из двух девушек?
327372	I knew that Tom would find it.	Я знал, что Том его найдёт.
107472	Tom always wears dark clothes.	Том всегда носит тёмную одежду.
45851	I prefer it that way.	Мне так больше нравится.
73357	I don't care if Tom doesn't like me.	Мне всё равно, нравлюсь я Тому или нет.
331512	What's in front of you?	Что находится прямо перед тобой?
319654	You got here fast.	Вы быстро добрались сюда.
130824	That's not your cup.	Это не твоя чашка.
126408	Let's see what Tom left us.	Посмотрим, что Том нам оставил.
199906	His family is large.	У него большая семья.
256994	Tom didn't have many options.	У Тома не было особого выбора.
1317	Give me back my pen.	Отдай мне мою ручку.
135785	This is all the money I have now.	Это все деньги, которые у меня сейчас есть.
271902	May I take your order?	Могу я принять ваш заказ?
306439	Tom no longer wants to go to Boston.	Том уже не хочет ехать в Бостон.
86492	I got out of the water.	Я вышла из воды.
283362	Shouldn't we invite Tom, too?	Может быть, нам стоит и Тома пригласить?
33636	It's all our fault.	Мы сами в этом виноваты.
222470	I'd like to do that now.	Я хотел бы сделать это сейчас.
239847	They made Tom change his mind.	Они вынудили Тома поменять мнение.
175789	I bumped into Tom today.	Я сегодня столкнулся с Томом.
319661	She has a lot of gray hair.	У неё много седых волос.
312557	Tom looked in the drawers.	Том посмотрел в ящиках.
85034	This isn't as easy as it looks.	Это не так легко, как кажется.
328342	Tom was almost killed.	Тома чуть не убили.
288904	I feel like going to the movies.	Мне хочется в кино.
263406	I thought you lived in Boston.	Я думал, ты в Бостоне живёшь.
32482	What else can I do to help you?	Как ещё я могу тебе помочь?
255531	Tell Tom I don't need his help.	Скажи Тому, что мне не нужна его помощь.
171207	Tom says he enjoys studying French.	Том говорит, что ему нравится изучать французский.
105299	I'm just so happy.	Я просто так счастлив!
105570	What do you mean?	Что Вы имеете в виду?
57881	I'm sometimes careless.	Иногда я бываю неосторожен.
142396	Tom said he never wanted to do that.	Том сказал, что никогда не хотел этого делать.
222847	Tell Tom we want to know the truth.	Скажи Тому, что мы хотим знать правду.
325431	I don't think Tom will lose.	Я не думаю, что Том проиграет.
173897	You know quite well what I mean.	Ты прекрасно знаешь, что я хочу сказать.
165262	I think you'll like the dessert.	Думаю, вам понравится десерт.
62246	I'll handle everything.	Я со всем разберусь.
95571	I agree with most of you.	Я согласен с большинством из вас.
337146	I thought you understood.	Я думал, вы понимаете.
176660	We don't need that kind of help.	Нам не нужна такая помощь.
13130	You're very hard to understand.	Тебя очень трудно понять.
226225	No one has been fired yet.	Никого пока не уволили.
175622	I think you know everyone here.	Я думаю, что ты знаешь каждого здесь.
338403	Were you with Tom that evening?	Ты был с Томом в тот вечер?
82995	It'll be finished in a day or two.	Через день-два оно будет закончено.
159699	I put it in your room.	Я положил его в твоей комнате.
273813	Have you read Tom Jackson's book?	Вы читали книгу Тома Джексона?
252206	China is much bigger than Japan.	Китай намного больше Японии.
346251	Can I park here?	Могу я здесь припарковаться?
166677	I only found out about that today.	Я только сегодня об этом узнал.
95891	You shouldn't trust Tom.	Тебе не следует доверять Тому.
214622	A child needs love.	Ребёнок нуждается в любви.
56632	We've really hit it off.	Мы действительно нашли общий язык.
254055	I don't eat beef anymore.	Я теперь говядину не ем.
321399	I didn't break any laws.	Я не нарушала никаких законов.
336010	I value my privacy.	Я ценю неприкосновенность моей частной жизни.
186979	Who are you pointing at?	На кого ты указываешь?
18670	I want to sing the song.	Я хочу спеть эту песню.
44019	I'm alone now.	Я сейчас в одиночестве.
65225	Tom told me I was wrong.	Том сказал мне, что я не прав.
9230	We don't like this house.	Нам не нравится этот дом.
318685	Bring it back when you're done.	Принесите его обратно, когда закончите.
96914	Did you buy this in Boston?	Ты купил это в Бостоне?
24135	I'll never forget what you did.	Я никогда не забуду то, что ты сделал.
157570	Our team may win.	Наша команда может победить.
164487	I need to get a new motorcycle.	Мне нужно достать новый мотоцикл.
4543	They are more or less the same size.	Они примерно одного размера.
209939	I wasn't going to kill myself.	Я не собирался себя убивать.
253222	Which do you think is best?	Как ты думаешь, какая лучше?
101155	What do you want me to do about it?	Как ты хочешь, чтобы я с этим поступил?
188121	I'm convinced that Tom is innocent.	Я убеждена, что Том невиновен.
85585	Can you put it down on the table?	Вы можете положить её на стол?
242924	Tom rarely does that.	Том редко это делает.
108364	When did you go to bed last night?	Ты во сколько вчера лёг?
26599	Tom got a tattoo.	Том сделал себе татуировку.
52224	Tom spoke to Mary in French.	Том говорил с Мэри по-французски.
66548	I rarely walk to work.	Я редко хожу на работу пешком.
188658	I tried to help you.	Я пытался помочь вам.
286828	I've already given Tom a present.	Я уже подарила Тому подарок.
48872	Tom has many powerful friends.	У Тома много влиятельных друзей.
337455	Let's find out who stabbed Tom.	Давайте выясним, кто ударил Тома ножом.
245103	Can you tell me what's happening?	Вы можете сказать мне, что происходит?
80095	We have a test today.	У нас сегодня тест.
60024	We're out of coffee.	Мы остались без кофе.
52594	It was very cold that night.	В ту ночь было очень холодно.
95184	I didn't expect you to answer.	Я не ожидал, что ты ответишь.
14213	Do it again, Tom.	Сделай это снова, Том.
60623	Is this milk still good?	Это молоко ещё хорошее?
329820	I didn't realize things were so bad.	Я не понимал, что всё так плохо.
283907	Tom was sleeping, wasn't he?	Том что, спал?
337910	Your problems don't concern me.	Ваши проблемы меня не касаются.
178171	Did all this happen by mistake?	Всё это случилось по ошибке?
61136	Do you know what to do with this?	Ты знаешь, что с этим делать?
265516	I have one child.	У меня один ребёнок.
197862	She's in her room.	Она у себя в комнате.
187673	Tell me it's true.	Скажи мне, что это правда.
90159	I got out of the water.	Я вышел из воды.
245159	Tom is just an ordinary boy.	Том самый обычный мальчик.
231171	I have your umbrella.	Ваш зонт у меня.
34511	I hope you come to my lecture.	Надеюсь, вы придёте ко мне на лекцию.
145332	Do you want to be my girlfriend?	Хочешь стать моей девушкой?
44434	Tell Tom I'm hungry.	Скажи Тому, что я голодная.
344080	We don't have any more sugar.	У нас больше нет сахара.
69788	I regret kissing you.	Я жалею, что поцеловала тебя.
307975	Tom refused to shoot the dog.	Том отказался стрелять в собаку.
296968	I'll go the way I'm dressed.	Я в этом пойду.
252775	I used to have to do that for Tom.	Мне приходилось делать это для Тома.
98303	I'll talk to Tom later about this.	Я потом поговорю об этом с Томом.
332108	Tom isn't in Boston now.	Том сейчас не в Бостоне.
256959	It was my fault, not Tom's.	Это была моя вина, а не Тома.
137058	You can't give me orders.	Ты не можешь отдавать мне приказы.
339844	Place the ladder against the wall.	Прислоните лестницу к стене.
69990	We talked about it all night.	Мы проговорили об этом всю ночь.
342753	Lie down on your left side.	Ложитесь на левый бок.
105971	Go and see who it is.	Пойди посмотри, кто это.
272553	I think Tom will be back.	Я думаю, Том вернётся.
105381	I'm the one who built this house.	Этот дом построил я.
264933	We didn't go to Boston.	Мы не поехали в Бостон.
272187	It didn't rain yesterday.	Вчера не было дождя.
118622	Who answered the phone?	Кто подошёл к телефону?
309323	I'd like you to stay home tonight.	Я хотел бы, чтобы ты сегодня вечером остался дома.
5357	Who did you give that to?	Кому ты это дал?
156480	I should be making lunch.	Мне нужно готовить обед.
251443	You never say thank you.	Ты никогда не говоришь спасибо.
35955	Tom said that you need to go.	Том сказал, что вам нужно идти.
61771	Where do you want to eat?	Ты где хочешь поесть?
157745	Tom has a bad temper.	У Тома плохой характер.
210679	I couldn't have made it alone.	Я бы не смог это сделать один.
205797	It doesn't mean a thing.	Это ровно ничего не значит.
267018	Tom was killed in an airplane crash.	Том погиб в авиакатастрофе.
44554	I haven't watered the flowers yet.	Я ещё не поливала цветы.
210472	Tom didn't call Mary right away.	Том не сразу позвонил Мэри.
186464	You can ask him for help.	Можете попросить его о помощи.
339781	I thought that you were married.	Я думал, ты женат.
128426	I'm too old for these things.	Я уже слишком стар для этих штучек.
47067	I can recommend this book to you.	Я могу порекомендовать вам эту книгу.
54938	Did you speak to Tom yesterday?	Вы разговаривали с Томом вчера?
131374	Tom hit a triple.	Том сделал удар на три базы.
96439	That's how Tom and I became friends.	Вот так мы с Томом и подружились.
33751	It's close to my house.	Это рядом с моим домом.
177372	I've just come home.	Я только домой пришёл.
218278	It'd be a disaster.	Это была бы катастрофа.
280873	If you don't eat, you'll die.	Не будешь есть - умрёшь.
241997	Tom promised to do that for us.	Том обещал сделать это для нас.
76208	Tom knows I wouldn't do that.	Том знает, что я бы не стал этого делать.
110856	I won't come today.	Я сегодня не приду.
143222	I can't go. I'm sick.	Я не могу пойти. Я болен.
71113	I just had a talk with your doctor.	Я только что разговаривал с твоим врачом.
165313	Tom is too young to buy beer.	Тому рано покупать пиво.
216236	I get up at six every day.	Я каждый день встаю в шесть.
113286	I've already told you that.	Я вам уже это говорил.
92341	Thanks a lot for helping out.	Большое спасибо, что выручили.
179989	Tell me about your project.	Расскажите мне о вашем проекте.
104143	Where do you plan to go fishing?	Куда вы планируете поехать на рыбалку?
75320	My grandmother lives in the country.	Моя бабушка живет в деревне.
289545	Why don't you both give up?	Почему бы вам двоим просто не сдаться?
266978	I thought Tom would make breakfast.	Я думал, что Том приготовит завтрак.
348610	Can you start over?	Ты можешь начать сначала?
168555	You're bluffing, aren't you?	Ты что, блефуешь?
233340	Send it by mail.	Пошли её по почте.
317934	I need Tom to understand.	Мне нужно, чтобы Том понял.
183631	I have to find out what killed Tom.	Мне надо выяснить, из-за чего умер Том.
160622	It wasn't an accident.	Это не был несчастный случай.
84973	Tom worries about his weight.	Том беспокоится о своём весе.
252060	Can we make a fire in this wind?	Сможем мы разжечь огонь при таком ветре?
279930	I suggested that we go fishing.	Я предложил пойти на рыбалку.
258138	Tom has always been stubborn.	Том всегда был упрямым.
270095	I'm happy to see you again.	Счастлива снова вас видеть.
168244	Tom is still here.	Том всё ещё здесь.
314970	Tom had a black eye.	У Тома был синяк под глазом.
319468	We were unable to follow his logic.	Мы не смогли понять его логику.
292266	Tom and Mary become best friends.	Том с Мэри становятся лучшими друзьями.
38424	My patience is running out.	Моё терпение подходит к концу.
110126	I thought you were lying.	Я думал, что вы лжёте.
316799	Maybe you shouldn't go with Tom.	Может быть, тебе не стоит ходить с Томом.
276226	Tom voted for it.	Том за это голосовал.
140552	You're standing on my foot.	Ты на моей ноге стоишь!
192434	I am leaving at ten o'clock.	Я выезжаю в десять.
169676	I have to leave tomorrow morning.	Мне завтра утром уезжать.
264027	I bought that from a street vendor.	Я купил это у уличного торговца.
311411	I'm glad Tom enjoyed it.	Я рада, что Тому это понравилось.
90903	I couldn't say it better.	Я не мог бы сказать лучше.
273086	Most Japanese take a bath every day.	Большинство японцев принимает ванну каждый день.
172977	What has become of him?	Что с ним стало?
326268	Where will you be on October 20th?	Где ты будешь двадцатого октября?
31702	I've ordered you a hamburger.	Я заказал тебе гамбургер.
222240	Tom will call you a taxi.	Том вызовет тебе такси.
121320	Tom isn't very polite.	Том не очень вежливый.
277903	You've lost a lot of blood.	Ты потерял много крови.
125757	Tom obviously has a problem.	У Тома явно какая-то проблема.
148772	There used to be an old temple here.	Раньше здесь был старинный храм.
24950	We are all happy to help.	Мы все счастливы помочь.
257821	Tom bought a gift for his daughter.	Том купил своей дочери подарок.
4637	You're pushing thirty.	Тебе скоро будет тридцать.
303040	Have you and Tom ever kissed?	Вы с Томом когда-нибудь целовались?
211052	Why is this so important to you?	Почему это для тебя так важно?
345300	I'll send you my mother's recipe.	Я пришлю тебе мамин рецепт.
24023	Tom doesn't live here, does he?	Том ведь здесь не живёт?
