	eng	ukr
97374	Don't rule it out completely.	Не виключайте цього повністю.
2006	Tom told me he's last.	Том сказав мені, що він останній.
87845	Tom told Mary what she had to buy.	Том сказав Мері, що їй потрібно купити.
155037	We still have to be very careful.	Ми все ще маємо бути обережні.
16469	How can I get there?	Як я можу туди дістатися?
98964	We're still open.	Ми все ще працюємо.
82235	I have no doubt about that.	Я не маю сумнівів щодо цього.
86554	I had dinner with Tom.	Я повечеряв з Томом.
37697	We're not going there.	Ми туди не поїдемо.
107796	He ran across the street, leaving her alone.	Він перебіг через вулицю, лишивши її саму.
117035	It's a good thing you did that.	Добре, що ти це зробив.
50661	I'm not the one who ate all the cookies.	Це не я з'їв усе печиво.
78353	I would act differently in your place.	На вашому місці я би поступив інакше.
135455	That would be interesting.	Це було би цікаво.
93439	I wonder if I can do that again.	Я питаю себе, чи я зможу це зробити ще раз.
110197	What's Tom going to do for Mary?	Що зробить Том для Мері?
48365	He's married to an American woman.	Він одружений на американці.
52494	Tom is hoping that happens.	Том сподівається, що це станеться.
122110	We avoid talking about politics.	Ми уникаємо розмов про політику.
20545	I like your family.	Мені подобається твоя родина.
93124	I have a wonderful teacher.	У мене чудовий вчитель.
99736	Reptiles are cold-blooded.	Плазуни — холоднокровні тварини.
115185	Tom told me that he didn't intend to do that.	Том сказав мені, що він не має наміру робити цього.
15509	We don't sell what you're looking for.	Ми не продаємо того, що ви шукаєте.
144104	I've promised Tom that I would help.	Я пообіцяв Тому, що допоможу.
37683	You may kiss me if you like.	Можеш поцілувати мене, якщо хочеш.
7902	Tom is becoming a problem.	Том починає ставати проблемою.
140751	How did you persuade Tom to do that?	Як ти переконала Тома це зробити?
55865	I asked him to drive me home.	Я попросив його відвезти мене додому.
120406	If you didn't do that, who did?	Якщо це зробив не ти, то хто?
88886	You have a very pretty name.	У вас дуже гарне ім'я.
114634	Tom should be in the hospital.	Тому слід бути в лікарні.
104242	This is your hat, isn't it?	Це твоя шапка, еге ж?
23203	She takes everything for granted.	Вона все приймає за належне.
93329	Watch how I do it.	Дивіться, як я це роблю.
28947	Have you ever seen a UFO?	Ти колись бачила НЛО?
63822	You'd like it.	Це тобі сподобалося би.
43281	They're playing a game.	Вони грають у гру.
106222	Have you always lived here?	Ти завжди тут жив?
33029	Tom didn't know who to ask.	Том не знав, кого запитати.
122871	Do you think that fish can hear?	Гадаєш, риби чують?
147267	Tom knows I'm older than him.	Том знає, що я від нього старший.
4107	I like your dogs.	Мені подобаються твої собаки.
12466	I think Tom lied to us.	Думаю, Том нам збрехав.
136323	Did you just figure that out?	Ти щойно це зрозумів?
80073	I love to skate.	Я люблю кататися на ковзанах.
40233	I'll show you the way to the station.	Я покажу тобі дорогу на станцію.
134365	Should we try to help?	Нам слід спробувати допомогти?
6591	Can you call him?	Ти можеш його покликати?
77161	Tom needs your help more than I do.	Тому ваша допомога потрібна більше, ніж мені.
94587	Tom came up with an ingenious idea.	Тому прийшла в голову геніальна ідея.
116006	I think I'll turn in.	Гадаю, мені час спати.
43608	I think that Tom is a CPA.	Я думаю, що Том — бугхалтер.
120570	Why can't you go to Australia?	Чому ви не можете поїхати до Австралії?
100668	Don't you think we need this?	Ти не вважаєш, що нам це потрібно?
127082	Can I use your telephone?	Можна скористатися вашим телефоном?
46611	Tom used to hate Mary.	Том колись ненавидів Мері.
23266	We'll never do that.	Ми ніколи цього не робимо.
121460	Will we be in time for the concert?	Ми встигнемо на концерт?
56968	Tom is a school bus driver.	Том — водій шкільного автобуса.
106410	You are as white as a sheet.	Ви білі як смерть.
131317	Why are you reading this?	Нащо ти це читаєш?
113922	Tom said that he was drunk.	Том сказав, що він п'яний.
21409	I know that Tom didn't do that correctly.	Я знаю, що Том це неправильно зробив.
113591	What do you believe in?	У що ти віриш?
94415	Tom vowed he'd never do that.	Том поклявся, що нікого цього не робитиме.
116924	You arrived just in time.	Ти прибув як раз вчасно.
121854	Tom's car is in the garage.	Машина Тома в гаражі.
135156	I don't ever want to see you again.	Я не хочу тебе більше бачити.
80768	I wonder whether I should do that or not.	Я питаю себе, чи слід мені це зробити.
13604	Can Tom really swim faster than you?	Том насправді може плисти швидше, ніж ви?
4619	Surprisingly, I agree with Tom.	Як це не дивно, я згодна з Томом.
79097	Do you have anything for a headache?	Ви маєте щось від головного болю?
152110	Kyoto was the former capital of Japan.	Кіото — колишня столиця Японії.
155832	Is that good or bad for Tom?	Це добре чи погано для Тома?
5061	I know that I'm crazy.	Я знаю, що я схиблений.
125707	It's hard to get rid of bad habits.	Важко позбавитися поганих звичок.
135530	Tom swims as fast as Mary does.	Том плаває так само швидко, як і Мері.
47823	Tom doesn't know anyone who is able to do that.	Том не знає нікого, хто може це зробити.
34670	I want you to be with me.	Я хочу, щоб ви були зі мною.
41651	Tom was the last to find out about it.	Том дізнався про це останнім.
32577	Did you take Tom's advice?	Ви скористалися порадою Тома?
106094	Tom raised three children all by himself.	Том сам виховав трьох дітей.
76504	Tom is so mean to you.	Том такий недобрий по відношенню до тебе.
102123	I got up earlier than usual.	Я встала раніше, ніж звичайно.
70185	Why do you want Tom to do that?	Чому ви хочете, щоб Том це зробив?
49914	We might go to Australia next spring.	Наступної весни ми, можливо, поїдемо до Австралії.
18271	I'd advise you to not eat that.	Я би порадив вам не їсти м'яса.
68953	Did Tom come to Boston with you?	Том приїхав до Бостона разом із тобою?
65384	The doll lay on the floor.	Лялька лежить на підлозі.
64492	I knew that I could beat Tom.	Я знав, що можу перемогти Тома.
84478	I didn't know that Tom knew how to do that.	Я не знала, що Том знає, як це зробити.
67386	I don't want Tom to worry.	Я не хочу, щоб Том хвилювався.
45713	Tom said that he probably wouldn't cry.	Том сказав, що він, мабуть, не заплаче.
15193	Tom poured some milk in a bowl for his cats.	Том налив трохи молока в миску для своїх котів.
102503	Tom wants Mary to be careful.	Том хоче, щоб Мері була обережна.
100961	All the names are listed in alphabetical order.	Усі прізвища розміщені в алфавітному порядку.
128660	I've got a boat.	У мене є човен.
39785	I never said I wanted to go with you.	Я ніколи не казала, що хочу поїхати з вами.
28307	Everyone should exercise their right to vote.	Кожний має скористатися правом голосу.
93757	Are you certain about this?	Ти щодо цього впевнений?
74965	How many apples do you want?	Скільки ви хочете яблук?
38183	I was already married at your age.	У вашому віці я вже була у шлюбі.
147930	No one will hurt you.	Ніхто вам не зробить болісно.
22671	I like red wine better than white wine.	Я люблю більше червоне вино, а не біле.
89149	I've always loved elephants.	Я завжди обожнювала слонів.
155685	Was I really boring?	Я й насправді був нудний?
33463	I was with Tom last week.	Минулого тижня я був із Томом.
128654	Thanks for driving me here.	Дякую, що довіз мене сюди.
65014	Aren't you almost ready?	Хіба ти майже не готова?
83162	I thought Tom wouldn't win.	Я думав, Том не виграє.
87006	Tom showed me some pictures.	Том показав мені кілька фотографій.
88965	Tom knows who did this.	Том знає, хто це зробив.
74710	How well do you know French?	Наскільки добре ти знаєш французьку?
141277	This restaurant is open 24/7.	Цей ресторан працює цілодобово.
18786	Bring me the newspaper, please.	Принесіть мені газету, будь ласка.
94802	I understand your anger.	Я розумію твій гнів.
6859	Tom called while you were in the shower.	Том телефонував, коли ви приймали душ.
111142	Tom didn't want to help.	Том не хотів допомагати.
151189	Mary is more beautiful than Alice.	Мері гарніша за Алісу.
67390	Where does your grandmother live?	Де живе твоя бабуся?
122382	You're in grave danger.	Ти у серйозній небезпеці.
47759	I wasn't following the conversation.	Я не слідкував за розмовою.
23052	I think that Tom will probably remember you.	Гадаю, що Том, мабуть, тебе пам'ятатиме.
90764	Tom hasn't been contacted yet.	З Томом ще не зв'язалися.
69530	How much more time do we have?	Скільки в нас є ще часу?
29551	Tom often dreams of his girlfriend.	Том часто мріє про свою дівчину.
47774	What Tom told me helped me a lot.	Те, що мені сказав Том, мені дуже допомогло.
64262	I saw what your dog did.	Я бачила, що зробив ваш собака.
24000	It looks like Tom won't help us.	Здається, Том нам не допоможе.
47553	I didn't think Tom would like Mary.	Я не думала, що Мері сподобається Тому.
35366	That's my favorite part.	Це моя улюблена частина.
104606	I'm afraid I took the wrong train.	Боюся, я сів не в той потяг.
133693	Tom died without heirs.	Том помер, не лишивши спадкоємців.
68476	What happened was out of my control.	Те, що трапилось, було поза моїм контролем.
124101	I want to buy a purple sweater.	Я хочу купити фіолетовий светр.
153218	You did your best.	Ти зробив усе, що міг.
8260	I want to feel important.	Я хочу відчувати себе важливою.
102138	It's hard to believe.	Важко в це повірити.
3812	We were very sad.	Нам було дуже сумно.
49293	Can anyone guess what this is?	Хтось може вгадати, що це таке?
73979	Are you implying something?	Ти на щось натякаєш?
1298	What's the name of this river?	Як називається ця річка?
143040	I bought a new car.	Я купив нову машину.
145085	Tom earns twice as much as I do.	Том заробляє вдвічі більше від мене.
72376	Do you know how to play checkers?	Ти вмієш грати у шашки?
62359	Why did you lie to me?	Чому ви сказали мені неправду?
112225	Tom said he hopes that you like doing that.	Том сказав, що він сподівається, що тобі подобається цим займатися.
98370	I saw Tom with Mary.	Я бачив Тома з Мері.
108594	I believe Tom is innocent.	Я думаю, що Том невинний.
2502	I didn't want to help.	Я не хотів допомогати.
31586	Tom isn't afraid to do anything.	Том нічого не боїться робити.
75902	I know you're not wrong.	Я знаю, що ви не помиляєтеся.
68889	Tom said Mary is very happy.	Том сказав, що Мері дуже щаслива.
60163	I always speak French with Tom.	Я завжди говорю французькою з Томом.
11382	At first, I was disappointed.	Спочатку я був розчарований.
1368	I expect a lot from him.	Я багато чого від нього очікую.
134510	Mary's dress is too long.	У Мері задовга сукня.
148480	I must buy groceries.	Я повинен купити продукти.
104993	I'm sick and tired of hamburgers.	Я до смерті втомилася від гамбургерів.
2918	I'll be there to help you.	Я там буду, щоб вам допомогти.
144034	Tom asked Mary to drive John to the airport.	Том попросив Мері підвезти Джона до аеропорту.
59971	I'm going to go to Boston.	Я поїду до Бостона.
31369	Tom and Mary are dancing.	Том та Мері танцюють.
54881	I'd like you to translate this document into French.	Я хотів би перекласти цей документ на французьку.
82276	Would you like to dance with me?	Ти не хотіла би зі мною потанцювати?
20987	I think that I asked the right questions.	Гадаю, я поставила добрі запитання.
80193	Tom is an opera lover.	Том — цінувальник опери.
100327	Tom doesn't smile very often.	Том не посміхається дуже часто.
126692	Tom has told me a lot about you.	Том багато чого мені про тебе розповів.
9771	I wonder who'll do that tomorrow.	Цікаво, хто цим завтра займатиметься.
21524	Tom didn't know who Mary's husband was.	Том не знав, хто чоловік Мері.
130852	Please write it down.	Будь ласка, запишіть це.
113619	We were all running short of money then.	Нам усім тоді не вистачало грошей.
82693	You could've done that yesterday.	Том міг би це зробити вчора.
108239	I know that Tom lied to me.	Я знаю, що Том мені збрехав.
109176	I didn't think Tom would be so mad.	Я не думала, що Том буде такий злий.
152150	I plan to give my son a computer at the end of the month.	Я планую в кінці місяця подарувати сину комп'ютер.
144654	Why don't we do that right now?	Чому б нам не зробити цього просто зараз?
56835	I don't want to be like that.	Я не хочу таким бути.
52860	Those horses are mine.	Ці коні — мої.
107975	I don't have a bicycle.	Я не маю велосипеда.
91646	Perhaps I can be of help.	Може бути, я можу допомогти.
126029	Tom wants you to help him today.	Том хоче, щоб ви сьогодні йому допомогли.
146094	Tom said he thought that Mary wasn't hungry.	Том сказав, що, на його думку, Мері не голодна.
71540	I thought it wasn't necessary to do that.	Я думала, що було необхідно це зробити.
50568	Mary is a very good-looking woman.	Мері дуже приваблива жінка.
71900	Cross Tom's name off the list.	Викресліть ім'я Тома зі списку.
130058	Tom didn't intend to do that.	Том не мав наміру цього робити.
120295	What does Tom know about this?	Що Том про це знає?
45605	We have to reduce the cost to a minimum.	Ми повинні зменшити затрати до мінімального рівня.
59450	Why does Tom want to do that anyway?	Чому Том хоче це зробити у будь-якому випадку?
66847	I'm sure Tom will be confused.	Я певен, що Том буде спантеличений.
53286	We've done what we could.	Ми зробили, що змогли.
99643	You're the very person I've been looking for.	Ти саме та, кого я шукав.
58563	How did you spend the money I gave you?	Як ви витратили гроші, які я тобі дав?
32117	I really appreciate your coming.	Я дуже ціную, що ти прийшла.
39303	You can't do that anymore.	Ти більше не можеш цього робити.
115352	You look pretty young.	Ти виглядаєш доволі молодою.
77701	Thanks for your quick answer.	Дякую за швидку відповідь.
45878	I got back at 2:30.	Я повернувся о другій тридцять.
78662	Everybody seems to like Tom.	Видається, що Том подобається всім.
103260	Can I sit next to you?	Можна мені сісти поруч?
100687	You've read the report, haven't you?	Ти ж прочитав звіт?
149892	Tom went to the beach with Mary last weekend.	На минулих вихідних Том з Мері ходили на пляж.
17714	Tom and Mary live in Australia.	Том та Мері живуть у Австралії.
43159	Tom saw Mary working.	Том бачив, як Мері працює.
28998	I can't bear the pain.	Я не можу терпіти цього болю.
54711	Tom ironed his shirt.	Том випрасував свою сорочку.
83937	I wouldn't celebrate just yet.	Я би поки що не святкував.
3213	The boy lost his way in the forest.	Хлопець заблукав у лісі.
117537	I'm dying for frozen yogurt.	Вмираю, так хочу мороженого йогурта.
65116	Tom is Mary's son.	Том — син Мері.
44051	Please don't leave valuable things here.	Будь ласка, не залишайте тут цінних речей.
131069	Tom knows why Mary laughed.	Том знає, чому Мері засміялася.
35051	Tom lasted less than a month on the job.	Том протримався на роботі менше місяця.
27237	Tom said that he'd never let you drive.	Том сказав, що ніколи не дозволить вам сісти за кермо.
149129	I think that Tom is too young to retire.	Мені здається, Том замолодий для того, щоб іти на пенсію.
60522	I will come to your country some day.	Я колись приїду у твою країну.
104741	Tom said that I looked concerned.	Том сказав, що в мене стурбований вигляд.
88711	Tom's lights were on.	У Тома було включене світло.
9631	Tom is a fishmonger.	Том - продавець риби.
127370	Tom got Mary to lend him some money.	Том умовив Мері позичити йому гроші.
122034	You should always tell the truth.	Завжди треба казати правду.
79212	Tom got Mary to drive.	Том попросив Мері покермувати.
74006	That won't solve anything.	Це нічого не вирішить.
152354	Tom said that you're not a real doctor.	Том сказав, що ви несправжній лікар.
7869	I never put sugar in my coffee.	Я ніколи не кладу цукор до кави.
82879	I know that this is none of my business.	Я знаю, що це мене не стосується.
89435	We won all three games.	Ми виграли всі три гри.
43672	I'm glad you're coming.	Я радий, що ти приїдеш.
73029	I'm the owner.	Власник — це я.
3542	He quarreled with his wife about their children.	Він полаявся з дружиною через дітей.
37719	She teaches us French.	Вона викладає нам французьку.
89470	Tom hasn't washed his car yet.	Том ще не помив машину.
22128	Tom opened his present.	Том відкрив свій подарунок.
59334	I'm doing all I can.	Я роблю все, що можу.
83168	Were you at school at that time?	Ти був у школі у той час?
108435	Tom's phone started vibrating.	У Тома завібрував телефон.
133321	I listen to jazz sometimes.	Я іноді слухаю джаз.
49760	You're not my son.	Ви не мій син.
154324	How can you not know?	Як ти можеш не знати?
62934	That isn't a cat. It's a dog.	Це не кішка, а собака.
64527	I'll tell Tom that when he comes back.	Я скажу це Тому, коли він повернеться.
42424	Tomorrow is my birthday.	Завтра у мене день народження.
120722	Did he tell you the truth?	Він сказав тобі правду?
96482	Who said Tom could join the team?	Хто сказав, що Том може вступити до команди?
30513	I packed Tom's suitcase for him.	Я зібрав за Тома його валізу.
127821	Can I borrow your earphones?	Можна позичити твої навушники?
33645	I don't like to eat garlic in the morning.	Я не люблю їсти вранці часник.
20100	We can start over again.	Ми можемо знову почати з початку.
18873	Tom talked with me.	Том розмовляв зі мною.
113693	I saw a girl with long hair.	Я бачила дівчину з довгим волоссям.
40592	I only saw him once.	Я бачив його лише раз.
110732	Tom knows that he can trust us.	Том знає, що може нам довіряти.
113399	You could try and be a bit more civilized.	Ти міг би спробувати і бути трішечки цивілізованішим.
28910	I drink quite a bit.	Я досить багато п'ю.
30267	Tom was told not to do that anymore.	Тому сказали більше цим не займатися.
119842	May I hold your hand?	Можна взяти вас за руку?
36395	I feel your pain.	Я поділяю ваш біль.
117271	Tom didn't require medical attention.	Том не потребував уваги лікарів.
48625	Tom didn't kill anybody.	Том нікого не вбив.
94869	Tom will never acquiesce.	Том ніколи не згодиться.
5500	I can't help anymore.	Я більше не можу допомогти.
120824	Tom is sure Mary was lying.	Том певен, що Мері казала неправду.
105473	Tom hugged Mary and then kissed her.	Том обійняв і поцілував Мері.
22868	Tom ordered beer for himself and red wine for Mary.	Том замовив пиво для себе та червоне вино для Мері.
20160	I'm not good at French.	Я не дуже добре знаю французьку.
5537	Tom is hiding from Mary.	Том ховається від Мері.
46295	I'll show you a few photos.	Я покажу тобі кілька фотографій.
58270	I think that's the best plan.	Думаю, це найкращий план.
93257	You're a little too young for me.	Ви для мене трохи замолода.
27273	I don't think that Tom is as creative as Mary.	Я не думаю, що Том настільки креативний, як Мері.
50967	My parents persuaded me not to travel alone.	Мої батьки переконали мене не подорожувати самій.
18809	Never in my life have I seen such a terrible accident.	Ніколи в житті я не бачив таку жахливу аварію.
117127	Tom won't believe us.	Том нам не повірить.
153884	I have no idea what that was.	Я уяви не маю, що то було.
64486	Tom needs some time.	Тому потрібно трохи часу.
111588	My son is now as tall as I am.	Мій син тепер такий саме високий, як і я.
61672	Tom wanted to go, too.	Том теж хотів піти.
9056	I was waiting for Tom to tell me what to do.	Я чекав на Тома, що він сказав мені, що робити.
111078	I expect you to treat Tom with respect.	Я розраховую, що ти будеш ставитися до Тома з повагою.
150807	She's my first love.	Вона моє перше кохання.
131461	We'll begin work soon.	Скоро ми розпочнемо роботу.
132287	I think Tom will like it.	Гадаю, Тому вона сподобається.
45652	How do you know I don't have it?	Звідки ти знаєш, що у мене його немає?
17615	I'm sure I can help you.	Я певна, що можу вам допомогти.
107348	I don't know her, nor do I want to.	Не знаю і знати не хочу.
36288	Sorry. It's all my fault.	Перепрошую. Це все моя провина.
136779	I got the ticket free of charge.	Я отримав квиток безкоштовно.
18537	It's Tom's birthday today.	Сьогодні день народження Тома.
11063	I studied last night.	Я вчився цієї ночі.
2269	Tom can't even pretend to like Mary.	Том не може навіть зробити вигляд, що йому подобається Мері.
24644	No matter what you say, I won't change my mind.	Що б ти не казав, я не передумаю.
129137	She read one poem to him.	Вона прочитала йому один вірш.
6222	You've got the right to be happy.	Ви маєте право бути щасливою.
64025	Tom hasn't seen Mary in years.	Том не бачив Мері вже кілька років.
69285	I suspect that Tom and Mary are tired.	Я підозрюю, що Том із Мері втомилися.
61793	I don't think I know the answer.	Я не думаю, що я знаю відповідь.
153499	I ran out of food.	У меге закінчилася їжа.
148483	The sun doesn't shine at night.	Вночі сонце не світить.
81053	You may answer the question.	Можеш відповідати на запитання.
145129	I didn't know you were that kind of a person.	Я не знав, що ти такий.
151478	How much candy do you have left?	Скільки у вас лишилося цукерок?
124556	To put it frankly, he is a critic rather than a writer.	Відверто кажучи, він скоріше критик, ніж письменник.
90110	We may need help.	Ми можемо потребувати допомоги.
148450	She likes short skirts.	Їй подобаються короткі спідниці.
27892	Tom said that he didn't know why Mary was so angry.	Том сказав, що не знає, чому Мері така сердита.
131557	We have three children.	Ми маємо трьох дітей.
81359	Tom told everyone he was ticklish.	Том розповів усім, що боїться лоскоту.
94534	I went to bed last night at eleven.	Я пішла спати вчора об одинадцятій.
38256	Where did you get that idea?	Звідки у вас ця ідея?
46535	Tom is right behind Mary.	Том просто за Мері.
106981	I don't have any small change.	У мене взагалі немає дрібних грошей.
6864	Tom's fingers are really long.	У Тома дуже довгі пальці.
78200	Tom is just looking for Mary.	Том просто шукає Мері.
78579	Do we have to do all this?	Ми мусимо це все робити?
108816	Tom is smarter than Mary is.	Том розумніший за Мері.
1844	Who are you hiding from?	Від кого ви ховаєтеся?
43054	You can use my pen.	Ви можете скористатися моєю ручкою.
55190	Do you really think Tom is in Australia?	Ви й насправді думаєте, що Том у Австралії?
58285	I'm still here in Boston.	Я все ще тут у Бостоні.
101729	My father runs a restaurant.	Мій батько керує рестораном.
131936	Tom is quite naive, isn't he?	Том досить-таки наївний, еге ж?
48351	I don't know much about you.	Я про вас небагато знаю.
33250	I wonder whether or not Tom has ever asked Mary why she didn't do that.	Мені цікаво, чи Том колись питав Мері, чому вона цього не зробила.
56817	Don't forget your toothbrush.	Не забудьте зубну щітку.
10312	Berlin is in Germany.	Берлін знаходиться у Німеччині.
123274	Tom checked the answering machine for messages.	Том перевірив, чи є повідомлення на автовідповідачу.
47566	You're exaggerating, right?	Ти перебільшуєш, так?
62939	Tom and Mary are cousins.	Том та Мері — двоюрідні брат та сестра.
22935	I don't want to talk about that.	Я не хочу про це говорити.
44185	She made me a star.	Вона зробила з мене зірку.
54198	I wake up early in the morning.	Я прокидаюся рано вранці.
125036	Tom thought that we could win.	Том думав, що ми можемо виграти.
105351	Tell Tom you lied.	Скажи Тому, що ти збрехав.
110265	Have you washed the car yet?	Ти вже помив машину?
4569	You should have attended the meeting.	Ти мусив би відвідати зустріч.
97208	I was already married at your age.	У твоєму віці я вже був одружений.
50311	I don't like tea.	Я не люблю чай.
107238	Tomorrow there's a high probability it'll rain.	Сьогодні висока ймовірність дощу.
5262	I'd love to go fishing with you.	Я би дуже хотів піти з тобою на рибаловлю.
77134	Is there any salad oil in the bottle?	У пляшці лишилася салатна олія?
20970	He can read well.	Він уміє добре читати.
4148	Cheer him up when you see him.	Підбадьор його, коли побачиш.
76914	Obviously, I like beer.	Звичайно ж, я люблю пиво.
118481	Spiders prey on flies and other small insects.	Павуки полюють на мух та інших дрібних комах.
114104	What happened after Tom did that?	Що трапилося після того, як Том це зробив.
111363	I don't know how many brothers and sisters Tom has.	Я не знаю, скільки у Тома братів та сестер.
75152	Didn't I tell you to stay at home?	Хіба я не сказала тобі залишатися вдома?
1326	Tom is very lazy, isn't he?	Том дуже ледачий, так?
106961	Did you give Tom something to eat?	Ти дав Тому щось поїсти?
71426	He rejected our offer.	Він відхилив нашу пропозицію.
58852	I still have questions I want to ask you.	У мене все ще є питання, які я хочу тобі поставити.
118693	Tom told me that he lived on Park Street.	Том сказав мені, що живе на Парковій вулиці.
46289	Tom has made several bad decisions recently.	Том нещодавно прийняв кілька поганих рішень.
15312	Tom said he thought that Mary was nervous.	Том сказав, що, на його думку, Мері нервує.
30452	When did Tom live in Australia?	Коли Том жив у Австралії?
39321	Do you think Tom will actually win?	Гадаєш, Том насправді переможе?
29575	I know Tom is a bit taller than Mary is.	Я знаю, що Том трохи вищий від Мері.
154503	My hands are cold.	У мене змерзли руки.
102149	I know that Tom isn't a rabbi.	Я знаю, що Том не рабин.
23263	I'm glad they're both on our team.	Радий, що вони обоє в нашій команді.
2117	I want to learn Chinese next year.	Я бажаю вивчати китайську наступного року.
96807	He's got terrible handwriting.	У нього дуже поганий почерк.
125929	Tom isn't on a diet.	Том не на дієті.
101014	I wish that Tom could go to Australia with me.	Шкода, що Том не може поїхати зі мною до Австралії.
102289	You're too suspicious about everything.	Ти дуже підозрілий щодо всього.
68791	This rule does not apply.	Це правило тут не діє.
57032	Come on, Tom. It'll be fun.	Ну ж бо, Томе, буде весело.
116757	I don't even vote.	Я навіть не голосую.
52015	All the students here must study French.	Всі студенти тут повинні вчити Французьку.
89605	The last mass lynching in America occurred in 1946.	Останній раз масове лінчування в Америці трапилося у тисяча дев'ятсот сорок шостому році.
120136	Tom has two cars.	Том має два автомобілі.
53798	It may be a trap.	Це може бути пасткою.
912	He has strange ideas.	У нього дивні ідеї.
21445	I warned you in advance.	Я тебе завчасно попередив.
16661	If you need some money, why don't you borrow some from your mother?	Якщо тобі потрібні гроші, чому ти не позичиш в своєї матері?
138474	Tom tried to say something, but couldn't.	Том спробував що сказати, але не зміг.
19076	I didn't eat breakfast this morning.	Я не снідала сьогодні вранці.
15585	Orange juice, please.	Апельсиновий сік, будь ласка.
52548	Tom says I'm undependable.	Том каже, що на мене не можна покластися.
151393	Tom says he'll do whatever he can.	Том каже, що зробить усе, що зможе.
129425	Never play on the road.	Ніколи не грайся на дорозі.
40607	Did you tell Tom that you did it?	Ти сказав Тому, що ти це зробив?
87559	Fragments of the mirror were scattered on the floor.	Осколки дзеркала були розкидані по підлозі.
34817	I often read in bed.	Я часто читаю в ліжку.
63407	Tom is an awful driver.	Том — жахливий водій.
125199	Doing that will be hard.	Це буде складно зробити.
75443	It's not your problem.	Це не твоя проблема.
148986	I was the one who taught Tom how to do that.	Саме я навчив Тома, як це робити.
