	eng	fin
7452	They went on working for hours.	He jatkoivat tuntikausia työntekoa.
27176	Tom isn't married.	Tomi ei ole naimisissa.
66196	You're kidding me, aren't you?	Nyt kyllä huijaat, vai mitä?
12054	Velvet pants are out of style.	Samettihousut eivät ole muodissa.
36562	A lot of English words are derived from Latin.	Useat englannin sanat on johdettu latinasta.
26123	Do you speak French every day?	Puhutko ranskaa joka päivä?
21062	Tom doesn't come here anymore.	Enää ei Tommi tule tänne.
25219	I have an account at that book shop.	Minulla on tili tuossa kirjakaupassa.
44277	You have to control yourself.	Sinun on kontrolloitava itseäsi.
60640	Have you tried that store?	Oletteko käyneet tuossa kaupassa?
62165	Tom wanted to be the first to shake hands with Mary after her concert.	Tom halusi olla ensimmäinen joka puristaa kättä Maryn kanssa hänen konserttinsa jälkeen.
33411	It is quality, not quantity that counts.	Laatu, ei määrä on se mitä lasketaan.
69322	This costs too much.	Tämä on liian kallista.
21855	The danger is apparently over.	Vaara on ilmeisesti ohi.
32731	We don't speak French.	Emme me puhu ranskaa.
42891	Tom is a man we can depend on.	Tomi on mies johon voimme luottaa.
41958	It wasn't easy for me.	Se ei ollut helppoa minulle.
3529	I never really knew Tom.	En koskaan tuntenut Tomia oikeasti.
35076	This castle is beautiful.	Tämä linna on kaunis.
1757	My father often goes to America on business.	Isäni käy töiden takia usein Amerikassa.
2776	That isn't a very funny story.	Se ei ole kovin hauska juttu.
65649	Things got out of hand.	Asiat lähtivät täysin hallinnasta.
42551	This is where I brought my girlfriend on our first date.	Tänne mä toin mun tyttöystävän meiän ekoilla treffeillä.
63267	I can't believe it!	En voi uskoa sitä!
26984	I'm just about to check in.	Olen tekemässä juuri lähtöselvitystä.
38910	I know some of these boys.	Tiedän muutaman näistä pojista.
39071	Tom is as impatient as ever.	Tom on yhtä kärsimätön kuten aina.
16471	Tom got out of the way just in time.	Tom pääsi pois tieltä juuri ajoissa.
21480	Hours passed like minutes.	Tunnit kuluivat kuin minuutit.
4152	How many close friends do you have?	Kuinka monta läheistä ystävää sinulla on?
12668	I figured out how to solve the problem.	Mä kekkasin, miten ratkasta se ongelma.
24057	That's the absolute truth.	Se on absoluuttinen totuus.
13381	I don't have enough money, so I can't go.	Minulla ei ole tarpeeksi rahaa, joten en pääse.
31084	They'll get married next month.	He menevät naimisiin ensi kuussa.
27527	He loves to make a mountain out of a molehill.	Hän paisuttelee asioita mielellään.
29364	Tom is busy with his work.	Tomilla on kiirettä töiden kanssa.
41103	That one's all yours.	Se on sinun kokonaan.
41907	She is a hysterical woman.	Hän on hysteerinen nainen.
61574	Tom is dating my sister.	Tomi seurustelee siskoni kanssa.
13144	I will do it on the condition that you help me.	Teen sen sillä ehdolla, että autat minua.
44270	I think watching TV is a waste of time.	Minun mielestäni television katselu on ajan heittämistä hukkaan.
55500	You sound like you're in a good mood.	Kuulostat siltä, että olet hyvällä tuulella.
69416	His story is true.	Hänen tarinansa on tosi.
30528	Have you ever read a book written about Japan?	Oletko ikinä lukenut kirjaa, joka kertoo Japanista?
53351	I think it's a fir tree.	Luulen sen olevan pihta.
42600	He has a talent for music.	Hänellä on lahjoja musiikkiin.
43525	Are you afraid of girls, Tom?	Pelkäätkö tyttöjä, Tom?
14993	He could not but cry, when he heard about his mother's death.	Hän ei voinut kuin itkeä, kun hän kuuli äitinsä kuolemasta.
66278	Tom has known Mary since childhood.	Tom on tuntenut Maryn lapsuudesta lähtien.
64630	Tom had no idea what was going to happen.	Tomilla ei ollut käsitystä mitä tuli tapahtumaan.
8740	What are the side effects of this medicine?	Mitkä ovat tämän lääkkeen sivuvaikutukset?
5361	What do you like to eat?	Mitä sinä tykkäät syödä?
27841	Tom is very spontaneous, isn't he?	Tomi on todella spontaani, eikö niin?
36747	I want this luggage taken to my room at once.	Haluan että nämä matkatavarat viedään heti huoneeseeni.
64650	I don't think you really believe that.	En usko, että uskot oikeasti niin.
42142	By the way, I saw Tom last night.	Näin muuten Tomin viime yönä.
28146	They sell sugar and salt at that store.	Tuossa kaupassa myydään sokeria ja suolaa.
1002	In spite of the rain, I went out.	Sateesta huolimatta menin ulos.
68240	I forgot something in my car.	Unohdin yhden jutun autooni.
22630	I tend to look at the pictures before reading the text.	Minä tapaan katsoa kuvia ennen kuin luen tekstin.
65570	Tom speaks French as well as you do.	Tom puhuu ranskaa yhtä hyvin kuin sinä puhut.
3101	She asked me how many languages I spoke.	Hän kysyi minulta, että kuinka monta kieltä puhun.
34959	I know my keys are here somewhere.	Tiedän että avaimeni ovat täällä jossakin.
26012	My father's company is on the verge of bankruptcy.	Isän firma on konkurssin partaalla.
53377	Your hands are like ice.	Sul on ihan jäiset kädet.
12736	Tom is looking for a reasonably-priced used car.	Tomi etsii kohtuullisen hintaista käytettyä autoa.
62468	I don't feel like exercising.	Minua ei haluta kuntoilla.
48097	A is 5 times as long as B.	A on 5 kertaa yhtä pitkä kuin B.
67291	Tom also plays tennis.	Tom pelaa myös tennistä.
51023	I feel much better today.	Oloni on paljon parempi tänään.
42582	The measles virus is super contagious.	Tuhkarokkovirus on äärimmäisen tarttuva.
30589	May I put it here?	Saanko laittaa sen tänne?
31859	I never spend a day without thinking of you.	En vietä päivääkään ajattelematta sinua.
61548	You shouldn't have run.	Sinun ei olisi pitänyt juosta.
32400	Tom is a friend of yours, right?	Tomi on sinun ystäväsi, eikö niin?
20350	I think I get the idea.	Mä luulen, että mä ymmärrän sen idean.
3955	Where is the receipt that I need?	Missä on se kuitti jonka tarvitsen?
42864	Tom had only one chance to get things right.	Tomilla oli vain yksi tilaisuus korjata asiat.
65634	Do you have any cheaper seats?	Onko teillä halvempia paikkoja?
35700	I get along with my younger brother.	Tulen toimeen pikkuveljeni kanssa.
8498	Which is larger, Tokyo or Kobe?	Kumpi on isompi, Tokio vai Kobe?
54569	Please hand me that red pen.	Voisitko ojentaa minulle punaisen kynän?
57163	Where's my daddy?	Missä mun isi on?
58975	I thought I was your best friend.	Luulin, että olen paras ystäväsi.
43739	She has just turned twenty.	Hän täytti juuri kaksikymmentä.
8168	We just take one day at a time.	Me vain elämme päivän kerrallaan.
13379	It's so peaceful here.	Täällä on niin rauhallista.
55298	"""I'm not good at swimming."" ""Neither am I."""	”Minä en ole hyvä uimaan.” ”En minäkään.”
6668	Tom didn't say anything about himself.	Tom ei sanonut mitään itsestään.
53609	When does your trip begin?	Milloin teidän matkanne alkaa?
64134	Mary isn't really sick. She's just faking it.	Ei Mari ole oikeasti sairas. Hän vain esittää.
28902	Tom wants me to join his team.	Tomi haluaa minun liittyvän hänen ryhmäänsä.
50382	You've lost your marbles.	Te olette hukanneet marmorikuulanne.
25396	My mother cooks for me.	Minun äitini kokkaa puolestani.
28204	The girls amused themselves playing games.	Tytöt viihdyttivät itseään pelaamalla pelejä.
46068	We will ship the product immediately after receiving your order.	Lähetämme tuotteen heti, kun saamme tilauksenne.
31650	You have the advantage of a good education.	Sinulla on hyvän koulutuksen tuoma valtti.
9229	Tom found a new job.	Tomi löysi uuden työpaikan.
3869	Was there anybody else in the room?	Oliko siinä tilassa ketään muuta?
51744	Mary doesn't love her husband.	Mari ei rakasta miestään.
25621	You have to audition to join the choir.	Koe-esiintyminen vaaditaan ennen kuoroon pääsemistä.
699	I feel like eating something sweet.	Minun tekee mieli syödä jotain makeaa.
32616	The ship sounded its whistle and pulled away from the wharf.	Laiva soitti pilliä ja irtaantui laiturista.
46931	Do you feel like eating?	Tekeekö sinun mieli syödä?
10912	Tom was very naive back then.	Tomi oli silloin vielä varsin lapsellinen.
12130	The first step is the most difficult.	Ensimmäinen askel on kaikista vaikein.
43241	I don't have any allergies.	Minulla ei ole mitään allergioita.
26824	Tom spends all day speaking French at school and only speaks English at home.	Tom viettää päivät puhuen ranskaa koulussa ja puhuu englantia vain kotona.
57610	Are you going to talk to me?	Aiotko sinä puhua minulle?
5433	Cutting a cake into equal pieces is rather difficult.	Kakun leikkaaminen yhtä suuriin paloihin on jokseenkin hankalaa.
69011	Tom ate his fill.	Tom söi vatsansa täyteen.
55021	I wonder whether Tom is really at home.	Onkohan Tomi todella kotona?
9061	Tom has been sneezing all morning.	Tomi on aivastellut koko aamun.
19855	The jury began deliberating Monday.	Valamiehistö vetäytyi pohtimaan päätöstään maanantaina.
47377	Unfortunately, I don't have time today.	Valitettavasti tänään ei ole aikaa.
56976	How can I connect my iPod to a car stereo?	Miten voin yhdistää iPodini autostereoihin?
67881	Tom is also studying French.	Tom opiskelee myös ranskaa.
44849	Do you feel better today?	Onko tänään parempi olo?
13030	Who gave you that shirt?	Ketkä antoivat sinulle tuon paidan?
31479	It's your turn, Tom.	Sinun vuorosi, Tomi.
46035	Actually, it was a blessing in disguise.	Itse asiassa se oli onnenpotku, vaikka en sitä heti ymmärtänytkään.
23887	Tom is our best player.	Tomi on paras pelaajamme.
60022	You'll never know unless you try.	Sinä et saa koskaan tietää, ellet sinä koeta.
66175	My real name is Tom.	Mun oikee nimi on Tomi.
55797	I wonder what I should do today.	Mitäköhän sitä tekisi tänään?
42550	Tom wore a tie yesterday.	Tomilla oli solmio eilen.
68786	He's a regular at the bars and pubs around here.	Hän on lähistön baarien ja pubien vakioasiakas.
58694	We've already eaten.	Me ollaan jo syöty.
8103	Would you mind telling me who you're waiting for?	Voisitko kertoa minulle ketä odotat?
55280	It's hard to stay calm in a situation like that.	Tuollaisessa tilanteessa on vaikea pysyä rauhallisena.
19546	We'd better be fast.	Meidän on parempi olla nopeita.
957	Tom wishes he didn't have to help with the housework.	Tom toivoo, ettei hänen tarvitsisi auttaa taloustöissä.
17273	Tom thinks I'm crazy.	Olen Tomin mielestä hullu.
69630	This week the cherry blossoms in the park are in full bloom.	Tällä viikolla kirsikankukat puistossa ovat täydessä kukassa.
61655	Thanks for joining us.	Kiitos kun liityit joukkoomme.
66444	He seldom, if ever, goes to the movies.	Hän käy harvoin, jos koskaan, elokuvissa.
11057	She's a stubborn girl.	Hän on itsepäinen tyttö.
54974	I'd like to thank Tom for all he's done.	Haluaisin kiittää Tomia kaikesta mitä hän on tehnyt.
33798	You're making a terrible mistake.	Olet tekemässä suurta virhettä.
61833	You're a lying pig.	Sinä olet valehtaleva sika.
19619	This size is too large for me.	Tämä on minulle liian suuri koko.
61711	I went to see his sister last week.	Menin tapaamaan hänen siskoaan viime viikolla.
51146	They call each other almost every day.	He soittavat toisilleen lähes päivittäin.
48528	Who should I notify?	Kenelle minun pitää ilmoittaa?
59754	I didn't know Tom liked jazz.	En tiennyt, että Tom piti jazzista.
42840	My father never looked down on the poor.	Isäni ei koskaan halveksinut köyhiä.
29027	Both of us have gout.	Meistä molemmat sairastavat kihtiä.
65903	Tom didn't feel like studying at all.	Tomin ei tehnyt sitten yhtään mieli opiskella.
19057	It's just a money making scam.	Se on vain joku rahantienausvedätys.
28632	You should just leave.	Sinun pitäisi vain lähteä.
54522	He had one daughter.	Hänellä oli yksi tytär.
4368	Would you mind telling me what's going on?	Voisitteko te kertoa minulle mitä tapahtuu?
45477	You'll never know unless you try.	Sitä ei saa ikinä tietää, jollei koeta.
20002	We have to protect our kids.	Meiän pitää suojella meiän lapsia.
28498	I can't run as fast as you.	En pysty juoksemaan yhtä nopeaa kuin sinä.
61743	I'm not familiar with French poets.	En tunne hyvin ranskalaisia runoilijoita.
68892	A map helps us to know where we are.	Kartta auttaa meitä tietämään missä olemme.
34503	Even Japanese can make mistakes when they speak Japanese.	Jopa japanilaiset voivat tehdä virheitä kun he puhuvat japania.
25295	Love can't be bought.	Rakkautta ei voi ostaa.
10835	I need your opinions.	Minä tarvitsen sinun mielipiteitäsi.
49445	Do you know what happened to Tom?	Tiedätkö sinä mitä Tomille tapahtui?
33824	Many tried to put their feelings into words.	Monet yrittivät pukea tunteensa sanoiksi.
62897	I think Tom is drunk.	Luulen, että Tom on humalassa.
19101	How do you usually decide what to eat?	Miten tavallisesti päätät mitä syödä.
45791	I'd forgotten that you'd forgotten.	Minä olin unohtanut, että sinä olit unohtanut.
58423	I might never be able to fix that.	Saattaa olla niin, että en pysty koskaan korjaamaan tuota.
36148	I can tell you that that didn't happen.	Voin kertoa sinulle, että sitä ei tapahtunut.
15898	It took Tom a long time to get over Mary's death.	Vei kauan Tomilta päästä yli Maryn kuolemasta.
16889	Mary swears like a sailor.	Mari kiroilee kuin merimies.
29790	I'm pretty sure Tom's bilingual.	Olen melko varma, että Tom on kaksikielinen.
41887	Don't kick the dog.	Älä potki sitä koiraa.
54781	I think I had chickenpox as a child.	Muistaakseni minulla oli vesirokko kun olin lapsi.
64124	We were born on the same day.	Me olemme syntyneet samana päivänä.
29186	I've never been good at French.	En ole koskaan ollut hyvä ranskassa.
6319	Tom always dresses in black.	Tom pukeutuu aina mustiin.
38700	The police caught Tom red-handed.	Poliisi otti Tomin kiinni rysän päältä.
69457	This color doesn't suit you.	Tämä väri ei sovi sinulle.
17652	I'm way too tired.	Olen aivan liian väsynyt.
33	We have a problem here.	Minulla on tässä ongelma.
57201	His doctor told him not to drink alcohol.	Hänen lääkärinsä kielsi häneltä alkoholin juomisen.
1527	Tom loves me and I love him.	Tom rakastaa minua ja minä rakastan häntä.
20604	Is that a bad thing?	Onko se paha asia?
2851	Do you think French is difficult?	Onko ranska sinun mielestäsi vaikeaa?
8077	Shouldn't we ask Tom first?	Eikö meidän pitäisi kysyä ensin Tomilta?
62276	Have you paid the rent?	Ook sä maksanu vuokran?
24664	Tom waded across the river.	Tomi kahlasi joen yli.
60508	I came to apologize.	Minä tulin pyytääkseni anteeksi.
69500	This is her house.	Tämä on hänen talonsa.
4057	I think it's doable.	Minusta se vaikuttaa tehtävissä olevalta.
1402	You have to pull yourself together and start studying.	Sinun täytyy kasata itsesi ja alkaa opiskella.
55665	Tom looked up from his notepad.	Tuomo nosti katseensa muistilehtiöstään.
11758	What do you keep in the trunk of your car?	Mitä säilytät autosi tavaratilassa?
10122	I value your friendship very much.	Arvostan ystävyyttäsi hyvin paljon.
4762	The ticket is valid until October twentieth.	Tämä lippu on voimassa 20. lokakuuta saakka.
34593	Don't do too much at the same time.	Älä tee liian paljon samaan aikaan.
17690	Tom is not a very good liar.	Tom ei ole kovin hyvä valehtelemaan.
35424	Tom thought it was a good idea.	Tomin mielestä se oli hyvä ajatus.
12582	There's no beer here.	Täällä ei ole olutta.
37031	Life doesn't always work out the way you want it to.	Elämä ei aina mene juuri niin kuin haluaisimme.
8474	The radio doesn't work.	Tämä radio ei toimi.
4033	How come you didn't come to the party?	Miksi et tullut juhliin?
42978	That's a pretty big problem.	Se on melko iso ongelma.
61168	Tom is very interested in history.	Tom on hyvin kiinnostunut historiasta.
39108	Tom spoke only French.	Tom puhui ainoastaan ranskaa.
57571	Tom ate his fill.	Tom söi itsensä kylläiseksi.
68975	May I talk with you in private about the matter?	Voinko puhua tästä asiasta kanssasi kahden kesken?
47558	Do you feel OK?	Onko sinulla hyvä olo?
53102	My sister insisted on going with me.	Siskoni vaati päästä mukaan.
64122	Ask Tom what he thinks of Boston.	Kysy Tomilta, mitä mieltä hän on Bostonista.
52965	What's all that?	Mitä se kaikki nyt on?
29867	I've noticed that Tom doesn't usually lock his door.	Olen huomannut, että Tom ei yleensä lukitse oveaan.
1660	Who is this person?	Kuka tämä henkilö on?
48952	That was one of our problems.	Se oli yksi meidän ongelmistamme.
23996	He has written many books about China.	Hän on kirjoittanut monia kirjoja Kiinasta.
62274	Tom should take better care of his children.	Tomin pitäisi pitää parempaa huolta lapsistaan.
35030	I've been told not to call you stupid.	Minua on käsketty, että en saa kutsua sinua tyhmäksi.
56478	A rabbit has long ears and a short tail.	Jäniksellä on pitkät korvat ja lyhyt häntä.
58866	Now that's an achievement.	No siinä vasta saavutus.
44464	Tom was the only survivor of the crash.	Tomi oli onnettomuuden ainoa selviytyjä.
66530	The shell of an egg is easily broken.	Munan kuori rikkoutuu helposti.
35459	Have they arrived yet?	Ovatko he vielä saapuneet?
31187	Tom has a really nice girlfriend.	Tomilla on tosi kiva tyttöystävä.
34977	He died of cancer last year.	Hän kuoli syöpään viime vuonna.
65354	Who committed this murder?	Kuka teki tämän murhan?
64328	Pinocchio had a long nose.	Pinokkiolla oli pitkä nenä.
44605	Tom isn't blind.	Tom ei ole sokea.
66634	Tom doesn't need to know that.	Tomin ei tarvitse tietää sitä.
59449	The windshield of my car was broken.	Autoni tuulilasi oli rikki.
37118	Tom pushed the plate away.	Tommi työnsi laatan pois.
63610	It's time you got married.	Sinun olisi jo aika mennä naimisiin.
27193	They're both wearing uniforms.	He molemmat kantavat uniformua.
12952	I have a lot of credit cards.	Minulla on paljon luottokortteja.
18939	They didn't have anything smaller.	Heillä ei ollut mitään pienempää.
69440	This will be a walk in the park.	Tämä on helppo nakki.
63145	It took me a couple of hours to solve this problem.	Minulla kesti muutama tunti ratkaista tämä ongelma.
9579	The older we grow, the poorer our memory becomes.	Mitä vanhemmaksi kasvamme, sitä heikommaksi muistimme tulee.
11770	Stop pulling your sister's hair.	Lopeta siskosi hiuksista vetäminen.
17874	Tom kissed my cousin.	Tomi pussas mun serkkuu.
5915	That's your own fault.	Se on omaa syytäsi.
12568	Great thoughts come from the heart.	Suuret ajatukset tulevat sydämestä.
15142	I heard sirens in the distance.	Kuulin sireenien ujelluksen etäällä.
44306	Why do you want to kill us?	Miksi te haluatte tappaa meidät?
27352	Can I ask you something personal?	Voinko kysyä sinulta jotakin henkilökohtaista?
13134	I can't bear this noise anymore.	En pysty enää sietämään tätä meteliä.
68970	Do both Tom and Mary understand French?	Ymmärtävätkö sekä Tom että Mari ranskaa?
36870	They're interesting people.	He ovat mielenkiintoisia ihmisiä.
63849	She is interested in learning new ideas.	Hän on kiinnostunut uusien ideoiden oppimisesta.
50390	Moderate exercise will do you good.	Kohtuullinen liikunta tekee sinulle hyvää.
49050	I thought he was sick.	Luulin, että hän on kipeä.
46553	Tom is extremely smart.	Tomi on äärimmäisen älykäs.
23259	Do you feel like eating something?	Tekeekö sinun mielesi syödä jotain?
3432	I know it's impossible.	Tiedän, että se on mahdotonta.
29551	I am pleased to help you if I can.	Autan mielelläni, jos vain voin.
33256	Tom prefers speaking French.	Tom puhuu mieluummin ranskaa.
35290	He was sent abroad as a correspondent.	Hänet lähetettiin ulkomaille kirjeenvaihtajaksi.
20031	I'm sorry, but I can't stay for long.	Olen pahoillani, mutta en voi jäädä pitkäksi aikaa.
36887	The tornado destroyed the whole village.	Pyörremyrsky tuhosi koko kylän.
47404	This is my plan.	Tämä on minun suunnitelmani.
2104	Tom has plenty of options.	Tomilla on paljon vaihtoehtoja.
61758	What do you feel like eating?	Mikä ruoka sinulle maistuisi?
41475	There were forty people present.	Läsnä oli neljäkymmentä ihmistä.
57918	Do you spend a lot of time with your friends?	Vietätkö paljon aikaa ystäviesi kanssa?
22145	Tom is quite popular.	Tomi on aika suosittu.
7940	She came late as usual.	Hän tuli myöhässä kuten tavallista.
65875	Your mother would've been very proud of you.	Äitisi olisi ollut todella ylpeä sinusta.
50662	Tom went there to learn French.	Tom meni sinne oppiakseen ranskaa.
59850	How can I know if a girl likes me?	Miten voin tietää, pitääkö tyttö minusta vai ei?
57966	We won't need it.	Me ei tarvita sitä.
1351	How many laps did you run?	Kuinka monta kierrosta juoksit?
48780	It was stupid of you to do what you did.	Oli typerää sinulta tehdä niin kuin teit.
57127	"The teacher asked him, ""What's the square root of 256?"""	"Opettaja kysyi häneltä: ""mikä on 256:n neliöjuuri?"""
64300	When I got to his house, he had already been taken away.	Kun pääsin hänen talolleen, hänet oli jo viety pois.
26550	I would've done the same thing Tom did.	Olisin tehnyt samoin kuin Tom.
60396	His house was small and old.	Hänen talonsa oli pieni ja vanha.
8876	Is this seat taken?	Onko tämä paikka varattu?
29222	I realize it's probably too late.	Ymmärrän että se on todennäköisesti liian myöhäistä.
11733	Tom made fun of Mary's accent.	Tomi pilkkasi Marin aksenttia.
20747	I'm not able to fix the computer.	En pysty korjaamaan tietokonetta.
49733	He sold all that he owned.	Hän myi kaiken omistamansa.
64807	Tom wrote Mary a love letter, but he didn't send it.	Tom kirjoitti Marille rakkauskirjeen, mutta hän ei lähettänyt sitä.
49603	I want you to call Tom.	Minä haluan, että soitatte Tomille.
68663	Tom just did it.	Tom justiinsa teki niin.
26616	Who owns that car?	Kuka omistaa tuon auton?
37477	I know that Tom won't be permitted to do that.	Minä tiedän, että Tuomas ei saa lupaa tehdä noin.
36784	Every student has to leave school by six.	Jokaisen opiskelijan on lähdettävä koulusta kuuteen mennessä.
55840	Take whatever you want.	Ota mitä ikinä haluatkin.
20021	I was hungry and thirsty.	Minulla oli nälkä ja jano.
44294	Tom wants to get a tattoo on his chest.	Tomi haluaa tatuoinnin hänen rintakehäänsä.
6599	It was a stupid joke.	Se oli typerä pila.
8311	Tom waited patiently for three hours.	Tom odotti kärsivällisesti kolmen tunnin ajan.
7316	Tom was wrong again.	Tomi oli taas väärässä.
32737	You've set a bad example.	Te näytätte huonoa esimerkkiä.
57841	We have had few typhoons this autumn.	Meillä on ollut vähän taifuuneja tänä syksynä.
4807	We got stuck in a traffic jam, which made us twenty minutes late.	Jumituimme ruuhkaan, jonka takia myöhästyimme kaksikymmentä minuuttia.
66309	We'll miss you, too.	Meilläkin on ikävä sinua.
66565	I don't know whether I can do it, but I'll try.	Minä en tiedä, että pystynkö siihen, mutta koetan.
64919	Tom yelled something in French.	Tom huusi jotain ranskaksi.
42546	Are you seriously thinking about going?	Mietittekö te vakavissanne lähtemistä?
20837	Tom uses public transportation.	Tom käyttää julkisia kulkuvälineitä.
69573	What reason could Tom possibly have to lie to you?	Mikä syy Tomilla voisi olla, että hän ehkä valehtelisi sinulle.
26587	As far as I know, there is no such function.	Tietääkseni sellaista toimintoa ei ole.
57256	I want you to know I'll never do that.	Haluan teidän tietävän, että minä en ikinä tee tuota.
10977	I've met that girl before.	Olen tavannut sen tytön aikaisemmin.
59369	Did you buy that painting we saw yesterday?	Ostik sä sen maalauksen, joka me nähtiin eilen?
53113	That's why I love you.	Sen takia minä rakastan sinua.
32046	Not only were we hungry, but we were also suffering from thirst.	Me emme olleet vain nälkäisiä, mutta myös janoisia.
45725	Tom was probably pondering something.	Tom pohdiskeli todennäköisesti jotakin.
3662	How many calories are in 100 grams of butter?	Kuinka monta kaloria on 100 grammassa voita?
66537	His last play was a great success.	Hänen viimeisin näytelmänsä oli suuri menestys.
1842	Industrialization often goes hand in hand with pollution.	Teollistuminen kulkee usein käsi kädessä saastumisen kanssa.
53507	Tom didn't even try to help.	Tomi ei edes yrittänyt auttaa.
53068	I'm the only one who survived the accident.	Olen ainoa, joka selvisi hengissä onnettomuudesta.
7841	Tom didn't give me an ounce of trouble.	Tom ei aiheuttanut pienintäkään ongelmaa.
42277	I don't have any money.	Minulla ei ole pennin hyrrää.
54632	Tom didn't look as bored as Mary.	Tomi ei näyttänyt yhtä tylsistyneeltä kuin Mari.
47461	This is like magic.	Tämä on kuin taikuutta.
66225	I don't want anybody else.	Minä en halua ketään muuta.
56581	They don't make much sense.	Ei heistä kyllä ota selvää.
31067	She knows how to use her good looks to get what she wants out of men.	Hän tietää miten käyttää hyväkseen kaunista ulkomuotoaan saadakseen mitä hän miehiltä haluaa.
63662	I didn't know him at the time.	En tuntenut häntä silloin.
47690	I'd like to be as rich as Tom.	Haluaisin olla yhtä rikas kuin Tomi.
16523	You're very close now.	Olet nyt todella lähellä.
36876	I found the book by accident.	Löysin sen kirjan vahingossa.
26883	I think I'm fat.	Mun mielestä mä oon kyllä pullukka.
51255	In America, the consumption of fast-food has tripled between 1977 and 1995.	Pikaruuan kulutus on kolminkertaistunut Amerikassa vuosien 1977 ja 1995 välillä.
6425	How did you like the food at that restaurant?	Mitä pidit tuon ravintolan ruoasta?
8592	I have some gifts.	Minulla on sinulle lahja.
32624	Tom said he didn't know what Mary wanted him to buy.	Tom sanoi, ettei hän tiennyt, mitä Mari halusi hänen ostavan.
48262	I just can't help.	En voi sille mitään.
29862	He opened the door, only to find the room empty.	Hän avasi oven vain huomatakseen huoneen tyhjäksi.
5416	Tom's leg was badly burned.	Tomin sääri oli pahoin palanut.
47881	Tom took a step toward Mary.	Tom otti askeleen kohti Maria.
3153	I'm starting to feel better.	Minulla alkaa olla parempi olo.
18056	I'm sorry I couldn't make it to your party last night.	Pahoittelen, etten päässyt eilisiin kekkereihisi.
17213	Do you find that strange?	Onko tuo sinusta kummallista?
26537	Tom and Mary bought a house in the suburbs.	Tom ja Mari ostivat talon lähiöstä.
13343	I have to warn him.	Minun on varoitettava häntä.
62700	Tom sometimes sings in French.	Tom laulaa toisinaan ranskaksi.
34840	I don't feel like trying.	Minua ei haluta yrittää.
60111	Tom likes to talk about golf.	Tom pitää golfista puhumisesta.
10793	You could be right, I suppose.	Kaipa se on niin, että voit olla oikeassa.
50640	You'll never know unless you try.	Ette saa koskaan tietää, jos te ette koeta.
6464	Tom watches TV all the time.	Tomi katsoo televisiota koko ajan.
23792	Tom should've told Mary that he was married.	Tomin olisi pitänyt kertoa Marille, että hän on naimisissa.
63866	Tom and Mary are waiting with John.	Tom ja Mary odottavat Johnin kanssa.
33218	Her desires were fully fullfilled.	Hänen toiveensa tulivat täysin toteen.
67274	I brought it back to the inn.	Vein sen takaisin majataloon.
10071	Acting on advice from his astronomers, Alexander the Great decided not to attack Egypt and went to India instead.	Astronomiensa neuvosta Aleksanteri Suuri päätti, ettei hyökkää Egyptiin, ja meni sen sijasta Intiaan.
3876	Do you mind if I sit here?	Sopiiko minun istua tähän?
